Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO289-312_total_20210617,O1,Naïve_P26,Naïve_P26,28.6179199723049,21.7420250306975,6.875894941607399,6.864695870873955,0.25987458967543153,0.011199070733443506,0.03415318586404462,0.9766048272146459
ASO289-312_total_20210617,O2,Naïve_P26,Naïve_P26,28.4865475133288,21.657675314545,6.828872198783802,,,-0.035823672090153025,,
ASO289-312_total_20210617,O3,Naïve_P26,Naïve_P26,28.8046853230381,21.8129052932153,6.991780029822799,,,0.1270841589488434,,
ASO289-312_total_20210617,O4,Naïve_P26,Naïve_P26,28.6076638636585,22.1432489434445,6.464414920214001,,,-0.4002809506599547,-0.39929893264368727,1.3188668610924519
ASO289-312_total_20210617,O5,Naïve_P26,Naïve_P26,28.6320847423707,22.1331474860427,6.498937256328002,,,-0.36575861454595326,,
ASO289-312_total_20210617,O6,Naïve_P26,Naïve_P26,28.6361084379893,22.2032697998405,6.432838638148802,,,-0.43185723272515375,,
ASO289-312_total_20210617,O7,Naïve_P26,Naïve_P26,28.8240892532296,21.7316355885721,7.092453664657501,,,0.227757793783546,0.28934527561824436,0.8182733234012339
ASO289-312_total_20210617,O8,Naïve_P26,Naïve_P26,28.8056655518558,21.6542601978193,7.151405354036498,,,0.28670948316254297,,
ASO289-312_total_20210617,O9,Naïve_P26,Naïve_P26,28.9156952635938,21.6974308428112,7.2182644207825994,,,0.35356854990864406,,
ASO289-312_total_20210617,P1,Naïve_P26,Naïve_P26,28.6763150654371,21.5362451172184,7.140069948218702,,,0.27537407734474684,0.3069194376806455,0.8083660079516569
ASO289-312_total_20210617,P2,Naïve_P26,Naïve_P26,28.6839039689061,21.5031061582542,7.1807978106518995,,,0.3161019397779441,,
ASO289-312_total_20210617,P3,Naïve_P26,Naïve_P26,28.6146692903676,21.4206911235744,7.193978166793201,,,0.3292822959192456,,
ASO289-312_total_20210617,P4,Naïve_P26,Naïve_P26,28.9209462453118,22.2382462567408,6.682699988570999,,,-0.1819958823029566,-0.15918729632398865,1.1166579214802033
ASO289-312_total_20210617,P5,Naïve_P26,Naïve_P26,28.9333001954495,22.1901024743432,6.743197721106302,,,-0.12149814976765327,,
ASO289-312_total_20210617,P6,Naïve_P26,Naïve_P26,28.8940583163754,22.2034303024028,6.690628013972599,,,-0.17406785690135607,,
ASO289-312_total_20210617,P7,Naïve_P26,Naïve_P26,29.1155166446644,22.2656613302148,6.849855314449599,,,-0.014840556424356777,-0.07193167019525622,1.0511231239725731
ASO289-312_total_20210617,P8,Naïve_P26,Naïve_P26,29.1032660058398,22.2751438759526,6.828122129887198,,,-0.03657374098675703,,
ASO289-312_total_20210617,P9,Naïve_P26,Naïve_P26,29.005096678839,22.3047815211397,6.7003151576993005,,,-0.16438071317465486,,
ASO289-312_total_20210617,O10,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.7226727143684,27.2182331809547,8.504439533413699,,,1.6397436625397432,1.6026219470478782,0.3292780053057507
ASO289-312_total_20210617,O11,Ionis1375651_10_P26,Ionis1375651_10uM_P26,36.003477532165,27.214673624105,8.78880390806,,,1.9241080371860448,,
ASO289-312_total_20210617,O12,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.3215891827121,27.2128791704203,8.108710012291802,,,1.2440141414178463,,
ASO289-312_total_20210617,P10,Ionis1375651_10_P26,Ionis1375651_10uM_P26,36.4302165189703,27.0612798534682,9.368936665502098,,,2.504240794628142,2.236269513512511,0.21223440986076406
ASO289-312_total_20210617,P11,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.6318768148249,26.9989735470957,8.632903267729198,,,1.7682073968552423,,
ASO289-312_total_20210617,P12,Ionis1375651_10_P26,Ionis1375651_10uM_P26,36.1066999672405,26.8056437473124,9.301056219928103,,,2.436360349054148,,
ASO289-312_total_20210617,O13,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.1288142922391,25.4119710777731,6.7168432144659995,,,-0.14785265640795586,-0.0570295414199542,1.0403215685025327
ASO289-312_total_20210617,O14,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.1925985300873,25.480739410598,6.711859119489301,,,-0.1528367513846547,,
ASO289-312_total_20210617,O15,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.4152534440553,25.4209567896486,6.994296654406703,,,0.12960078353274795,,
ASO289-312_total_20210617,P13,Ionis1375651_3_P26,Ionis1375651_3uM_P26,33.662745024669,25.9798838100921,7.682861214576899,,,0.8181653437029439,0.874587369554245,0.5454098386743029
ASO289-312_total_20210617,P14,Ionis1375651_3_P26,Ionis1375651_3uM_P26,33.8799562194985,25.9148554423685,7.965100777130004,,,1.100404906256049,,
ASO289-312_total_20210617,P15,Ionis1375651_3_P26,Ionis1375651_3uM_P26,33.5274287182435,25.9575409886658,7.569887729577697,,,0.705191858703742,,
ASO289-312_total_20210617,O16,Ionis676630_10_P26,Ionis676630_10uM_P26,32.685934323333,26.9562725663503,5.729661756982701,,,-1.1350341138912547,-0.9660119198366223,1.9534331975157864
