Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO313-336_MT_20210617,A1,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,37.1796393380638,29.5328575430973
ASO313-336_MT_20210617,A2,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,38.0326437532881,29.4878948697376
ASO313-336_MT_20210617,A3,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,37.7878429228173,29.591898979896
ASO313-336_MT_20210617,A4,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.2523113362355,29.3201627176629
ASO313-336_MT_20210617,A5,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,35.9291822234453,29.3028184928392
ASO313-336_MT_20210617,A6,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,35.5268103036138,29.3463155026848
ASO313-336_MT_20210617,A7,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,28.8806532057571,21.3146174588529
ASO313-336_MT_20210617,A8,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,28.9122639499813,21.3163994186496
ASO313-336_MT_20210617,A9,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,29.0207644613852,21.3575134096549
ASO313-336_MT_20210617,A10,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.3769337001572,22.0633284038101
ASO313-336_MT_20210617,A11,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.4700657737594,22.1012723410766
ASO313-336_MT_20210617,A12,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.6181581243363,22.1295369492519
ASO313-336_MT_20210617,B1,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,34.7102993495999,27.5038600267561
ASO313-336_MT_20210617,B2,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,34.8931429125031,27.5688682564843
ASO313-336_MT_20210617,B3,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,34.3959187432265,27.571693607409
ASO313-336_MT_20210617,B4,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,31.8021304910219,24.7357800806218
ASO313-336_MT_20210617,B5,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,32.1040514599651,24.6928075871859
ASO313-336_MT_20210617,B6,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,31.7908588528834,24.7680927564959
ASO313-336_MT_20210617,B7,ASO314_3,KQJM053_L17_5-08-4_3uM_P27,28.8824734250265,21.528951641291
