ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P28,0.7750983563147259,,,Naïve_P28,0.7750983563147259,0.8474811535699266,0.9947010051313979,1.0981052945954726,1.5901504894928522,0.8764726435263134
Naïve_P28,,,,Ionis1375651_10uM_P28,0.40042998335076174,1.6801689669144737,,,,
Naïve_P28,,,,Ionis1375651_3uM_P28,,,0.5132677403121771,0.8137925483438865,,
Naïve_P28,0.8474811535699266,,,Ionis676630_10uM_P28,1.0138416029855388,0.5890163175618376,,,,
Naïve_P28,,,,KQJM066_L19_5-10-4_10uM_P28,1.2899172442878661,0.43279102694063754,,,,
Naïve_P28,,,,KQJM066_L19_5-10-4_3uM_P28,,,3.0095157250962488,0.5951073518508436,,
Naïve_P28,0.9947010051313979,,,KQJM067_L21_6-10-5_10uM_P28,0.7203696330028152,1.9435424648796613,,,,
Naïve_P28,,,,KQJM067_L21_6-10-5_3uM_P28,,,1.2718061537997407,0.5266309813740295,,
Naïve_P28,,,,KQJM068_L21_7-08-6_10uM_P28,1.5689642059185391,0.9151829577574441,,,,
Naïve_P28,1.0981052945954726,,,KQJM068_L21_7-08-6_3uM_P28,,,0.8122221713787043,1.9478422607885162,,
Naïve_P28,,,,KQJM073_L19_6-08-5_10uM_P28,0.5041613249084383,1.442424291239135,,,,
Naïve_P28,,,,KQJM073_L19_6-08-5_3uM_P28,,,0.5581963077284787,2.0798696008519353,,
Naïve_P28,1.5901504894928522,,,KQJM075_L19_5-10-4_10uM_P28,0.548428253608934,1.207012740076136,,,,
Naïve_P28,,,,KQJM075_L19_5-10-4_3uM_P28,,,0.5707547846517139,0.7389047287016447,,
Naïve_P28,,,,KQJM076_L18_4-10-4_10uM_P28,0.8279516328540838,0.3006948287119461,,,,
Naïve_P28,0.8764726435263134,,,KQJM076_L18_4-10-4_3uM_P28,,,0.7211432952863238,0.9285538446356691,,
Naïve_P28,,,,KQJM077_L17_5-08-4_10uM_P28,0.4326956424870445,1.158842019737022,,,,
Naïve_P28,,,,KQJM077_L17_5-08-4_3uM_P28,,,1.0876387469323143,0.6693838685476481,,
Ionis1375651_10uM_P28,0.40042998335076174,,,KQJM078_L19_6-08-5_10uM_P28,0.2811830686798829,0.4992124508881343,,,,
Ionis1375651_10uM_P28,,,,KQJM078_L19_6-08-5_3uM_P28,,,0.9484662074609321,0.8432547928961133,,
Ionis1375651_10uM_P28,,,,KQJM079_L20_6-08-6_10uM_P28,1.5634181042867212,1.7283232680689464,,,,
Ionis1375651_10uM_P28,1.6801689669144737,,,KQJM079_L20_6-08-6_3uM_P28,,,0.9862638702289022,1.0462300165741198,,
Ionis1375651_10uM_P28,,,,KQJM080_L18_5-08-5_10uM_P28,0.7154130556791078,1.937069805856886,,,,
Ionis1375651_10uM_P28,,,,KQJM080_L18_5-08-5_3uM_P28,,,0.8373386972872826,1.8316204224173522,,
Ionis1375651_3uM_P28,0.5132677403121771,,,KQJM081_L17_5-08-4_10uM_P28,0.74777316841872,0.8164600334648942,,,,
Ionis1375651_3uM_P28,,,,KQJM081_L17_5-08-4_3uM_P28,,,0.6959468994604708,1.4470921207016754,,
Ionis1375651_3uM_P28,,,,KQJM082_L18_4-10-4_10uM_P28,0.8758176309349349,1.2707506487283537,,,,
Ionis1375651_3uM_P28,0.8137925483438865,,,KQJM082_L18_4-10-4_3uM_P28,,,0.7185966436037,0.4594229689948856,,
Ionis1375651_3uM_P28,,,,,,,,,,
Ionis1375651_3uM_P28,,,,,,,,,,
Ionis676630_10uM_P28,1.0138416029855388,,,,,,,,,
Ionis676630_10uM_P28,,,,,,,,,,
Ionis676630_10uM_P28,,,,,,,,,,
Ionis676630_10uM_P28,0.5890163175618376,,,,,,,,,
Ionis676630_10uM_P28,,,,,,,,,,
Ionis676630_10uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,1.2899172442878661,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,0.43279102694063754,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_10uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,3.0095157250962488,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,0.5951073518508436,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM066_L19_5-10-4_3uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,0.7203696330028152,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,1.9435424648796613,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_10uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,1.2718061537997407,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,0.5266309813740295,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,,,,,,,,,,
KQJM067_L21_6-10-5_3uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,1.5689642059185391,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,0.9151829577574441,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_10uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,0.8122221713787043,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,1.9478422607885162,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,,,,,,,,,,
KQJM068_L21_7-08-6_3uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,0.5041613249084383,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
KQJM073_L19_6-08-5_10uM_P28,,,,,,,,,,
