Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO361-384_total_20210621,G1,Naïve_P31,Naïve_P31,26.9620026971065,20.9533915008903,6.008611196216197,6.121227299279018,0.1013714239549511,-0.11261610306282055,-0.08789390256225212,1.062817510673289
ASO361-384_total_20210621,G2,Naïve_P31,Naïve_P31,26.9819494096555,20.9324404604809,6.049508949174598,,,-0.07171835010441985,,
ASO361-384_total_20210621,G3,Naïve_P31,Naïve_P31,26.9335686863805,20.891688641621,6.041880044759502,,,-0.07934725451951596,,
ASO361-384_total_20210621,G4,Naïve_P31,Naïve_P31,27.2568192573678,21.230657328917,6.026161928450797,,,-0.09506537082822053,-0.09589072717675122,1.0687250406137239
ASO361-384_total_20210621,G5,Naïve_P31,Naïve_P31,27.1948133300071,21.1752890911849,6.0195242388222,,,-0.10170306045681787,,
ASO361-384_total_20210621,G6,Naïve_P31,Naïve_P31,27.2366220646036,21.2062985155698,6.0303235490338025,,,-0.09090375024521524,,
ASO361-384_total_20210621,G7,Naïve_P31,Naïve_P31,27.2700796445435,21.2690433781433,6.001036266400199,,,-0.12019103287881894,-0.033330989904817386,1.0233722296900882
ASO361-384_total_20210621,G8,Naïve_P31,Naïve_P31,27.3203000754518,21.1017624229486,6.218537652503201,,,0.09731035322418347,,
ASO361-384_total_20210621,G9,Naïve_P31,Naïve_P31,27.2857540023053,21.2416389930861,6.044115009219201,,,-0.07711229005981668,,
ASO361-384_total_20210621,H1,Naïve_P31,Naïve_P31,27.4851580000287,21.1728526783027,6.312305321726001,,,0.19107802244698302,0.07584051846628181,0.9487891924625136
ASO361-384_total_20210621,H2,Naïve_P31,Naïve_P31,27.2229197471491,21.0752423872194,6.147677359929698,,,0.026450060650680562,,
ASO361-384_total_20210621,H3,Naïve_P31,Naïve_P31,27.1789007603321,21.0476799887519,6.1312207715802,,,0.00999347230118186,,
ASO361-384_total_20210621,H4,Naïve_P31,Naïve_P31,27.3833646659311,21.1760827951073,6.2072818708238024,,,0.08605457154478469,0.11554867462751783,0.9230312038750543
ASO361-384_total_20210621,H5,Naïve_P31,Naïve_P31,27.3353354802354,21.1573313947025,6.178004085532901,,,0.05677678625388349,,
ASO361-384_total_20210621,H6,Naïve_P31,Naïve_P31,27.4677572025037,21.1427152371408,6.325041965362903,,,0.20381466608388532,,
ASO361-384_total_20210621,H7,Naïve_P31,Naïve_P31,27.3040258848525,21.1245810594886,6.179444825363898,,,0.05821752608488051,0.02572642655001574,0.9823258527790664
ASO361-384_total_20210621,H8,Naïve_P31,Naïve_P31,27.1405049474472,21.012817139057,6.127687808390203,,,0.006460509111184898,,
ASO361-384_total_20210621,H9,Naïve_P31,Naïve_P31,27.1527825760787,21.0190540323457,6.133728543733,,,0.012501244453981819,,
ASO361-384_total_20210621,G10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,37.9610240019207,27.4400523585391,10.5209716433816,,,4.399744344102582,4.194202414580547,0.05462849869045754
ASO361-384_total_20210621,G11,Ionis1375651_10_P31,Ionis1375651_10uM_P31,36.5456088288109,27.5422132804221,9.003395548388799,,,2.882168249109781,,
ASO361-384_total_20210621,G12,Ionis1375651_10_P31,Ionis1375651_10uM_P31,38.9781883507183,27.55626640091,11.421921949808297,,,5.300694650529279,,
ASO361-384_total_20210621,H10,Ionis1375651_10_P31,Ionis1375651_10uM_P31,39.6402973114385,27.949770602478,11.690526708960501,,,5.569299409681483,4.314546605433734,0.05025647850146264
ASO361-384_total_20210621,H11,Ionis1375651_10_P31,Ionis1375651_10uM_P31,37.0526015124436,27.8715804119786,9.181021100465003,,,3.059793801185985,,
ASO361-384_total_20210621,H12,Ionis1375651_10_P31,Ionis1375651_10uM_P31, ,27.8463073584994,,,,,,
ASO361-384_total_20210621,G13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.0549992098576,24.9732661818569,10.081733028000698,,,3.9605057287216807,3.9600458282970137,0.06425507302268663
ASO361-384_total_20210621,G14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,34.8816841222824,24.9134833519944,9.968200770288,,,3.8469734710089822,,
ASO361-384_total_20210621,G15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.1244461467484,24.930560562309,10.193885584439396,,,4.0726582851603785,,
ASO361-384_total_20210621,H13,Ionis1375651_3_P31,Ionis1375651_3uM_P31,34.7552746187304,25.190230337559,9.565044281171396,,,3.443816981892378,4.029392856651381,0.061239535204638894
ASO361-384_total_20210621,H14,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.5288404409802,25.1707328943339,10.358107546646298,,,4.236880247367281,,
ASO361-384_total_20210621,H15,Ionis1375651_3_P31,Ionis1375651_3uM_P31,35.7455564240527,25.2168477840792,10.528708639973502,,,4.407481340694484,,
ASO361-384_total_20210621,G16,Ionis676630_10_P31,Ionis676630_10uM_P31,35.7763809801207,27.0076284210058,8.768752559114898,,,2.64752525983588,2.323227590652947,0.19981993274401616
ASO361-384_total_20210621,G17,Ionis676630_10_P31,Ionis676630_10uM_P31,35.8249807819524,27.0720307699808,8.752950011971599,,,2.6317227126925813,,
ASO361-384_total_20210621,G18,Ionis676630_10_P31,Ionis676630_10uM_P31,34.8356654549255,27.0240033562161,7.811662098709398,,,1.6904347994303803,,
ASO361-384_total_20210621,H16,Ionis676630_10_P31,Ionis676630_10uM_P31,35.1158501127875,27.9109638560243,7.204886256763199,,,1.0836589574841815,1.8974892711439315,0.2684100747034417
ASO361-384_total_20210621,H17,Ionis676630_10_P31,Ionis676630_10uM_P31, ,27.834648274736,,,,,,
ASO361-384_total_20210621,H18,Ionis676630_10_P31,Ionis676630_10uM_P31,36.738935729412,27.9063888453293,8.8325468840827,,,2.7113195848036815,,
ASO361-384_total_20210621,A1,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.2102778858797,24.8694500555065,8.340827830373197,,,2.219600531094179,2.3995879403226126,0.18951869303504165
ASO361-384_total_20210621,A2,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.1945912074024,24.8298630914046,8.364728115997796,,,2.243500816718778,,
ASO361-384_total_20210621,A3,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.7257395533627,24.8688497809288,8.856889772433899,,,2.735662473154881,,
ASO361-384_total_20210621,A4,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.8029697593408,24.3718414493438,9.431128309996996,,,3.3099010107179785,2.934192267814647,0.13083384787191948
ASO361-384_total_20210621,A5,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.3039528144678,24.3825424144935,8.921410399974299,,,2.800183100695281,,
