Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO361-384_WT_20210621,A1,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,34.0267730439559,24.9995153568961
ASO361-384_WT_20210621,A2,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.5757583251113,25.0078772265848
ASO361-384_WT_20210621,A3,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,34.2160429991169,25.0616658592561
ASO361-384_WT_20210621,A4,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.3448266004707,24.5117078811877
ASO361-384_WT_20210621,A5,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.2262851875759,24.5171562456523
ASO361-384_WT_20210621,A6,ASO361_10,KQJM120_L18_5-08-5_10uM_P31,33.6820344661338,24.5329450767547
ASO361-384_WT_20210621,A7,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.7133915926354,23.14785658798
ASO361-384_WT_20210621,A8,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.4044379002544,23.1255792012451
ASO361-384_WT_20210621,A9,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.6664213041396,23.152796184589
ASO361-384_WT_20210621,A10,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.62846843415,22.9971976132352
ASO361-384_WT_20210621,A11,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.3594891343801,22.998272845916
ASO361-384_WT_20210621,A12,ASO361_3,KQJM120_L18_5-08-5_3uM_P31,31.5035025666606,23.0103685375548
ASO361-384_WT_20210621,B1,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,33.3786107914965,24.5144992684316
ASO361-384_WT_20210621,B2,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,33.3685084135192,24.3778534214771
ASO361-384_WT_20210621,B3,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,33.337364850027,24.3699189372596
ASO361-384_WT_20210621,B4,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,33.2981861865783,24.3641609391801
ASO361-384_WT_20210621,B5,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,32.7844992652946,24.3172897337941
ASO361-384_WT_20210621,B6,ASO362_10,KQJM121_L17_5-08-4_10uM_P31,32.5583925109326,24.3134522017736
ASO361-384_WT_20210621,B7,ASO362_3,KQJM121_L17_5-08-4_3uM_P31,30.5243463470201,22.1676613719852
ASO361-384_WT_20210621,B8,ASO362_3,KQJM121_L17_5-08-4_3uM_P31,30.205687612968,22.1245267804634
ASO361-384_WT_20210621,B9,ASO362_3,KQJM121_L17_5-08-4_3uM_P31,30.3473257795844,22.0465737381162
