Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO385-408_WT_20210621,G1,Naïve_P33,Naïve_P33,29.1930601586601,21.6539050450254,7.539155113634699,7.940985316285705,0.25870699158570987,-0.40183020265100566,-0.462181586112204,1.3776234312866713
ASO385-408_WT_20210621,G2,Naïve_P33,Naïve_P33,29.0480165363669,21.5746486126389,7.473367923728002,,,-0.4676173925577025,,
ASO385-408_WT_20210621,G3,Naïve_P33,Naïve_P33,28.938710825325,21.5148226721672,7.423888153157801,,,-0.5170971631279038,,
ASO385-408_WT_20210621,G4,Naïve_P33,Naïve_P33,29.1971361183894,21.3573455850919,7.839790533297499,,,-0.10119478298820539,-0.07190775908477083,1.051105702887618
ASO385-408_WT_20210621,G5,Naïve_P33,Naïve_P33,29.2078112691329,21.2748292354032,7.932982033729701,,,-0.00800328255600391,,
ASO385-408_WT_20210621,G6,Naïve_P33,Naïve_P33,29.0269161382001,21.1924560336245,7.8344601045756015,,,-0.10652521171010321,,
ASO385-408_WT_20210621,G7,Naïve_P33,Naïve_P33,29.5461763441673,21.6417130815339,7.904463262633399,,,-0.03652205365230543,-0.07650087506440428,1.0544574464315892
ASO385-408_WT_20210621,G8,Naïve_P33,Naïve_P33,29.3953776599723,21.5448424194619,7.8505352405104,,,-0.09045007577530484,,
ASO385-408_WT_20210621,G9,Naïve_P33,Naïve_P33,29.1774548702068,21.3390000496867,7.838454820520102,,,-0.10253049576560258,,
ASO385-408_WT_20210621,H1,Naïve_P33,Naïve_P33,30.0148381515156,21.7684431687378,8.246394982777801,,,0.3054096664920962,0.28664129525842935,0.8198084155127437
ASO385-408_WT_20210621,H2,Naïve_P33,Naïve_P33,29.772205172316,21.5647756778727,8.2074294944433,,,0.26644417815759525,,
ASO385-408_WT_20210621,H3,Naïve_P33,Naïve_P33,29.5298634343307,21.3008080769194,8.229055357411301,,,0.28807004112559653,,
ASO385-408_WT_20210621,H4,Naïve_P33,Naïve_P33,29.9325040646501,21.8511166800792,8.081387384570899,,,0.1404020682851943,0.13164091491852759,0.912792653278587
ASO385-408_WT_20210621,H5,Naïve_P33,Naïve_P33,29.6129660790399,21.4504011747657,8.162564904274198,,,0.22157958798849364,,
ASO385-408_WT_20210621,H6,Naïve_P33,Naïve_P33,29.1904720685276,21.21654566376,7.9739264047675995,,,0.03294108848189481,,
ASO385-408_WT_20210621,H7,Naïve_P33,Naïve_P33,30.2790661995374,22.0694580108426,8.209608188694801,,,0.26862287240909666,0.19230801008443046,0.8752044568144537
ASO385-408_WT_20210621,H8,Naïve_P33,Naïve_P33,30.0449932654295,21.8731591150924,8.171834150337101,,,0.23084883405139678,,
ASO385-408_WT_20210621,H9,Naïve_P33,Naïve_P33,29.7526216628592,21.7341840227807,8.018437640078503,,,0.07745232379279798,,
ASO385-408_WT_20210621,G10,Ionis1375651_10_P33,Ionis1375651_10uM_P33,35.5354787770074,26.8690583276939,8.666420449313499,,,0.7254351330277942,0.365528282808062,0.7761846014345318
ASO385-408_WT_20210621,G11,Ionis1375651_10_P33,Ionis1375651_10uM_P33,34.8263164651658,26.7226267737999,8.103689691365904,,,0.16270437508019953,,
ASO385-408_WT_20210621,G12,Ionis1375651_10_P33,Ionis1375651_10uM_P33,34.8094481919026,26.6600175353007,8.149430656601897,,,0.20844534031619233,,
ASO385-408_WT_20210621,H10,Ionis1375651_10_P33,Ionis1375651_10uM_P33,37.4229920271998,28.3236990249027,9.099293002297095,,,1.1583076860113906,1.5255222906189612,0.34735378169623243
ASO385-408_WT_20210621,H11,Ionis1375651_10_P33,Ionis1375651_10uM_P33,37.444623583495,28.0885301062145,9.356093477280503,,,1.415108160994798,,
ASO385-408_WT_20210621,H12,Ionis1375651_10_P33,Ionis1375651_10uM_P33,37.8191739704177,27.8750376292813,9.9441363411364,,,2.0031510248506947,,
ASO385-408_WT_20210621,G13,Ionis1375651_3_P33,Ionis1375651_3uM_P33,34.1301592792978,25.5041023361286,8.6260569431692,,,0.6850716268834951,0.3294368562806606,0.795847075258854
ASO385-408_WT_20210621,G14,Ionis1375651_3_P33,Ionis1375651_3uM_P33,33.3170822343088,25.3760512853278,7.941030948980998,,,4.563269529356262e-05,,
