Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO385-408_total_20210621,O1,Naïve_P34,Naïve_P34,27.3236925665227,20.9504783135147,6.373214253007998,6.506846052378218,0.129801849903406,-0.13363179937022007,-0.0903812842989522,1.06465151791191
ASO385-408_total_20210621,O2,Naïve_P34,Naïve_P34,27.3670587697153,20.8916639604953,6.475394809219999,,,-0.03145124315821857,,
ASO385-408_total_20210621,O3,Naïve_P34,Naïve_P34,27.2584203260999,20.8576350840901,6.4007852420098,,,-0.10606081036841797,,
ASO385-408_total_20210621,O4,Naïve_P34,Naïve_P34,27.3328234711791,21.0544739405678,6.278349530611301,,,-0.2284965217669166,-0.18433475989881773,1.136292897194109
ASO385-408_total_20210621,O5,Naïve_P34,Naïve_P34,27.3035195775003,20.9364609622715,6.3670586152288,,,-0.1397874371494181,,
ASO385-408_total_20210621,O6,Naïve_P34,Naïve_P34,27.2120915793512,20.8899658477531,6.322125731598099,,,-0.18472032078011846,,
ASO385-408_total_20210621,O7,Naïve_P34,Naïve_P34,27.5815918497525,21.118536806562,6.463055043190501,,,-0.043791009187716945,-0.03751249490688391,1.0263426728102798
ASO385-408_total_20210621,O8,Naïve_P34,Naïve_P34,27.5651132459565,21.0405469962597,6.5245662496968,,,0.017720197318582542,,
ASO385-408_total_20210621,O9,Naïve_P34,Naïve_P34,27.5018735280736,21.0814941485469,6.4203793795267,,,-0.08646667285151732,,
ASO385-408_total_20210621,P1,Naïve_P34,Naïve_P34,28.0837901157156,21.5579896222133,6.525800493502302,,,0.01895444112408473,0.09652618167588489,0.9352823181922926
ASO385-408_total_20210621,P2,Naïve_P34,Naïve_P34,28.0908462570246,21.425219807871,6.665626449153603,,,0.15878039677538514,,
ASO385-408_total_20210621,P3,Naïve_P34,Naïve_P34,27.9912980146807,21.3726082551743,6.6186897595064025,,,0.11184370712818481,,
ASO385-408_total_20210621,P4,Naïve_P34,Naïve_P34,28.030439326067,21.3417263182875,6.688713007779501,,,0.18186695540128373,0.17009122724451556,0.8887864779478349
ASO385-408_total_20210621,P5,Naïve_P34,Naïve_P34,27.9841861416948,21.2626208721909,6.721565269503898,,,0.21471921712568065,,
ASO385-408_total_20210621,P6,Naïve_P34,Naïve_P34,27.8018807497004,21.1813471881156,6.6205335615848,,,0.11368750920658233,,
ASO385-408_total_20210621,P7,Naïve_P34,Naïve_P34,28.0241652198227,21.5229994943907,6.501165725431999,,,-0.00568032694621845,0.04561113018424804,0.9688793096538469
ASO385-408_total_20210621,P8,Naïve_P34,Naïve_P34,27.8561168080427,21.291738952041,6.564377856001698,,,0.05753180362348065,,
ASO385-408_total_20210621,P9,Naïve_P34,Naïve_P34,27.7224072155355,21.1305792492818,6.5918279662537,,,0.08498191387548193,,
ASO385-408_total_20210621,O10,Ionis1375651_10_P34,Ionis1375651_10uM_P34,34.0681920773155,25.6540290480496,8.4141630292659,,,1.9073169768876825,1.876939548519182,0.27226066179959885
ASO385-408_total_20210621,O11,Ionis1375651_10_P34,Ionis1375651_10uM_P34,33.8956945851806,25.6995594244711,8.196135160709499,,,1.6892891083312813,,
ASO385-408_total_20210621,O12,Ionis1375651_10_P34,Ionis1375651_10uM_P34,34.084785174181,25.5437265614642,8.5410586127168,,,2.034212560338582,,
ASO385-408_total_20210621,P10,Ionis1375651_10_P34,Ionis1375651_10uM_P34,36.2435457900764,27.6918026155391,8.551743174537304,,,2.044897122159086,3.4424548200881824,0.09198517531946289
ASO385-408_total_20210621,P11,Ionis1375651_10_P34,Ionis1375651_10uM_P34,36.5904744439208,27.7008121589174,8.889662285003396,,,2.3828162326251787,,
ASO385-408_total_20210621,P12,Ionis1375651_10_P34,Ionis1375651_10uM_P34,40.0,27.5935028421415,12.4064971578585,,,5.899651105480282,,
ASO385-408_total_20210621,O13,Ionis1375651_3_P34,Ionis1375651_3uM_P34,30.6407926729339,23.7414317820538,6.8993608908801,,,0.3925148385018824,0.44839985958548184,0.7328552311559632
ASO385-408_total_20210621,O14,Ionis1375651_3_P34,Ionis1375651_3uM_P34,30.814132667811,23.7397701115531,7.074362556257899,,,0.5675165038796814,,
ASO385-408_total_20210621,O15,Ionis1375651_3_P34,Ionis1375651_3uM_P34,30.5943620377221,23.702347748969,6.892014288753099,,,0.3851682363748816,,
ASO385-408_total_20210621,P13,Ionis1375651_3_P34,Ionis1375651_3uM_P34,31.3436109517299,25.0336510780691,6.309959873660802,,,-0.1968861787174161,-0.28198024868571664,1.2158626372192711
ASO385-408_total_20210621,P14,Ionis1375651_3_P34,Ionis1375651_3uM_P34,31.1839541518907,25.0111451742862,6.1728089776045,,,-0.33403707477371736,,
ASO385-408_total_20210621,P15,Ionis1375651_3_P34,Ionis1375651_3uM_P34,31.1134339194777,24.9216053596655,6.191828559812201,,,-0.3150174925660165,,
ASO385-408_total_20210621,O16,Ionis676630_10_P34,Ionis676630_10uM_P34,30.0994968781737,24.3798104888516,5.719686389322099,,,-0.7871596630561184,-0.7905692165569524,1.7297568050179362
ASO385-408_total_20210621,O17,Ionis676630_10_P34,Ionis676630_10uM_P34,30.2275546200896,24.4078900853831,5.819664534706497,,,-0.6871815176717204,,
