ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P34,1.06465151791191,,,Naïve_P34,1.06465151791191,1.136292897194109,1.0263426728102798,0.9352823181922926,0.8887864779478349,0.9688793096538469
Naïve_P34,,,,Ionis1375651_10uM_P34,0.27226066179959885,0.09198517531946289,,,,
Naïve_P34,,,,Ionis1375651_3uM_P34,,,0.7328552311559632,1.2158626372192711,,
Naïve_P34,1.136292897194109,,,Ionis676630_10uM_P34,1.7297568050179362,0.4082736150388234,,,,
Naïve_P34,,,,KQJM142_L18_5-08-5_10uM_P34,0.4361466385424166,0.4287820636786276,,,,
Naïve_P34,,,,KQJM142_L18_5-08-5_3uM_P34,,,0.659150506038335,0.5617266426864612,,
Naïve_P34,1.0263426728102798,,,KQJM143_L17_4-10-3_10uM_P34,0.7044469367857293,1.0144246467667024,,,,
Naïve_P34,,,,KQJM143_L17_4-10-3_3uM_P34,,,0.6048258543050482,0.4935897908618486,,
Naïve_P34,,,,KQJM144_L17_4-10-3_10uM_P34,1.4101044388503412,0.40426395439339274,,,,
Naïve_P34,0.9352823181922926,,,KQJM144_L17_4-10-3_3uM_P34,,,0.5750664409251263,0.5349756375142714,,
Naïve_P34,,,,KQJM145_L18_4-10-4_10uM_P34,0.3670419334071891,0.4128088731010506,,,,
Naïve_P34,,,,KQJM145_L18_4-10-4_3uM_P34,,,0.4666697624918677,0.4938456190927316,,
Naïve_P34,0.8887864779478349,,,KQJM146_L18_5-08-5_10uM_P34,0.2966044133188239,1.0575427189649698,,,,
Naïve_P34,,,,KQJM146_L18_5-08-5_3uM_P34,,,0.5073537129632518,0.5518805745978754,,
Naïve_P34,,,,KQJM147_L17_4-10-3_10uM_P34,1.095593406415713,0.7252531177063912,,,,
Naïve_P34,0.9688793096538469,,,KQJM147_L17_4-10-3_3uM_P34,,,1.8987177618339768,0.5584700026804519,,
Naïve_P34,,,,KQJM148_L17_5-08-4_10uM_P34,0.2647712212686146,0.27434134863927806,,,,
Naïve_P34,,,,KQJM148_L17_5-08-4_3uM_P34,,,0.6800077251695639,0.5005419355100353,,
