Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO409-432_total_20210621,A1,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.2051721972758,25.3134115436489
ASO409-432_total_20210621,A2,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.1664137818034,25.3115465433611
ASO409-432_total_20210621,A3,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.0630356648564,25.2087873685609
ASO409-432_total_20210621,A4,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.6389043510337,24.8485969104929
ASO409-432_total_20210621,A5,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.3029075468885,24.8149104513015
ASO409-432_total_20210621,A6,ASO409_10,KQJM162_L18_5-08-5_10uM_P35,32.3126771922832,24.8062452084532
ASO409-432_total_20210621,A7,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.7291717310524,23.1794918944931
ASO409-432_total_20210621,A8,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.8577576234426,23.1045651313269
ASO409-432_total_20210621,A9,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.6869851816512,23.1189616953957
ASO409-432_total_20210621,A10,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.7785560205692,23.0269384335337
ASO409-432_total_20210621,A11,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.7907702804936,22.9848906667828
ASO409-432_total_20210621,A12,ASO409_3,KQJM162_L18_5-08-5_3uM_P35,30.5343624671711,22.9988905869656
ASO409-432_total_20210621,B1,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.8959078411789,25.6385535572862
ASO409-432_total_20210621,B2,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.4201203625713,25.6128768923871
ASO409-432_total_20210621,B3,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.34046912941,25.6317537416246
ASO409-432_total_20210621,B4,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.1157895098434,25.2672838807998
ASO409-432_total_20210621,B5,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.1772900973771,25.2078917232863
ASO409-432_total_20210621,B6,ASO410_10,KQJM163_L19_5-10-4_10uM_P35,32.031310570697,25.1617451286692
ASO409-432_total_20210621,B7,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,31.2664276180765,23.3903153930164
ASO409-432_total_20210621,B8,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,30.9134143722973,23.3256387855348
ASO409-432_total_20210621,B9,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,31.1196771145625,23.2714435583524
ASO409-432_total_20210621,B10,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,30.9406925640303,23.7407674313511
ASO409-432_total_20210621,B11,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,30.9272896469409,23.7460478190974
ASO409-432_total_20210621,B12,ASO410_3,KQJM163_L19_5-10-4_3uM_P35,30.881976272922,23.6952365713267
