Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO433-456_WT_20210622,O1,Naïve_P38,Naïve_P38,28.9180267164297,21.3366320464625,7.5813946699671995,,,,-0.6246312895432347,-0.6125062027855002,1.5289128809630932
ASO433-456_WT_20210622,O2,Naïve_P38,Naïve_P38,28.9693190158218,21.3361599927424,7.633159023079401,,,,-0.5728669364310335,,
ASO433-456_WT_20210622,O3,Naïve_P38,Naïve_P38,28.9598214689772,21.393815891849,7.566005577128202,,,,-0.6400203823822324,,
ASO433-456_WT_20210622,O4,Naïve_P38,Naïve_P38,28.9625096746325,21.1952350944529,7.767274580179599,,,,-0.4387513793308351,-0.4442098724634344,1.3605687633583132
ASO433-456_WT_20210622,O5,Naïve_P38,Naïve_P38,28.8717917385319,21.2015944244575,7.6701973140744,,,,-0.5358286454360339,,
ASO433-456_WT_20210622,O6,Naïve_P38,Naïve_P38,29.1410187633362,21.2930423964492,7.847976366887,,,,-0.35804959262343417,,
ASO433-456_WT_20210622,O7,Naïve_P38,Naïve_P38,29.0319216037047,21.5597123151157,7.472209288588999,,,,-0.7338166709214349,-0.7284441672873344,1.656851344449869
ASO433-456_WT_20210622,O8,Naïve_P38,Naïve_P38,29.0401818435809,21.5626145394571,7.477567304123799,,,,-0.7284586553866355,,
ASO433-456_WT_20210622,O9,Naïve_P38,Naïve_P38,29.13160092101,21.6486321370535,7.482968783956501,,,,-0.723057175553933,,
ASO433-456_WT_20210622,P1,Naïve_P38,Naïve_P38,29.2003113330809,21.4352957079309,7.765015625149999,,,,-0.4410103343604348,-0.5319155183078692,1.44584762576477
ASO433-456_WT_20210622,P2,Naïve_P38,Naïve_P38,29.1216336497967,21.5304938571739,7.591139792622798,,,,-0.6148861668876364,,
ASO433-456_WT_20210622,P3,Naïve_P38,Naïve_P38,29.2370466870863,21.5708707812514,7.666175905834898,,,,-0.5398500536755364,,
ASO433-456_WT_20210622,P4,Naïve_P38,Naïve_P38,28.9741946489059,21.3058294151369,7.668365233769002,,,,-0.5376607257414321,-0.5888657946781315,1.5040638307861351
ASO433-456_WT_20210622,P5,Naïve_P38,Naïve_P38,28.9099076776193,21.2975017540679,7.612405923551403,,,,-0.5936200359590309,,
ASO433-456_WT_20210622,P6,Naïve_P38,Naïve_P38,28.9674691992669,21.3967598620904,7.570709337176503,,,,-0.6353166223339315,,
ASO433-456_WT_20210622,P7,Naïve_P38,Naïve_P38,29.1774499912065,21.6881617029577,7.489288288248801,,,,-0.7167376712616331,-0.7342298053668657,1.6635091542602416
ASO433-456_WT_20210622,P8,Naïve_P38,Naïve_P38,29.1210398258521,21.6560291019097,7.465010723942402,,,,-0.7410152355680317,,
ASO433-456_WT_20210622,P9,Naïve_P38,Naïve_P38,29.2427391276501,21.7816496774106,7.461089450239502,,,,-0.7449365092709321,,
ASO433-456_WT_20210622,O10,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.8322141707919,25.6113890044426,11.2208251663493,,,,3.014799206838866,2.801946173527264,0.143393727900824
ASO433-456_WT_20210622,O11,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.8464613845511,25.6030391466521,11.243422237898997,,,,3.037396278388563,,
ASO433-456_WT_20210622,O12,Ionis1375651_10_P38,Ionis1375651_10uM_P38,36.2326358463462,25.6729668514814,10.559668994864797,,,,2.353643035354363,,
ASO433-456_WT_20210622,P10,Ionis1375651_10_P38,Ionis1375651_10uM_P38,38.3456841540914,27.2900551390094,11.055629015082001,,,,2.849603055571567,2.9626577782999006,0.1282776933108962
ASO433-456_WT_20210622,P11,Ionis1375651_10_P38,Ionis1375651_10uM_P38,40.0,27.3210281105954,12.6789718894046,,,,4.472945929894166,,
ASO433-456_WT_20210622,P12,Ionis1375651_10_P38,Ionis1375651_10uM_P38,37.2525503660717,27.4811000571273,9.771450308944402,,,,1.5654243494339681,,
ASO433-456_WT_20210622,O13,Ionis1375651_3_P38,Ionis1375651_3uM_P38,33.0374081810218,24.4762937011092,8.561114479912604,,,,0.35508852040216965,0.3963815911308674,0.7597614456189231
ASO433-456_WT_20210622,O14,Ionis1375651_3_P38,Ionis1375651_3uM_P38,33.042023558009,24.5009869080503,8.541036649958698,,,,0.33501069044826437,,
ASO433-456_WT_20210622,O15,Ionis1375651_3_P38,Ionis1375651_3uM_P38,33.252639337353,24.5475678153004,8.705071522052602,,,,0.49904556254216814,,
ASO433-456_WT_20210622,P13,Ionis1375651_3_P38,Ionis1375651_3uM_P38,35.069732815448,25.2492372933165,9.820495522131498,,,,1.6144695626210641,1.638614371591532,0.3211647872376392
ASO433-456_WT_20210622,P14,Ionis1375651_3_P38,Ionis1375651_3uM_P38,34.6778038700853,25.2867161442499,9.391087725835398,,,,1.1850617663249636,,
ASO433-456_WT_20210622,P15,Ionis1375651_3_P38,Ionis1375651_3uM_P38,35.68418681856,25.361849073221,10.322337745339002,,,,2.116311785828568,,
ASO433-456_WT_20210622,O16,Ionis676630_10_P38,Ionis676630_10uM_P38,33.8205194440372,25.5814523029191,8.239067141118102,8.2430625087812,8.206025959510434,0.052377590282218285,0.033041181607668335,0.03703654927076627,0.9746549386471823
ASO433-456_WT_20210622,O17,Ionis676630_10_P38,Ionis676630_10uM_P38,33.698866136654,25.6056971918104,8.093168944843598,,,,-0.11285701466683662,,
ASO433-456_WT_20210622,O18,Ionis676630_10_P38,Ionis676630_10uM_P38,34.0233319230678,25.6263804826859,8.396951440381901,,,,0.1909254808714671,,
