ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P38,1.5289128809630932,,,Naïve_P38,1.5289128809630932,1.3605687633583132,1.656851344449869,1.44584762576477,1.5040638307861351,1.6635091542602416
Naïve_P38,,,,Ionis1375651_10uM_P38,0.143393727900824,0.1282776933108962,,,,
Naïve_P38,,,,Ionis1375651_3uM_P38,,,0.7597614456189231,0.3211647872376392,,
Naïve_P38,1.3605687633583132,,,Ionis676630_10uM_P38,0.9746549386471823,1.026004137821328,,,,
Naïve_P38,,,,KQ2025_L20_5-10-5_10uM_P38,0.6980352294331846,0.649989248178198,,,,
Naïve_P38,,,,KQ2025_L20_5-10-5_3uM_P38,,,0.695186328818654,0.5116049182483504,,
Naïve_P38,1.656851344449869,,,KQ2026_L21_6-10-5_10uM_P38,1.048133143802749,0.5818617472628397,,,,
Naïve_P38,,,,KQ2026_L21_6-10-5_3uM_P38,,,0.38801953374382275,0.3426920033685047,,
Naïve_P38,,,,KQ2027_L21_6-10-5_10uM_P38,1.047969394363479,0.790914042023909,,,,
Naïve_P38,1.44584762576477,,,KQ2027_L21_6-10-5_3uM_P38,,,0.6071378064125245,0.46108811284753937,,
Naïve_P38,,,,KQ2028_L21_6-10-5_10uM_P38,0.6301061390783973,0.5799340548610002,,,,
Naïve_P38,,,,KQ2028_L21_6-10-5_3uM_P38,,,0.8031338537742262,0.3447147691348376,,
Naïve_P38,1.5040638307861351,,,KQ2029_L21_6-10-5_10uM_P38,1.3465666056508945,0.7709372664270797,,,,
Naïve_P38,,,,KQ2029_L21_6-10-5_3uM_P38,,,0.4136088705979391,1.0338807493969533,,
Naïve_P38,,,,KQ2030_L19_5-10-4_10uM_P38,1.2629308978713805,1.1947247186721062,,,,
Naïve_P38,1.6635091542602416,,,KQ2030_L19_5-10-4_3uM_P38,,,0.6502464774014903,1.1026083853147852,,
Naïve_P38,,,,KQ2031_L18_4-10-4_10uM_P38,0.6118430844086516,0.7181109724046832,,,,
Naïve_P38,,,,KQ2031_L18_4-10-4_3uM_P38,,,0.7095477075227853,0.8523907954764672,,
Ionis1375651_10uM_P38,0.143393727900824,,,KQ2032_L21_6-10-5_10uM_P38,1.1404013300992826,1.311520810203274,,,,
Ionis1375651_10uM_P38,,,,KQ2032_L21_6-10-5_3uM_P38,,,0.5921129206030185,0.5247831194600839,,
Ionis1375651_10uM_P38,,,,KQ2033_L21_6-10-5_10uM_P38,0.7725399132323286,0.7481478281744357,,,,
Ionis1375651_10uM_P38,0.1282776933108962,,,KQ2033_L21_6-10-5_3uM_P38,,,0.37881344805605804,0.4894173473071731,,
Ionis1375651_10uM_P38,,,,KQ2034_L18_4-10-4_10uM_P38,1.0399908112189216,1.0723215644507915,,,,
Ionis1375651_10uM_P38,,,,KQ2034_L18_4-10-4_3uM_P38,,,1.04925366391246,1.0642341385805125,,
Ionis1375651_3uM_P38,0.7597614456189231,,,KQ2035_L19_5-10-4_10uM_P38,0.5807103682048499,0.7669155666612452,,,,
Ionis1375651_3uM_P38,,,,KQ2035_L19_5-10-4_3uM_P38,,,0.5762370277357147,0.8019365264061338,,
Ionis1375651_3uM_P38,,,,KQ2036_L20_5-10-5_10uM_P38,1.5996161768928918,1.5317007188715566,,,,
Ionis1375651_3uM_P38,0.3211647872376392,,,KQ2036_L20_5-10-5_3uM_P38,,,1.4168111436453144,1.0952633368654894,,
Ionis1375651_3uM_P38,,,,,,,,,,
Ionis1375651_3uM_P38,,,,,,,,,,
Ionis676630_10uM_P38,0.9746549386471823,,,,,,,,,
Ionis676630_10uM_P38,,,,,,,,,,
Ionis676630_10uM_P38,,,,,,,,,,
Ionis676630_10uM_P38,1.026004137821328,,,,,,,,,
Ionis676630_10uM_P38,,,,,,,,,,
Ionis676630_10uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,0.6980352294331846,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,0.649989248178198,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_10uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,0.695186328818654,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,0.5116049182483504,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,,,,,,,,,,
KQ2025_L20_5-10-5_3uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,1.048133143802749,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,0.5818617472628397,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,0.38801953374382275,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,0.3426920033685047,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2026_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,1.047969394363479,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,0.790914042023909,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,0.6071378064125245,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,0.46108811284753937,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2027_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,0.6301061390783973,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,0.5799340548610002,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_10uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,0.8031338537742262,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,0.3447147691348376,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2028_L21_6-10-5_3uM_P38,,,,,,,,,,
KQ2029_L21_6-10-5_10uM_P38,1.3465666056508945,,,,,,,,,
