Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO433-456_total_20210622,A1,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.1345047596992,28.4791775945777
ASO433-456_total_20210622,A2,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.7088750825242,28.3721229999197
ASO433-456_total_20210622,A3,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,34.9536527821469,28.4846815198335
ASO433-456_total_20210622,A4,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.2998983804102,28.1635698742256
ASO433-456_total_20210622,A5,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.920486133956,28.1654793913889
ASO433-456_total_20210622,A6,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.0392499773687,28.1860768512628
ASO433-456_total_20210622,A7,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.0598774405846,24.2569071832141
ASO433-456_total_20210622,A8,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,32.8434653351183,24.2212291187284
ASO433-456_total_20210622,A9,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,32.7424180797473,24.2637714942148
ASO433-456_total_20210622,A10,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.8355181044608,24.7146576186331
ASO433-456_total_20210622,A11,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,34.1179222645915,24.6633749919519
ASO433-456_total_20210622,A12,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.2665216211167,24.6905705798516
ASO433-456_total_20210622,B1,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,33.3865998920357,25.5473456916747
ASO433-456_total_20210622,B2,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.1832607174266,25.5147118096804
ASO433-456_total_20210622,B3,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.1669043589663,25.5065730411477
ASO433-456_total_20210622,B4,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.007615088204,25.8425418555565
ASO433-456_total_20210622,B5,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.2211111468075,25.8661348300894
ASO433-456_total_20210622,B6,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.9522154072281,25.8532076872706
ASO433-456_total_20210622,B7,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.917051264968,22.8926797381924
ASO433-456_total_20210622,B8,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.0566069016891,22.8498268811842
ASO433-456_total_20210622,B9,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.7628619865055,22.8526195810229
ASO433-456_total_20210622,B10,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.1882232308155,23.1730298246899
ASO433-456_total_20210622,B11,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.0600809797922,23.1103154532551
ASO433-456_total_20210622,B12,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.2653519572624,23.1943312025402
ASO433-456_total_20210622,C1,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,34.0374891506936,28.4792398655946
ASO433-456_total_20210622,C2,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,33.9355610527604,28.5481767142689
ASO433-456_total_20210622,C3,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,34.1010894565631,28.5327814537289
ASO433-456_total_20210622,C4,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.9358960374394,29.3309863356504
ASO433-456_total_20210622,C5,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.1434367347841,29.345214942633
ASO433-456_total_20210622,C6,ASO435_10,KQ2015_L21_6-10-5_10uM_P37,35.8377039225718,29.2702475549711
ASO433-456_total_20210622,C7,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,33.423586470471,26.5619796264616
ASO433-456_total_20210622,C8,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,33.1463999637929,26.5368143440194
ASO433-456_total_20210622,C9,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,33.0938140089224,26.5362111462812
ASO433-456_total_20210622,C10,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,32.8769858514294,26.7711778579074
ASO433-456_total_20210622,C11,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,33.1683938626369,26.7500676586337
ASO433-456_total_20210622,C12,ASO435_3,KQ2015_L21_6-10-5_3uM_P37,32.8964576355136,26.7479993119775
ASO433-456_total_20210622,D1,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,34.7277030925234,26.9518154346791
ASO433-456_total_20210622,D2,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,34.5741519022012,26.9781943021696
ASO433-456_total_20210622,D3,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,34.5274775836581,26.9991880433825
ASO433-456_total_20210622,D4,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.4611772216625,27.4078352909254
ASO433-456_total_20210622,D5,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.6345669094306,27.3943899207492
ASO433-456_total_20210622,D6,ASO436_10,KQ2016_L21_6-10-5_10uM_P37,35.2063996130217,27.334286505178
ASO433-456_total_20210622,D7,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9070210089285,23.922142672501
ASO433-456_total_20210622,D8,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.910408840839,23.9136234517588
ASO433-456_total_20210622,D9,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9740747781165,23.947729072228
ASO433-456_total_20210622,D10,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,33.0212330708718,23.7726286825106
ASO433-456_total_20210622,D11,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9531425985759,23.7472452413507
ASO433-456_total_20210622,D12,ASO436_3,KQ2016_L21_6-10-5_3uM_P37,32.9054871106267,23.8189927001801
ASO433-456_total_20210622,E1,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,34.6597886687774,26.6127342510548
ASO433-456_total_20210622,E2,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,34.6904737255663,26.6566665307797
ASO433-456_total_20210622,E3,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,35.698354479899,26.6418763218577
ASO433-456_total_20210622,E4,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,36.3083379541544,26.8113499500553
ASO433-456_total_20210622,E5,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,35.3717784855688,26.7408333985631
ASO433-456_total_20210622,E6,ASO437_10,KQ2017_L21_6-10-5_10uM_P37,34.3475097022217,26.7702352620875
ASO433-456_total_20210622,E7,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,32.9306097091199,23.8862467088603
ASO433-456_total_20210622,E8,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,32.9352615906757,23.9007885960647
ASO433-456_total_20210622,E9,ASO437_3,KQ2017_L21_6-10-5_3uM_P37,33.1673321139327,23.9195185379835
