Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO469-516_total_1.2-4_20210630,O1,Naïve_P43,Naïve_P43,26.9909173165858,20.3452039832729,6.6457133333129015,,,,-2.017177098822705,-1.9971128640241396,3.99200316369763
ASO469-516_total_1.2-4_20210630,O2,Naïve_P43,Naïve_P43,26.9708551856062,20.3431744329764,6.6276807526298,,,,-2.0352096795058063,,
ASO469-516_total_1.2-4_20210630,O3,Naïve_P43,Naïve_P43,27.0282016962731,20.3042630778814,6.723938618391699,,,,-1.9389518137439072,,
ASO469-516_total_1.2-4_20210630,O4,Naïve_P43,Naïve_P43,27.2159343761134,20.4590615546537,6.756872821459698,,,,-1.9060176106759084,-1.9456373864149412,3.852079255136212
ASO469-516_total_1.2-4_20210630,O5,Naïve_P43,Naïve_P43,27.1133542753743,20.4087277454019,6.704626529972398,,,,-1.9582639021632087,,
ASO469-516_total_1.2-4_20210630,O6,Naïve_P43,Naïve_P43,27.2123580014543,20.5220982157244,6.6902597857299,,,,-1.9726306464057064,,
ASO469-516_total_1.2-4_20210630,O7,Naïve_P43,Naïve_P43,27.2421278485293,20.5734039732444,6.6687238752849005,,,,-1.9941665568507059,-1.938763517028739,3.8337692805700443
ASO469-516_total_1.2-4_20210630,O8,Naïve_P43,Naïve_P43,27.2783158795274,20.5534040689322,6.724911810595202,,,,-1.9379786215404042,,
ASO469-516_total_1.2-4_20210630,O9,Naïve_P43,Naïve_P43,27.3274303253598,20.5486852659193,6.778745059440499,,,,-1.884145372695107,,
ASO469-516_total_1.2-4_20210630,P1,Naïve_P43,Naïve_P43,37.4326113461064,28.1665301121289,9.266081233977498,,,,0.6031908018418921,-0.23273399295760733,1.1750596485593794
ASO469-516_total_1.2-4_20210630,P2,Naïve_P43,Naïve_P43,35.8250736338401,28.2036377326602,7.621435901179897,,,,-1.0414545309557095,,
ASO469-516_total_1.2-4_20210630,P3,Naïve_P43,Naïve_P43,36.5240490716395,28.1210968892629,8.402952182376602,,,,-0.2599382497590046,,
