Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO469-516_total_1.2-4_20210630,A1,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,32.9497519246625,24.29514032513
ASO469-516_total_1.2-4_20210630,A2,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.3657036223819,24.2240073290692
ASO469-516_total_1.2-4_20210630,A3,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,32.6931659348702,24.1348077130082
ASO469-516_total_1.2-4_20210630,A4,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.7265088120369,24.5993443740198
ASO469-516_total_1.2-4_20210630,A5,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.0104302501385,24.4081628042316
ASO469-516_total_1.2-4_20210630,A6,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.0924751355477,24.4065222101618
ASO469-516_total_1.2-4_20210630,A7,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.3016804083892,22.1924032804563
ASO469-516_total_1.2-4_20210630,A8,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.2029504626846,22.1663061575462
ASO469-516_total_1.2-4_20210630,A9,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.0924438320551,22.1598073076571
ASO469-516_total_1.2-4_20210630,A10,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.1800867524769,22.6596288254089
ASO469-516_total_1.2-4_20210630,A11,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0074850965792,22.7519733154879
ASO469-516_total_1.2-4_20210630,A12,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.3066684566191,22.7286833778042
ASO469-516_total_1.2-4_20210630,B1,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.0402605708135,24.27909407774
ASO469-516_total_1.2-4_20210630,B2,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,32.8048192859092,24.293210178232
ASO469-516_total_1.2-4_20210630,B3,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.1180908161688,24.2446754273075
ASO469-516_total_1.2-4_20210630,B4,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.7807303962084,24.7730730101696
ASO469-516_total_1.2-4_20210630,B5,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.1177493357731,24.7941037817468
ASO469-516_total_1.2-4_20210630,B6,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.5911839689643,24.7731747837721
ASO469-516_total_1.2-4_20210630,B7,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.0597192119377,22.2714526216028
ASO469-516_total_1.2-4_20210630,B8,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.0979351711624,22.3022513143369
ASO469-516_total_1.2-4_20210630,B9,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.1653412398277,22.2597639481802
ASO469-516_total_1.2-4_20210630,B10,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.0503081566294,22.2094657504509
ASO469-516_total_1.2-4_20210630,B11,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.2828312790269,22.2017794242956
ASO469-516_total_1.2-4_20210630,B12,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,30.9862338296462,22.2154718338073
ASO469-516_total_1.2-4_20210630,C1,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,34.7760997128999,26.3098720369752
ASO469-516_total_1.2-4_20210630,C2,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,34.6033840702362,26.2131937487232
ASO469-516_total_1.2-4_20210630,C3,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,34.6219059359105,26.2105782198267
ASO469-516_total_1.2-4_20210630,C4,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.6499645249463,26.8441010238229
ASO469-516_total_1.2-4_20210630,C5,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,38.007540560623,26.7668916103831
ASO469-516_total_1.2-4_20210630,C6,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.769083599899,26.7100941725455
ASO469-516_total_1.2-4_20210630,C7,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.1758656763026,23.2547119493582
ASO469-516_total_1.2-4_20210630,C8,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,32.9662943851715,23.2216297730048
ASO469-516_total_1.2-4_20210630,C9,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,32.9618282725058,23.277631526588
ASO469-516_total_1.2-4_20210630,C10,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.3165445119915,23.5484240821304
ASO469-516_total_1.2-4_20210630,C11,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.6876449804205,23.565797886822
ASO469-516_total_1.2-4_20210630,C12,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.3684091490228,23.5588822783666
ASO469-516_total_1.2-4_20210630,D1,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,33.056096307954,27.1412058219654
ASO469-516_total_1.2-4_20210630,D2,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,33.422106461472,27.1596532329268
ASO469-516_total_1.2-4_20210630,D3,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,32.8914928811526,27.0647405770788
ASO469-516_total_1.2-4_20210630,D4,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,33.7174595531481,27.9869837680907
ASO469-516_total_1.2-4_20210630,D5,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.2959187626214,27.9727913956068
ASO469-516_total_1.2-4_20210630,D6,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.0738347004729,27.9494418330127
ASO469-516_total_1.2-4_20210630,D7,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,31.5323927194784,24.1760713526851
ASO469-516_total_1.2-4_20210630,D8,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,31.5015996548794,24.1698162744516
ASO469-516_total_1.2-4_20210630,D9,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,31.2308008866023,24.189689099404
ASO469-516_total_1.2-4_20210630,D10,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.0425128923274,25.2348531987978
ASO469-516_total_1.2-4_20210630,D11,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.3317503947465,25.1981140122856
ASO469-516_total_1.2-4_20210630,D12,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.1548977141733,25.2028645408612
ASO469-516_total_1.2-4_20210630,E1,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.2548737213563,24.9069478504482
ASO469-516_total_1.2-4_20210630,E2,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.14139164762,24.9019886311782
ASO469-516_total_1.2-4_20210630,E3,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,33.9193192416231,24.9172787984243
ASO469-516_total_1.2-4_20210630,E4,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.3326903594414,25.8281226681406
ASO469-516_total_1.2-4_20210630,E5,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.6947601040219,25.7491204082666
ASO469-516_total_1.2-4_20210630,E6,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,33.8981588479284,25.7346877503898
ASO469-516_total_1.2-4_20210630,E7,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.4013038826727,23.279886196386
ASO469-516_total_1.2-4_20210630,E8,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.3670518765454,23.1722768346588
ASO469-516_total_1.2-4_20210630,E9,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.2984336261042,23.1988219120991
ASO469-516_total_1.2-4_20210630,E10,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,31.9883653235814,23.7511392892397
ASO469-516_total_1.2-4_20210630,E11,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,31.8272537336146,23.7587491981064
ASO469-516_total_1.2-4_20210630,E12,ASO473_3,KQ2053_L21_7-08-6_3uM_P40,32.0038973268712,23.7685955847805
ASO469-516_total_1.2-4_20210630,F1,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.2187864490957,24.7628935372345
ASO469-516_total_1.2-4_20210630,F2,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.3809897634991,24.7793160277361
ASO469-516_total_1.2-4_20210630,F3,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,33.4016484844441,24.6471200333122
ASO469-516_total_1.2-4_20210630,F4,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,35.0714030196182,26.2982801435315
ASO469-516_total_1.2-4_20210630,F5,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,34.7209375803936,26.345937781113
ASO469-516_total_1.2-4_20210630,F6,ASO474_10,KQ2054_L21_7-08-6_10uM_P40,35.6638573202966,26.2283332781285
ASO469-516_total_1.2-4_20210630,F7,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,32.8198933102504,24.6729011000836
ASO469-516_total_1.2-4_20210630,F8,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,32.7420170107817,24.6477386969527
ASO469-516_total_1.2-4_20210630,F9,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,32.5024105923287,24.6215918061029
ASO469-516_total_1.2-4_20210630,F10,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,34.253798940047,24.9878337655047
ASO469-516_total_1.2-4_20210630,F11,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,34.8403974614861,25.0097293883559
ASO469-516_total_1.2-4_20210630,F12,ASO474_3,KQ2054_L21_7-08-6_3uM_P40,33.7138597238603,25.0038335539447
ASO469-516_total_1.2-4_20210630,A13,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,37.9642300762633,26.514046233567
ASO469-516_total_1.2-4_20210630,A14,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,36.4500088546856,26.5464005479808
ASO469-516_total_1.2-4_20210630,A15,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,36.2232873537545,26.4890226447515
ASO469-516_total_1.2-4_20210630,A16,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,36.4854702276158,25.9415353593666
ASO469-516_total_1.2-4_20210630,A17,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,35.2739345905943,25.8833134371134
ASO469-516_total_1.2-4_20210630,A18,ASO475_10,KQ2055_L21_7-08-6_10uM_P40,36.0183468469964,25.8242234986452
ASO469-516_total_1.2-4_20210630,A19,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,33.958028691736,24.0769277354842
ASO469-516_total_1.2-4_20210630,A20,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,34.7083814881837,23.9634346760904
ASO469-516_total_1.2-4_20210630,A21,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,35.0511288454586,23.9520152400534
ASO469-516_total_1.2-4_20210630,A22,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,34.6275543999699,23.8187491594587
ASO469-516_total_1.2-4_20210630,A23,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,33.6724477854989,23.8449052086004
ASO469-516_total_1.2-4_20210630,A24,ASO475_3,KQ2055_L21_7-08-6_3uM_P40,34.5494944393639,23.9323666352392
ASO469-516_total_1.2-4_20210630,B13,ASO476_10,KQ2056_L21_7-08-6_10uM_P40,34.6464359005736,24.6805997008138
