Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO469-516_WT_1.2-4_20210630,A1,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.216401600621,24.4127871403522
ASO469-516_WT_1.2-4_20210630,A2,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.4747319933758,24.3740543754338
ASO469-516_WT_1.2-4_20210630,A3,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.5436719021104,24.4899561060456
ASO469-516_WT_1.2-4_20210630,A4,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.7015490676426,24.5968803863808
ASO469-516_WT_1.2-4_20210630,A5,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.6335372315946,24.5874415221789
ASO469-516_WT_1.2-4_20210630,A6,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.2507080839307,24.6529626900053
ASO469-516_WT_1.2-4_20210630,A7,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.293985065279,22.2691577108908
ASO469-516_WT_1.2-4_20210630,A8,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.4665059736874,22.2554574607077
ASO469-516_WT_1.2-4_20210630,A9,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.3231855662047,22.2557279176291
ASO469-516_WT_1.2-4_20210630,A10,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.1981872565027,22.8123614141285
ASO469-516_WT_1.2-4_20210630,A11,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0136711109171,22.8093926326029
ASO469-516_WT_1.2-4_20210630,A12,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0486546490069,22.8232428210057
ASO469-516_WT_1.2-4_20210630,B1,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.7331988542951,24.4295722298655
ASO469-516_WT_1.2-4_20210630,B2,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.0810744395429,24.3673593905959
ASO469-516_WT_1.2-4_20210630,B3,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.1933125046431,24.4116620729402
ASO469-516_WT_1.2-4_20210630,B4,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.8103113872554,24.9821196494456
ASO469-516_WT_1.2-4_20210630,B5,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,34.0078476192116,24.9201661244107
ASO469-516_WT_1.2-4_20210630,B6,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.896464283784,24.9339801100508
ASO469-516_WT_1.2-4_20210630,B7,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.5144132134033,22.4100398243584
ASO469-516_WT_1.2-4_20210630,B8,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.5109898505594,22.377082117486
ASO469-516_WT_1.2-4_20210630,B9,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.1672858561114,22.390685336803
ASO469-516_WT_1.2-4_20210630,B10,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.3606445579048,22.2296573179181
ASO469-516_WT_1.2-4_20210630,B11,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.3845067956236,22.2316219548266
ASO469-516_WT_1.2-4_20210630,B12,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.2304011680119,22.3014046593197
