ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P42,1.074544270245894,,,Naïve_P42,1.074544270245894,1.090496597308572,0.868690820867674,1.0681745340657358,1.0013362807960444,0.9184678694679885
Naïve_P42,,,,Ionis1375651_10uM_P42,0.4656254952062007,0.05633662673721582,,,,
Naïve_P42,,,,Ionis1375651_3uM_P42,,,0.19429541255553792,0.15340969901288745,,
Naïve_P42,1.090496597308572,,,Ionis676630_10uM_P42,0.4235228307607091,0.6863495667267548,,,,
Naïve_P42,,,,KQ2073_L21_7-08-6_10uM_P42,0.9690812209860088,0.5382784402036075,,,,
Naïve_P42,,,,KQ2073_L21_7-08-6_3uM_P42,,,0.4781295244113849,0.4708882064467616,,
Naïve_P42,0.868690820867674,,,KQ2074_L21_7-08-6_10uM_P42,0.6608289020572795,0.9071198631780046,,,,
Naïve_P42,,,,KQ2074_L21_7-08-6_3uM_P42,,,0.2622922407532539,0.21276606550649318,,
Naïve_P42,,,,KQ2075_L20_6-08-6_10uM_P42,1.0377971356328581,0.5532655673734808,,,,
Naïve_P42,1.0681745340657358,,,KQ2075_L20_6-08-6_3uM_P42,,,0.38665884352686736,0.47482330710941195,,
Naïve_P42,,,,KQ2076_L20_6-08-6_10uM_P42,0.532067032434548,1.275525626969266,,,,
Naïve_P42,,,,KQ2076_L20_6-08-6_3uM_P42,,,0.7020543608245858,1.0026221231466879,,
Naïve_P42,1.0013362807960444,,,KQ2077_L21_7-08-6_10uM_P42,0.5412893325381573,1.02287572845494,,,,
Naïve_P42,,,,KQ2077_L21_7-08-6_3uM_P42,,,0.3873031844837012,0.558812114347606,,
Naïve_P42,,,,KQ2078_L20_6-08-6_10uM_P42,0.6605562710540883,0.765013780263106,,,,
Naïve_P42,0.9184678694679885,,,KQ2078_L20_6-08-6_3uM_P42,,,1.1980971992332443,1.142460614593702,,
Naïve_P42,,,,KQ2079_L19_6-08-5_10uM_P42,0.38564808070633555,1.2398532369929023,,,,
Naïve_P42,,,,KQ2079_L19_6-08-5_3uM_P42,,,0.4932496129603032,0.4486294932164358,,
Ionis1375651_10uM_P42,0.4656254952062007,,,KQ2080_L19_6-08-5_10uM_P42,0.2301629608817528,1.0186817631454141,,,,
Ionis1375651_10uM_P42,,,,KQ2080_L19_6-08-5_3uM_P42,,,1.3747229534606253,0.5148020122756833,,
Ionis1375651_10uM_P42,,,,KQ2081_L19_6-08-5_10uM_P42,0.23624797608561998,0.2004905934008813,,,,
Ionis1375651_10uM_P42,0.05633662673721582,,,KQ2081_L19_6-08-5_3uM_P42,,,0.34485808502823834,1.0214497723931324,,
Ionis1375651_10uM_P42,,,,KQ2082_L19_6-08-5_10uM_P42,0.5492014295616061,0.42441336840577654,,,,
Ionis1375651_10uM_P42,,,,KQ2082_L19_6-08-5_3uM_P42,,,0.5073870074423692,0.5912987526842977,,
Ionis1375651_3uM_P42,0.19429541255553792,,,KQ2083_L20_6-08-6_10uM_P42,0.3846811021438498,0.29012739487779404,,,,
Ionis1375651_3uM_P42,,,,KQ2083_L20_6-08-6_3uM_P42,,,0.3747803142974141,0.4656834899708362,,
Ionis1375651_3uM_P42,,,,KQ2084_L20_6-08-6_10uM_P42,1.0190212839692092,1.510872245893644,,,,
Ionis1375651_3uM_P42,0.15340969901288745,,,KQ2084_L20_6-08-6_3uM_P42,,,1.5410414363986225,0.41126353839054797,,
Ionis1375651_3uM_P42,,,,,,,,,,
Ionis1375651_3uM_P42,,,,,,,,,,
Ionis676630_10uM_P42,0.4235228307607091,,,,,,,,,
Ionis676630_10uM_P42,,,,,,,,,,
Ionis676630_10uM_P42,,,,,,,,,,
Ionis676630_10uM_P42,0.6863495667267548,,,,,,,,,
Ionis676630_10uM_P42,,,,,,,,,,
Ionis676630_10uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,0.9690812209860088,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,0.5382784402036075,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,0.4781295244113849,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,0.4708882064467616,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2073_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,0.6608289020572795,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,0.9071198631780046,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,0.2622922407532539,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,0.21276606550649318,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2074_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,1.0377971356328581,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,0.5532655673734808,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,0.38665884352686736,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,0.47482330710941195,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2075_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,0.532067032434548,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,1.275525626969266,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,0.7020543608245858,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,1.0026221231466879,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2076_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,0.5412893325381573,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,1.02287572845494,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_10uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,0.3873031844837012,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,0.558812114347606,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2077_L21_7-08-6_3uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,0.6605562710540883,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,0.765013780263106,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_10uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,1.1980971992332443,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,1.142460614593702,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2078_L20_6-08-6_3uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,0.38564808070633555,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,1.2398532369929023,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,0.4932496129603032,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,0.4486294932164358,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2079_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,0.2301629608817528,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,1.0186817631454141,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_10uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,1.3747229534606253,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,0.5148020122756833,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2080_L19_6-08-5_3uM_P42,,,,,,,,,,
KQ2081_L19_6-08-5_10uM_P42,0.23624797608561998,,,,,,,,,
KQ2081_L19_6-08-5_10uM_P42,,,,,,,,,,
