Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO481-504_WT_20210623,A1,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.3000186948576,26.6004690886183
ASO481-504_WT_20210623,A2,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.9053622711524,26.6157221737479
ASO481-504_WT_20210623,A3,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8085255704596,26.6186255756269
ASO481-504_WT_20210623,A4,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8761748332537,26.8078316804889
ASO481-504_WT_20210623,A5,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.4833919412012,26.7341250446416
ASO481-504_WT_20210623,A6,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.3005585625759,26.6976998450153
ASO481-504_WT_20210623,A7,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,33.1720145794554,24.4980268765391
ASO481-504_WT_20210623,A8,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.8886673762814,24.3581490251943
ASO481-504_WT_20210623,A9,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.6437773116685,24.2977801563879
ASO481-504_WT_20210623,A10,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.7817692646135,23.9140348946082
ASO481-504_WT_20210623,A11,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,33.00859053054,23.8414740842677
ASO481-504_WT_20210623,A12,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.4408200857391,23.7850864377721
ASO481-504_WT_20210623,B1,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.6669847793313,26.1379312080771
ASO481-504_WT_20210623,B2,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.6569898150544,26.0519022167496
ASO481-504_WT_20210623,B3,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.0535886507047,25.9996711538138
ASO481-504_WT_20210623,B4,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.1968537319969,26.8726732552512
ASO481-504_WT_20210623,B5,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.3949487457385,26.8130677151135
ASO481-504_WT_20210623,B6,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.7309295599065,26.7492825883744
