Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO529-551_total_20210623,G1,Naïve_P45,Naïve_P45,29.3598040416074,22.247759966593,7.112044075014399,,,,-1.291659693637568,-1.1538349498047331,2.2250456723105514
ASO529-551_total_20210623,G2,Naïve_P45,Naïve_P45,29.6253849325215,22.2837904408513,7.3415944916702,,,,-1.0621092769817668,,
ASO529-551_total_20210623,G3,Naïve_P45,Naïve_P45,29.6017516399678,22.3057837501107,7.295967889857103,,,,-1.1077358787948643,,
ASO529-551_total_20210623,G4,Naïve_P45,Naïve_P45,29.3670715776195,22.2196109777164,7.147460599903102,,,,-1.256243168748865,-1.1439184588529674,2.2098040679084936
ASO529-551_total_20210623,G5,Naïve_P45,Naïve_P45,29.606817380587,22.2380887317403,7.368728648846698,,,,-1.034975119805269,,
ASO529-551_total_20210623,G6,Naïve_P45,Naïve_P45,29.533309562752,22.2701428821048,7.263166680647199,,,,-1.140537088004768,,
ASO529-551_total_20210623,G7,Naïve_P45,Naïve_P45,29.8595265934122,22.568882983572,7.290643609840199,,,,-1.1130601588117681,-1.113675361110434,2.163962293988666
ASO529-551_total_20210623,G8,Naïve_P45,Naïve_P45,29.8905832305753,22.504594643637,7.3859885869383,,,,-1.0177151817136671,,
ASO529-551_total_20210623,G9,Naïve_P45,Naïve_P45,29.7433310946588,22.5498780688127,7.1934530258461,,,,-1.2102507428058669,,
ASO529-551_total_20210623,H1,Naïve_P45,Naïve_P45,29.7082457330304,22.638890250098,7.069355482932398,,,,-1.3343482857195692,-1.254055164233001,2.385108942167495
ASO529-551_total_20210623,H2,Naïve_P45,Naïve_P45,29.8347311392017,22.6552757158024,7.1794554233993,,,,-1.2242483452526667,,
ASO529-551_total_20210623,H3,Naïve_P45,Naïve_P45,29.8988453049808,22.6987103980556,7.2001349069252,,,,-1.203568861726767,,
ASO529-551_total_20210623,H4,Naïve_P45,Naïve_P45,29.7746672087652,22.1130083567193,7.661658852045903,,,,-0.7420449166060639,-0.7481815380737995,1.6796743303858828
ASO529-551_total_20210623,H5,Naïve_P45,Naïve_P45,29.6576178917618,22.0764044949707,7.5812133967910995,,,,-0.8224903718608676,,
ASO529-551_total_20210623,H6,Naïve_P45,Naïve_P45,29.8688703701075,22.14517592721,7.7236944428975,,,,-0.680009325754467,,
ASO529-551_total_20210623,H7,Naïve_P45,Naïve_P45,30.0949665726747,22.5027124641699,7.5922541085048,,,,-0.8114496601471668,-0.7683815111567677,1.703357797642875
ASO529-551_total_20210623,H8,Naïve_P45,Naïve_P45,30.0588660826526,22.5091605596447,7.549705523007898,,,,-0.8539982456440693,,
