Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO529-551_total_20210623,A1,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.2033235896965,28.8263142061084
ASO529-551_total_20210623,A2,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.6236966627028,28.7842900635976
ASO529-551_total_20210623,A3,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,38.0284005357622,28.865728082384
ASO529-551_total_20210623,A4,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,35.8149465381111,28.3162037918281
ASO529-551_total_20210623,A5,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,35.9871114191178,28.2193698101893
ASO529-551_total_20210623,A6,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.5157819918607,28.3898646147534
ASO529-551_total_20210623,A7,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.4424826837809,26.3812836043063
ASO529-551_total_20210623,A8,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.6720488629201,26.4902332204233
ASO529-551_total_20210623,A9,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.2429816712275,26.5601626337468
ASO529-551_total_20210623,A10,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.408013542609,26.2377332012863
ASO529-551_total_20210623,A11,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.5544022327867,26.2471066029637
ASO529-551_total_20210623,A12,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,34.9110792216657,26.3332358841719
ASO529-551_total_20210623,B1,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.1085435463864,26.6856775976218
ASO529-551_total_20210623,B2,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.1840052604402,26.7250008277789
ASO529-551_total_20210623,B3,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.3718783365294,26.8366630833447
ASO529-551_total_20210623,B4,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,34.5917298996791,26.0192317040569
ASO529-551_total_20210623,B5,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.1813973041679,26.0052887365664
ASO529-551_total_20210623,B6,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,36.9551681344446,25.9904848418539
ASO529-551_total_20210623,B7,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,32.5264367127428,24.2988424706317
ASO529-551_total_20210623,B8,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,32.7259079076175,24.2862479244624
ASO529-551_total_20210623,B9,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,32.7269708911951,24.3292195345933
ASO529-551_total_20210623,B10,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.282166295522,24.1821627404573
ASO529-551_total_20210623,B11,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.5174042289196,24.1857320948391
ASO529-551_total_20210623,B12,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.3682524365751,24.2483049514182
ASO529-551_total_20210623,C1,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.6437498736281,26.2892710768411
ASO529-551_total_20210623,C2,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,35.0137171864084,26.309454932157
ASO529-551_total_20210623,C3,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.6380194554745,26.400374258194
ASO529-551_total_20210623,C4,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.2284657040925,25.8522641862451
ASO529-551_total_20210623,C5,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.4820346384034,25.8918182128994
ASO529-551_total_20210623,C6,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.2637004139647,25.9384192552208
ASO529-551_total_20210623,C7,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.7736351773116,24.3058584261754
ASO529-551_total_20210623,C8,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.4416127094937,24.3285822875827
ASO529-551_total_20210623,C9,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.7973999037615,24.3819976279453
ASO529-551_total_20210623,C10,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.8158644205959,24.4120984770685
ASO529-551_total_20210623,C11,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.2549465527412,24.5215545698899
ASO529-551_total_20210623,C12,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.1850463556591,24.6349937208454
ASO529-551_total_20210623,D1,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.2185606721337,24.8459971276132
ASO529-551_total_20210623,D2,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.5300054212913,24.9351273579109
ASO529-551_total_20210623,D3,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,32.9460523100787,24.9664501310321
ASO529-551_total_20210623,D4,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.9600414155209,25.1136994754358
ASO529-551_total_20210623,D5,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,34.1799340386381,25.0317562510471
ASO529-551_total_20210623,D6,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.8865749140766,25.1256577990846
