Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P1+2_Total_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,35.2232880699346,25.1210905881222
Rd2.3_P1+2_Total_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,36.0713649692249,25.1529906165627
Rd2.3_P1+2_Total_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,35.0014169868466,25.1699949380291
Rd2.3_P1+2_Total_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.5772884032228,24.8531018370651
Rd2.3_P1+2_Total_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.4176181279391,24.9001211631556
Rd2.3_P1+2_Total_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,36.0851344764929,24.9588979685058
Rd2.3_P1+2_Total_20210723,O7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,35.1373531815439,25.763821856557
Rd2.3_P1+2_Total_20210723,O8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,34.5125520837638,25.8333302859282
Rd2.3_P1+2_Total_20210723,O9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,34.2977610648407,25.8326112609792
Rd2.3_P1+2_Total_20210723,P7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,36.7682511242003,26.7527260063275
Rd2.3_P1+2_Total_20210723,P8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,37.1548639880137,26.8270581889796
Rd2.3_P1+2_Total_20210723,P9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,37.2328672537783,26.8077227722679
Rd2.3_P1+2_Total_20210723,G10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,30.6014132754298,23.2385950931447
Rd2.3_P1+2_Total_20210723,G11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,30.7172382254737,23.326033161671
Rd2.3_P1+2_Total_20210723,G12,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,30.5704968946868,23.3969312962398
Rd2.3_P1+2_Total_20210723,H10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,30.7473542478897,23.2778161983478
Rd2.3_P1+2_Total_20210723,H11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.0268207291101,23.3438698465111
Rd2.3_P1+2_Total_20210723,H12,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,30.9953879102229,23.3891054594028
Rd2.3_P1+2_Total_20210723,O10,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,30.8031156966985,24.0528839319998
Rd2.3_P1+2_Total_20210723,O11,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,30.9031738966933,24.1335267999241
Rd2.3_P1+2_Total_20210723,O12,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,30.931948064761,24.2152428086252
Rd2.3_P1+2_Total_20210723,P10,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,31.5726063168589,24.3851314219704
Rd2.3_P1+2_Total_20210723,P11,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,31.393368474213,24.4556251421472
Rd2.3_P1+2_Total_20210723,P12,Ionis1375651_3_P2.3-2,Ionis1375651_3uM_P2.3-2,,31.5700170368728,24.5021922112795
Rd2.3_P1+2_Total_20210723,G13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,30.9484681594416,23.8380616150926
Rd2.3_P1+2_Total_20210723,G14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,31.1218476249465,23.8195175020581
Rd2.3_P1+2_Total_20210723,G15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,31.0217002249983,23.8468392401562
Rd2.3_P1+2_Total_20210723,H13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,32.2897287073955,24.4144424883564
Rd2.3_P1+2_Total_20210723,H14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,32.4073572629171,24.5057791278465
Rd2.3_P1+2_Total_20210723,H15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,,32.1558463181676,24.5636768088452
Rd2.3_P1+2_Total_20210723,O13,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,31.2548769191662,24.2432334574431
Rd2.3_P1+2_Total_20210723,O14,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,31.0521748446102,24.3098802928878
Rd2.3_P1+2_Total_20210723,O15,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,31.2168176777804,24.3965615000672
Rd2.3_P1+2_Total_20210723,P13,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,33.0676074164322,26.4170890860964
Rd2.3_P1+2_Total_20210723,P14,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,33.3296272605032,26.3826053035898
Rd2.3_P1+2_Total_20210723,P15,Ionis676630_10_P2.3-2,Ionis676630_10uM_P2.3-2,,32.6308797649758,26.2976779159316
Rd2.3_P1+2_Total_20210723,G16,Ionis676630_3_P2.3-1,Ionis676630_3uM_P2.3-1,,29.4274959808631,23.3113620473193
Rd2.3_P1+2_Total_20210723,G17,Ionis676630_3_P2.3-1,Ionis676630_3uM_P2.3-1,,29.5686762389202,23.4852921023832
Rd2.3_P1+2_Total_20210723,G18,Ionis676630_3_P2.3-1,Ionis676630_3uM_P2.3-1,,29.6180982154474,23.6943742647482
