Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P7+8_Total_20210726,O1,Naïve_P2.3-8,Naïve_P2.3-8,,29.6218730339975,23.3221285168336,6.299744517163898,6.344177010399033,6.0195406324297505,0.3659478439876243,0.2802038847341475,0.32463637796928246,0.798499617702621
Rd2.3_P7+8_Total_20210726,O2,Naïve_P2.3-8,Naïve_P2.3-8,,29.7532039909462,23.3719799612279,6.3812240297183,,,,0.3616833972885498,,
Rd2.3_P7+8_Total_20210726,O3,Naïve_P2.3-8,Naïve_P2.3-8,,29.7726073124679,23.421044828153,6.351562484314901,,,,0.3320218518851501,,
Rd2.3_P7+8_Total_20210726,O4,Naïve_P2.3-8,Naïve_P2.3-8,,29.7637833111662,23.4882140830021,6.275569228164102,6.326274702247268,,,0.2560285957343513,0.3067340698175176,0.8084698793189747
Rd2.3_P7+8_Total_20210726,O5,Naïve_P2.3-8,Naïve_P2.3-8,,29.8627633479942,23.5100633825098,6.352699965484401,,,,0.33315933305465073,,
Rd2.3_P7+8_Total_20210726,O6,Naïve_P2.3-8,Naïve_P2.3-8,,29.9325760588544,23.5820211457611,6.350554913093301,,,,0.33101428066355076,,
Rd2.3_P7+8_Total_20210726,P1,Naïve_P2.3-8,Naïve_P2.3-8,,28.6798709395474,23.084283202995,5.5955877365524,5.742355959834267,,,-0.42395289587735085,-0.2771846725954834,1.211827770866443
Rd2.3_P7+8_Total_20210726,P2,Naïve_P2.3-8,Naïve_P2.3-8,,28.9499066594827,23.1293997193109,5.8205069401718,,,,-0.19903369225795053,,
Rd2.3_P7+8_Total_20210726,P3,Naïve_P2.3-8,Naïve_P2.3-8,,28.9643845854368,23.1534113826582,5.810973202778602,,,,-0.20856742965114883,,
Rd2.3_P7+8_Total_20210726,P4,Naïve_P2.3-8,Naïve_P2.3-8,,28.5192231929562,22.9004131767037,5.6188100162525,5.665354857238434,,,-0.4007306161772508,-0.35418577519131667,1.2782639540799268
Rd2.3_P7+8_Total_20210726,P5,Naïve_P2.3-8,Naïve_P2.3-8,,28.6669910679561,22.9870639325864,5.679927135369702,,,,-0.3396134970600482,,
