Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P9_MT_20210726,G1,Naïve_P9,Naïve_P2.3-9,,29.82802266,23.68486427,6.143158388,6.219740974,6.493228008,0.203690681,-0.35006962,-0.273487034,1.208725824
Rd2.3_P9_MT_20210726,G2,Naïve_P9,Naïve_P2.3-9,,29.91344201,23.77212469,6.141317318,,,,-0.35191069,,
Rd2.3_P9_MT_20210726,G3,Naïve_P9,Naïve_P2.3-9,,30.22487383,23.85012661,6.374747215,,,,-0.118480792,,
Rd2.3_P9_MT_20210726,G4,Naïve_P9,Naïve_P2.3-9,,29.57289375,22.95407177,6.618821976,6.692336428,,,0.125593968,0.199108421,0.871088726
Rd2.3_P9_MT_20210726,G5,Naïve_P9,Naïve_P2.3-9,,29.67999805,23.02909811,6.650899938,,,,0.15767193,,
Rd2.3_P9_MT_20210726,G6,Naïve_P9,Naïve_P2.3-9,,29.90214206,23.09485469,6.807287371,,,,0.314059363,,
Rd2.3_P9_MT_20210726,H1,Naïve_P9,Naïve_P2.3-9,,30.71228664,24.05431713,6.657969513,6.590684515,,,0.164741505,0.097456508,0.934679393
Rd2.3_P9_MT_20210726,H2,Naïve_P9,Naïve_P2.3-9,,30.63492892,24.06618816,6.568740752,,,,0.075512745,,
Rd2.3_P9_MT_20210726,H3,Naïve_P9,Naïve_P2.3-9,,30.77117927,24.22583599,6.545343281,,,,0.052115273,,
Rd2.3_P9_MT_20210726,H4,Naïve_P9,Naïve_P2.3-9,,30.86320967,24.53850323,6.324706444,6.470150114,,,-0.168521564,-0.023077894,1.016125004
Rd2.3_P9_MT_20210726,H5,Naïve_P9,Naïve_P2.3-9,,31.16442309,24.53004942,6.634373666,,,,0.141145658,,
Rd2.3_P9_MT_20210726,H6,Naïve_P9,Naïve_P2.3-9,,31.07238219,24.62101196,6.451370231,,,,-0.041857777,,
Rd2.3_P9_MT_20210726,G7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,32.74310174,24.09487857,8.648223178,,,,2.15499517,2.405339957,0.188764587
Rd2.3_P9_MT_20210726,G8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.30570141,24.17383285,9.13186856,,,,2.638640553,,
Rd2.3_P9_MT_20210726,G9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.11894478,24.20333262,8.915612155,,,,2.422384147,,
Rd2.3_P9_MT_20210726,H7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.03548861,26.37243729,8.66305132,,,,2.169823312,2.453657282,0.182547361
Rd2.3_P9_MT_20210726,H8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.68575741,26.49908572,9.186671691,,,,2.693443683,,
