Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,G1,Na夫e_P1.2-1,Na夫e_P1.2-1,31.30280831,23.57787816,7.72,,,,-0.21,-0.17,1.13,,,
ASO1-95_MT_1.2-6_20210630,G2,Na夫e_P1.2-1,Na夫e_P1.2-1,31.52380605,23.5776999,7.95,,,,0.01,,,,,
ASO1-95_MT_1.2-6_20210630,G3,Na夫e_P1.2-1,Na夫e_P1.2-1,31.23675563,23.61586986,7.62,,,,-0.32,,,,,
ASO1-95_MT_1.2-6_20210630,G4,Na夫e_P1.2-1,Na夫e_P1.2-1,30.94764763,23.4371007,7.51,,,,-0.43,-0.44,1.35,,,
ASO1-95_MT_1.2-6_20210630,G5,Na夫e_P1.2-1,Na夫e_P1.2-1,30.96646629,23.43856403,7.53,,,,-0.41,,,,,
ASO1-95_MT_1.2-6_20210630,G6,Na夫e_P1.2-1,Na夫e_P1.2-1,30.96174042,23.49857509,7.46,,,,-0.48,,,,,
ASO1-95_MT_1.2-6_20210630,G7,Na夫e_P1.2-1,Na夫e_P1.2-1,31.74392668,24.13997651,7.60,,,,-0.33,-0.36,1.28,,,
ASO1-95_MT_1.2-6_20210630,G8,Na夫e_P1.2-1,Na夫e_P1.2-1,31.67937252,24.15328879,7.53,,,,-0.41,,,,,
ASO1-95_MT_1.2-6_20210630,G9,Na夫e_P1.2-1,Na夫e_P1.2-1,31.79323499,24.17796285,7.62,,,,-0.32,,,,,
ASO1-95_MT_1.2-6_20210630,H1,Na夫e_P1.2-1,Na夫e_P1.2-1,31.8320489,23.96428941,7.87,,,,-0.07,-0.05,1.03,,,
ASO1-95_MT_1.2-6_20210630,H2,Na夫e_P1.2-1,Na夫e_P1.2-1,31.84355598,23.95834038,7.89,,,,-0.05,,,,,
ASO1-95_MT_1.2-6_20210630,H3,Na夫e_P1.2-1,Na夫e_P1.2-1,31.85908566,23.94376685,7.92,,,,-0.02,,,,,
ASO1-95_MT_1.2-6_20210630,H4,Na夫e_P1.2-1,Na夫e_P1.2-1,31.50115193,23.70837627,7.79,,,,-0.15,-0.12,1.09,,,
ASO1-95_MT_1.2-6_20210630,H5,Na夫e_P1.2-1,Na夫e_P1.2-1,31.72469264,23.64207242,8.08,,,,0.14,,,,,
ASO1-95_MT_1.2-6_20210630,H6,Na夫e_P1.2-1,Na夫e_P1.2-1,31.2622407,23.67715905,7.59,,,,-0.35,,,,,
ASO1-95_MT_1.2-6_20210630,H7,Na夫e_P1.2-1,Na夫e_P1.2-1,31.86813887,23.95176937,7.92,,,,-0.02,-0.10,1.07,,,
ASO1-95_MT_1.2-6_20210630,H8,Na夫e_P1.2-1,Na夫e_P1.2-1,31.72780197,23.88243148,7.85,,,,-0.09,,,,,
ASO1-95_MT_1.2-6_20210630,H9,Na夫e_P1.2-1,Na夫e_P1.2-1,31.6941587,23.9422292,7.75,,,,-0.19,,,,,
ASO1-95_MT_1.2-6_20210630,G10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,36.92306351,29.61188933,7.31,,,,-0.63,0.96,0.51,,,
ASO1-95_MT_1.2-6_20210630,G11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,38.51724925,29.49602702,9.02,,,,1.08,,,,,
ASO1-95_MT_1.2-6_20210630,G12,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,29.6287662,10.37,,,,2.43,,,,,
ASO1-95_MT_1.2-6_20210630,H10,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,31.21482558,8.79,,,,0.85,0.96,0.52,,,
ASO1-95_MT_1.2-6_20210630,H11,Ionis1375651_10_P1.2-1,Ionis1375651_10_P1.2-1,40,31.03754869,8.96,,,,1.02,,,,,
