Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_total_1.2-6_20210630,O1,Na夫e_P1.2-2,Na夫e_P1.2-2,31.67923153,24.00770375,7.67,,,,-0.17,-0.34,1.27
ASO1-95_total_1.2-6_20210630,O2,Na夫e_P1.2-2,Na夫e_P1.2-2,31.52152083,24.01943121,7.50,,,,-0.34,,
ASO1-95_total_1.2-6_20210630,O3,Na夫e_P1.2-2,Na夫e_P1.2-2,31.43015263,24.0963,7.33,,,,-0.51,,
ASO1-95_total_1.2-6_20210630,O4,Na夫e_P1.2-2,Na夫e_P1.2-2,31.28289249,23.93693213,7.35,,,,-0.50,-0.56,1.47
ASO1-95_total_1.2-6_20210630,O5,Na夫e_P1.2-2,Na夫e_P1.2-2,31.07346336,23.82525974,7.25,,,,-0.60,,
ASO1-95_total_1.2-6_20210630,O6,Na夫e_P1.2-2,Na夫e_P1.2-2,31.12627354,23.86554806,7.26,,,,-0.58,,
ASO1-95_total_1.2-6_20210630,O7,Na夫e_P1.2-2,Na夫e_P1.2-2,30.99200124,24.20105584,6.79,,,,-1.05,-0.86,1.81
ASO1-95_total_1.2-6_20210630,O8,Na夫e_P1.2-2,Na夫e_P1.2-2,31.26757517,24.0582044,7.21,,,,-0.64,,
ASO1-95_total_1.2-6_20210630,O9,Na夫e_P1.2-2,Na夫e_P1.2-2,31.08691396,24.12999883,6.96,,,,-0.89,,
ASO1-95_total_1.2-6_20210630,P1,Na夫e_P1.2-2,Na夫e_P1.2-2,31.43593418,23.92918046,7.51,,,,-0.34,-0.30,1.23
ASO1-95_total_1.2-6_20210630,P2,Na夫e_P1.2-2,Na夫e_P1.2-2,31.56407398,23.91091202,7.65,,,,-0.19,,
ASO1-95_total_1.2-6_20210630,P3,Na夫e_P1.2-2,Na夫e_P1.2-2,31.41548321,23.92726091,7.49,,,,-0.36,,
ASO1-95_total_1.2-6_20210630,P4,Na夫e_P1.2-2,Na夫e_P1.2-2,31.51874014,23.61498676,7.90,,,,0.06,-0.09,1.06
ASO1-95_total_1.2-6_20210630,P5,Na夫e_P1.2-2,Na夫e_P1.2-2,31.17542063,23.56913353,7.61,,,,-0.24,,
ASO1-95_total_1.2-6_20210630,P6,Na夫e_P1.2-2,Na夫e_P1.2-2,31.32752245,23.56733716,7.76,,,,-0.09,,
ASO1-95_total_1.2-6_20210630,P7,Na夫e_P1.2-2,Na夫e_P1.2-2,31.47900099,23.87564024,7.60,,,,-0.24,-0.31,1.24
ASO1-95_total_1.2-6_20210630,P8,Na夫e_P1.2-2,Na夫e_P1.2-2,31.31148819,23.87710266,7.43,,,,-0.41,,
ASO1-95_total_1.2-6_20210630,P9,Na夫e_P1.2-2,Na夫e_P1.2-2,31.48184844,23.90947883,7.57,,,,-0.27,,
ASO1-95_total_1.2-6_20210630,O10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,38.28171195,27.95550177,10.33,,,,2.48,1.29,0.41
ASO1-95_total_1.2-6_20210630,O11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,36.72094947,27.98178331,8.74,,,,0.89,,
ASO1-95_total_1.2-6_20210630,O12,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,36.32225454,27.97117287,8.35,,,,0.51,,
ASO1-95_total_1.2-6_20210630,P10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,39.57628772,28.11883028,11.46,,,,3.61,2.77,0.15
ASO1-95_total_1.2-6_20210630,P11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,37.25088682,28.17397798,9.08,,,,1.23,,
ASO1-95_total_1.2-6_20210630,P12,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,39.5373544,28.21849914,11.32,,,,3.47,,
ASO1-95_total_1.2-6_20210630,O13,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,33.89394944,26.19973172,7.69,7.98,7.85,0.29,-0.15,0.14,0.91
ASO1-95_total_1.2-6_20210630,O14,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.28314169,26.18499044,8.10,,,,0.25,,
ASO1-95_total_1.2-6_20210630,O15,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.32451459,26.1703756,8.15,,,,0.31,,
ASO1-95_total_1.2-6_20210630,O16,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.50793648,26.63091956,7.88,7.98,,,0.03,0.13,0.91
ASO1-95_total_1.2-6_20210630,O17,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.71077231,26.66855848,8.04,,,,0.20,,
ASO1-95_total_1.2-6_20210630,O18,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.75003175,26.73180031,8.02,,,,0.17,,
