Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
Rd2.3_P1+2_MT_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.3253665530177395,1.0
Rd2.3_P1+2_MT_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.280234528171517,1.0
Rd2.3_P1+2_MT_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2858862078251443,1.0
Rd2.3_P1+2_MT_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2100369358299823,1.0
Rd2.3_P1+2_MT_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.1716502887516275,1.0
Rd2.3_P1+2_MT_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.226540432081098,1.0
Rd2.3_P1+2_Total_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.1638644083354959,1.0
Rd2.3_P1+2_Total_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.0930659713053231,1.0
Rd2.3_P1+2_Total_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.1976952167421571,1.0
Rd2.3_P1+2_Total_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2129498107833647,1.0
Rd2.3_P1+2_Total_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2457519815481247,1.0
Rd2.3_P1+2_Total_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.0805783129845264,1.0
Rd2.3_P1+2_WT_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2289435885576533,1.0
Rd2.3_P1+2_WT_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.3160939379407894,1.0
Rd2.3_P1+2_WT_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2341021536027533,1.0
Rd2.3_P1+2_WT_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.2518441791217926,1.0
Rd2.3_P1+2_WT_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.254298585758945,1.0
Rd2.3_P1+2_WT_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,0.149669614679868,1.0
Rd2.3_P1+2_MT_20210723,G13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.223502693787474,1.0
Rd2.3_P1+2_MT_20210723,G14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.836624213392507,1.0
Rd2.3_P1+2_MT_20210723,G15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.087789027038055,1.0
Rd2.3_P1+2_MT_20210723,H13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.9765472008239624,1.0
Rd2.3_P1+2_MT_20210723,H14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.0229558179124396,1.0
Rd2.3_P1+2_MT_20210723,H15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.8990210295014721,1.0
Rd2.3_P1+2_Total_20210723,G13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.3034772243602428,1.0
Rd2.3_P1+2_Total_20210723,G14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.1411131053253718,1.0
Rd2.3_P1+2_Total_20210723,G15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.24652423702442,1.0
Rd2.3_P1+2_Total_20210723,H13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.767099539429886,1.0
Rd2.3_P1+2_Total_20210723,H14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.7532464033013275,1.0
Rd2.3_P1+2_Total_20210723,H15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.9334226689719988,1.0
Rd2.3_P1+2_WT_20210723,G13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.2540348911225043,1.0
Rd2.3_P1+2_WT_20210723,G14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.0296850448019197,1.0
Rd2.3_P1+2_WT_20210723,G15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,1.0597627811099597,1.0
Rd2.3_P1+2_WT_20210723,H13,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.8459771048629595,1.0
Rd2.3_P1+2_WT_20210723,H14,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.9071968236204144,1.0
Rd2.3_P1+2_WT_20210723,H15,Ionis676630_10_P2.3-1,Ionis676630_10uM_P2.3-1,0.9521758915486388,1.0
Rd2.3_P1+2_MT_20210723,O7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.5328176672899801,2.0
Rd2.3_P1+2_MT_20210723,O8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.2439682111696788,2.0
Rd2.3_P1+2_MT_20210723,O9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.3406636289167255,2.0
Rd2.3_P1+2_MT_20210723,P7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.1177738143106995,2.0
Rd2.3_P1+2_MT_20210723,P8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.3181573823065976,2.0
Rd2.3_P1+2_MT_20210723,P9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.1546907271413046,2.0
Rd2.3_P1+2_Total_20210723,O7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.1623626161107678,2.0
Rd2.3_P1+2_Total_20210723,O8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.2627205437739074,2.0
Rd2.3_P1+2_Total_20210723,O9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.3047446750722147,2.0
Rd2.3_P1+2_Total_20210723,P7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.1040463026021817,2.0
Rd2.3_P1+2_Total_20210723,P8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.0837955198543194,2.0
Rd2.3_P1+2_Total_20210723,P9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.078328342476635,2.0
Rd2.3_P1+2_WT_20210723,O7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,0.2302310201722257,2.0
