Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range,Exp t_stat,Exp p_value,Exp dof
ASO1-24_total_20210611,ASO10_10,KQ280_10,1.104038344,1.140880916,1,1.0541730683333332,0.8194517301064159,1.6389034602128318,4.073998918102237,0.01544282891099046,3.96521464355419
ASO1-24_total_20210611,ASO10_10,KQ280_10,0.278072253,0.889225573,1,,,,,,
ASO1-24_total_20210611,ASO10_10,KQ280_10,1.076244593,1.132412716,1,,,,,,
ASO1-24_total_20210611,ASO10_10,KQ280_10,1.177975349,0.445596999,1,0.554831973,-0.8194517301064159,,,,
ASO1-24_total_20210611,ASO10_10,KQ280_10,1.051383635,0.484166962,1,,,,,,
ASO1-24_total_20210611,ASO10_10,KQ280_10,0.228996206,0.734731958,1,,,,,,
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.088196397,0.449956967,1,0.5038132533333334,0.5641956833205836,1.1283913666411658,1.5723497503475017,0.20278557607189437,3.419979070637808
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.522736802,0.500390739,1,,,,,,
ASO1-24_MT_20210611,ASO10_10,KQ280_10,1.258046645,0.561092054,1,,,,,,
ASO1-24_MT_20210611,ASO10_10,KQ280_10,1.759264968,0.312006874,1,0.41066226233333336,-0.5641956833205822,,,,
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.173070974,0.471525117,1,,,,,,
ASO1-24_MT_20210611,ASO10_10,KQ280_10,0.106393056,0.448454796,1,,,,,,
ASO1-24_WT_20210611,ASO10_10,KQ280_10,1.265534887,1.059157605,1,0.9952980063333333,0.8825594451396441,1.7651188902792883,7.566343938581368,0.005000290220612637,2.962655692747086
ASO1-24_WT_20210611,ASO10_10,KQ280_10,0.832263548,0.98691137,1,,,,,,
ASO1-24_WT_20210611,ASO10_10,KQ280_10,0.549879901,0.939825044,1,,,,,,
ASO1-24_WT_20210611,ASO10_10,KQ280_10,1.039940522,0.674728949,1,0.7009716039999999,-0.8825594451396441,,,,
ASO1-24_WT_20210611,ASO10_10,KQ280_10,0.682410675,0.734345598,1,,,,,,
ASO1-24_WT_20210611,ASO10_10,KQ280_10,0.925327139,0.693840265,1,,,,,,
ASO1-24_total_20210611,ASO10_3,KQ280_3,1.068017367,1.581126387,1,1.506315106,0.8796780954511617,1.7593561909023243,7.212670413210958,0.016116851829585797,2.110658019389508
ASO1-24_total_20210611,ASO10_3,KQ280_3,1.169027477,1.621249169,1,,,,,,
ASO1-24_total_20210611,ASO10_3,KQ280_3,0.401989442,1.316569762,1,,,,,,
ASO1-24_total_20210611,ASO10_3,KQ280_3,0.951019024,0.779133809,1,0.8074715323333334,-0.8796780954511626,,,,
ASO1-24_total_20210611,ASO10_3,KQ280_3,0.875497335,0.809132195,1,,,,,,
ASO1-24_total_20210611,ASO10_3,KQ280_3,0.812517927,0.834148593,1,,,,,,
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.955853312,1.060010343,1,1.0304719586666666,0.8396188583586879,1.6792377167173762,4.686779039686664,0.010714072742201269,3.788089591694258
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.411524249,0.921681297,1,,,,,,
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.151479014,1.109724236,1,,,,,,
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.210069073,0.509589656,1,0.603731285,-0.8396188583586883,,,,
ASO1-24_MT_20210611,ASO10_3,KQ280_3,0.286726243,0.744236566,1,,,,,,
ASO1-24_MT_20210611,ASO10_3,KQ280_3,1.022061259,0.557367633,1,,,,,,
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.734827404,1.120358049,1,1.1649984416666668,0.9029035527445034,1.8058071054890057,13.423011838302745,0.0031710904339534883,2.2888759965435277
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.815380269,1.141752587,1,,,,,,
ASO1-24_WT_20210611,ASO10_3,KQ280_3,1.158502985,1.232884689,1,,,,,,
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.884035488,0.690394158,1,0.6853828706666668,-0.9029035527445022,,,,
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.970715893,0.667372168,1,,,,,,
ASO1-24_WT_20210611,ASO10_3,KQ280_3,0.853959278,0.698382286,1,,,,,,
ASO1-24_total_20210611,ASO11_10,KQ371_10,0.463332104,0.338037525,1,0.29194743333333334,-0.7390103935904844,1.4780207871809683,-2.7579768352333813,0.09520619961707778,2.284897166939901
ASO1-24_total_20210611,ASO11_10,KQ371_10,0.900537803,0.264941995,1,,,,,,
ASO1-24_total_20210611,ASO11_10,KQ371_10,0.853161274,0.27286278,1,,,,,,
ASO1-24_total_20210611,ASO11_10,KQ371_10,0.527917584,0.503762541,1,0.5390547176666666,0.739010393590484,,,,
ASO1-24_total_20210611,ASO11_10,KQ371_10,1.722401181,0.70346582,1,,,,,,
ASO1-24_total_20210611,ASO11_10,KQ371_10,0.033287585,0.409935792,1,,,,,,
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.769507047,0.198304473,1,0.1938463066666667,-0.8211502602435292,1.642300520487059,-4.1180519755405225,0.03338349264477836,2.6259602476408914
ASO1-24_MT_20210611,ASO11_10,KQ371_10,1.486611891,0.136399479,1,,,,,,
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.207331845,0.246834968,1,,,,,,
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.632889681,0.319368167,1,0.335620003,0.8211502602435299,,,,
ASO1-24_MT_20210611,ASO11_10,KQ371_10,1.113814144,0.360884588,1,,,,,,
ASO1-24_MT_20210611,ASO11_10,KQ371_10,0.716746957,0.326607254,1,,,,,,
ASO1-24_WT_20210611,ASO11_10,KQ371_10,0.550935223,0.271079705,1,0.23111048766666667,-0.8071820849244622,1.614364169848924,-3.7863086998665474,0.04578699475392847,2.4432774233457173
ASO1-24_WT_20210611,ASO11_10,KQ371_10,0.859296572,0.222981704,1,,,,,,
ASO1-24_WT_20210611,ASO11_10,KQ371_10,1.011314459,0.199270054,1,,,,,,
ASO1-24_WT_20210611,ASO11_10,KQ371_10,1.052948416,0.52125242,1,0.48291794899999996,0.8071820849244616,,,,
ASO1-24_WT_20210611,ASO11_10,KQ371_10,1.351416772,0.567807317,1,,,,,,
ASO1-24_WT_20210611,ASO11_10,KQ371_10,0.017181066,0.35969411,1,,,,,,
ASO1-24_total_20210611,ASO11_3,KQ371_3,0.950353717,0.339301384,1,0.39908372633333333,0.29863933354986516,0.597278667099728,0.6923845660714325,0.5275417610925427,3.917857851282132
ASO1-24_total_20210611,ASO11_3,KQ371_3,0.594716382,0.413255286,1,,,,,,
ASO1-24_total_20210611,ASO11_3,KQ371_3,1.25155533,0.444694509,1,,,,,,
ASO1-24_total_20210611,ASO11_3,KQ371_3,0.149969421,0.377611323,1,0.3704953223333334,-0.29863933354986283,,,,
ASO1-24_total_20210611,ASO11_3,KQ371_3,0.595539787,0.413294698,1,,,,,,
ASO1-24_total_20210611,ASO11_3,KQ371_3,1.341488362,0.320579946,1,,,,,,
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.483378608,0.3540913,1,0.3633089326666667,0.7032921151467676,1.4065842302935299,2.416848730441828,0.09828531705091982,2.8713032833299823
ASO1-24_MT_20210611,ASO11_3,KQ371_3,1.70226259,0.40518059,1,,,,,,
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.07576486,0.330654908,1,,,,,,
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.475488585,0.313900564,1,0.30435222200000006,-0.7032921151467623,,,,
ASO1-24_MT_20210611,ASO11_3,KQ371_3,0.429117966,0.315844179,1,,,,,,
ASO1-24_MT_20210611,ASO11_3,KQ371_3,1.205269787,0.283311923,1,,,,,,
ASO1-24_WT_20210611,ASO11_3,KQ371_3,0.467843668,0.377878072,1,0.36277055166666666,-0.1951315825992205,0.39026316519843857,-0.43762670177839624,0.6847382575637706,3.9106602620572426
ASO1-24_WT_20210611,ASO11_3,KQ371_3,1.548154087,0.33193861,1,,,,,,
ASO1-24_WT_20210611,ASO11_3,KQ371_3,0.494915642,0.378494973,1,,,,,,
ASO1-24_WT_20210611,ASO11_3,KQ371_3,1.271352937,0.396188004,1,0.3716636566666667,0.19513158259921806,,,,
ASO1-24_WT_20210611,ASO11_3,KQ371_3,0.036357278,0.368045594,1,,,,,,
ASO1-24_WT_20210611,ASO11_3,KQ371_3,0.722315438,0.350757372,1,,,,,,
ASO1-24_total_20210611,ASO12_10,KQ279_10,0.780313852,0.770342817,1,0.7690379433333333,0.7710447865177023,1.5420895730354052,3.1555224909780857,0.06552617820643196,2.493819517857762
ASO1-24_total_20210611,ASO12_10,KQ279_10,1.564265792,0.880705415,1,,,,,,
ASO1-24_total_20210611,ASO12_10,KQ279_10,0.031445285,0.656065598,1,,,,,,
ASO1-24_total_20210611,ASO12_10,KQ279_10,0.714472223,0.559910944,1,0.5519468143333333,-0.771044786517703,,,,
ASO1-24_total_20210611,ASO12_10,KQ279_10,1.077596362,0.508791327,1,,,,,,
ASO1-24_total_20210611,ASO12_10,KQ279_10,0.521065773,0.587138172,1,,,,,,
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.210730667,0.603639426,1,0.5177239196666666,0.7089721357570046,1.417944271514009,2.4657407946485144,0.06942338317758626,3.9898072862496163
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.034537354,0.573470058,1,,,,,,
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.118351616,0.376062275,1,,,,,,
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.004199058,0.397046478,1,0.27493103766666666,-0.7089721357570042,,,,
ASO1-24_MT_20210611,ASO12_10,KQ279_10,0.76638185,0.265100842,1,,,,,,
ASO1-24_MT_20210611,ASO12_10,KQ279_10,1.364733614,0.162645793,1,,,,,,
ASO1-24_WT_20210611,ASO12_10,KQ279_10,1.455412595,0.643224117,1,0.5832598656666667,0.842249788850686,1.6844995777013727,4.784648597847002,0.020858693198047437,2.7646133451575055
ASO1-24_WT_20210611,ASO12_10,KQ279_10,0.367647425,0.536846132,1,,,,,,
ASO1-24_WT_20210611,ASO12_10,KQ279_10,0.703689346,0.569709348,1,,,,,,
ASO1-24_WT_20210611,ASO12_10,KQ279_10,0.737105456,0.428806834,1,0.41852424466666666,-0.8422497888506866,,,,
ASO1-24_WT_20210611,ASO12_10,KQ279_10,0.663852544,0.435970601,1,,,,,,
ASO1-24_WT_20210611,ASO12_10,KQ279_10,1.125791366,0.390795299,1,,,,,,
ASO1-24_total_20210611,ASO12_3,KQ279_3,0.772586792,1.141923146,1,1.0784981843333334,-0.8789507485746316,1.7579014971492644,-7.130468486610171,0.006607543545911389,2.8642538122370795
ASO1-24_total_20210611,ASO12_3,KQ279_3,0.773153102,1.141585454,1,,,,,,
ASO1-24_total_20210611,ASO12_3,KQ279_3,1.091112352,0.951985953,1,,,,,,
ASO1-24_total_20210611,ASO12_3,KQ279_3,0.452556433,1.872477595,1,2.1267370623333335,0.8789507485746327,,,,
ASO1-24_total_20210611,ASO12_3,KQ279_3,0.981612069,2.187954137,1,,,,,,
ASO1-24_total_20210611,ASO12_3,KQ279_3,1.202683743,2.319779455,1,,,,,,
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.792604264,0.80746699,1,0.782457146,-0.8729350301794334,1.745870060358866,-6.5375203057359395,0.0057692146079503116,3.230618303889259
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.68964734,0.839521167,1,,,,,,
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.136553486,0.700383281,1,,,,,,
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.086316806,1.392442401,1,1.3260090133333333,0.8729350301794326,,,,
ASO1-24_MT_20210611,ASO12_3,KQ279_3,0.412643501,1.182703778,1,,,,,,
ASO1-24_MT_20210611,ASO12_3,KQ279_3,1.119844783,1.402880861,1,,,,,,
ASO1-24_WT_20210611,ASO12_3,KQ279_3,1.170449543,0.726819855,1,0.822060584,-0.9022346607575985,1.8044693215151981,-12.986852600771837,0.0044557646251913935,2.1458908143263535
ASO1-24_WT_20210611,ASO12_3,KQ279_3,0.811976104,0.854110598,1,,,,,,
ASO1-24_WT_20210611,ASO12_3,KQ279_3,0.724278335,0.885251299,1,,,,,,
ASO1-24_WT_20210611,ASO12_3,KQ279_3,0.953654263,1.481070302,1,1.462811656666667,0.9022346607575995,,,,
ASO1-24_WT_20210611,ASO12_3,KQ279_3,0.884122695,1.456380258,1,,,,,,
ASO1-24_WT_20210611,ASO12_3,KQ279_3,0.868927024,1.45098441,1,,,,,,
ASO1-24_total_20210611,ASO1_10,KQ972_10,0.245887124,0.401674695,1,0.40879019666666666,0.5158862567665377,1.2897156419163402,2.154492601904937,0.14164347257289278,2.3009170130211163
ASO1-24_total_20210611,ASO1_10,KQ972_10,0.526399657,0.376669738,1,,,,,,
ASO1-24_total_20210611,ASO1_10,KQ972_10,0.274096406,0.448026157,1,,,,,,
ASO1-24_total_20210611,ASO1_10,KQ972_10,1.896593377,,1,0.3612661385,-0.7738293851498027,,,,
