Experiment Name,SampleName,Test plate #,ASO Microsynth ID_10,ASO Microsynth ID_3,Avg_exp_10,Avg_exp_3,10mmol > 3mmol,Total:
ASO1-24_total_20210611,ASO10,1,KQ280_10,KQ280_3,0.62694128,0.829356512,FALSE,169
ASO1-24_total_20210611,ASO11,1,KQ371_10,KQ371_3,0.299946651,0.314938865,FALSE,
ASO1-24_total_20210611,ASO12,1,KQ279_10,KQ279_3,0.4447181,1.074967431,FALSE,
ASO1-24_total_20210611,ASO1,1,KQ972_10,KQ972_3,0.40649378,0.456014816,FALSE,
ASO1-24_total_20210611,ASO2,1,KQ380_10,KQ380_3,0.615993673,0.912570762,FALSE,
ASO1-24_total_20210611,ASO3,1,KQ379_10,KQ379_3,1.293526293,0.958254224,TRUE,
ASO1-24_total_20210611,ASO4,1,KQ378_10,KQ378_3,0.517888654,0.763392024,FALSE,
ASO1-24_total_20210611,ASO5,1,KQ377_10,KQ377_3,1.073891023,0.956994631,TRUE,
ASO1-24_total_20210611,ASO6,1,KQ281_10,KQ281_3,0.790674279,2.1266688,FALSE,
ASO1-24_total_20210611,ASO7,1,KQ973_10,KQ973_3,0.601786231,0.297627997,TRUE,
ASO1-24_total_20210611,ASO8,1,KQ373_10,KQ373_3,0.554508183,0.451271435,TRUE,
ASO1-24_total_20210611,ASO9,1,KQ372_10,KQ372_3,0.502020067,0.937489971,FALSE,
ASO1-24_total_20210611,Ionis1375651_P1,1,Ionis1375651_10_P1,Ionis1375651_3_P1,0.275505391,0.366358369,FALSE,
ASO1-24_total_20210611,ASO13,2,KQ974_10,KQ974_3,0.778857041,0.995481994,FALSE,
ASO1-24_total_20210611,ASO14,2,KQ387_10,KQ387_3,1.023047105,1.066647573,FALSE,
ASO1-24_total_20210611,ASO15,2,KQ386_10,KQ386_3,1.426889582,10.15059603,FALSE,
ASO1-24_total_20210611,ASO16,2,KQ385_10,KQ385_3,1.328065892,1.792281083,FALSE,
ASO1-24_total_20210611,ASO17,2,KQ384_10,KQ384_3,1.461733006,1.228413774,TRUE,
ASO1-24_total_20210611,ASO18,2,KQ282_10,KQ282_3,1.406593391,1.344513673,TRUE,
ASO1-24_total_20210611,ASO19,2,KQ975_10,KQ975_3,0.961116723,0.625194724,TRUE,
ASO1-24_total_20210611,ASO20,2,KQ394_10,KQ394_3,0.957724961,1.078117662,FALSE,
ASO1-24_total_20210611,ASO21,2,KQ393_10,KQ393_3,1.260405819,1.792426649,FALSE,
ASO1-24_total_20210611,ASO22,2,KQ392_10,KQ392_3,1.19615494,1.195177488,TRUE,
ASO1-24_total_20210611,ASO23,2,KQ391_10,KQ391_3,0.823081526,0.878876272,FALSE,
