Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_zscore,Avg Exp_zscore,Avg_naive,Test plate #,Avg_plate,Min_plate,Max_plate,outliers removed by Exp_zscore: 375 greater than 1.8
ASO1-24_total_20210611,D13,ASO10_10,KQ280_10,6.511788593,0.379077819,0.768928939,6.701936805,-0.190148213,1.140880916,1.104038344,0.81945173,,1,0.807439211,0.003028056,1.973998338,
ASO1-24_total_20210611,D14,ASO10_10,KQ280_10,6.871315462,0.738604688,0.599318707,6.701936805,0.169378656,0.889225573,0.278072253,,,1,,,,
ASO1-24_total_20210611,D15,ASO10_10,KQ280_10,6.52253695,0.389826176,0.763221556,6.701936805,-0.179399855,1.132412716,1.076244593,,,1,,,,
ASO1-24_total_20210611,D16,ASO10_10,KQ280_10,7.868125385,1.735414611,0.300322691,6.701936805,1.166188579,0.445596999,1.177975349,0.81945173,,1,,,,
ASO1-24_total_20210611,D17,ASO10_10,KQ280_10,7.748360264,1.61564949,0.326318008,6.701936805,1.046423458,0.484166962,1.051383635,,,1,,,,
ASO1-24_total_20210611,D18,ASO10_10,KQ280_10,7.146646873,1.013936099,0.495193369,6.701936805,0.444710067,0.734731958,0.228996206,,,1,,,,
ASO1-24_MT_20210611,D13,ASO10_10,KQ280_10,8.075158012,1.511561493,0.350731401,6.923016948,1.152141065,0.449956967,0.088196397,0.622993281,,1,,,,
ASO1-24_MT_20210611,D14,ASO10_10,KQ280_10,7.921889955,1.358293435,0.3900434,6.923016948,0.998873007,0.500390739,0.522736802,,,1,,,,
ASO1-24_MT_20210611,D15,ASO10_10,KQ280_10,7.75670756,1.19311104,0.437358719,6.923016948,0.833690612,0.561092054,1.258046645,,,1,,,,
ASO1-24_MT_20210611,D16,ASO10_10,KQ280_10,8.603367228,2.039770708,0.243202387,6.923016948,1.68035028,0.312006874,1.759264968,0.679576332,,1,,,,
ASO1-24_MT_20210611,D17,ASO10_10,KQ280_10,8.007610421,1.444013901,0.367543293,6.923016948,1.084593473,0.471525117,0.173070974,,,1,,,,
ASO1-24_MT_20210611,D18,ASO10_10,KQ280_10,8.079982474,1.516385954,0.349560493,6.923016948,1.156965526,0.448454796,0.106393056,,,1,,,,
ASO1-24_WT_20210611,D13,ASO10_10,KQ280_10,6.606303421,-0.294640531,1.226579319,6.689220702,-0.082917281,1.059157605,1.265534887,0.882559445,,1,,,,
ASO1-24_WT_20210611,D14,ASO10_10,KQ280_10,6.708228269,-0.192715683,1.142913076,6.689220702,0.019007567,0.98691137,0.832263548,,,1,,,,
ASO1-24_WT_20210611,D15,ASO10_10,KQ280_10,6.778756585,-0.122187368,1.088383785,6.689220702,0.089535882,0.939825044,0.549879901,,,1,,,,
ASO1-24_WT_20210611,D16,ASO10_10,KQ280_10,7.256840735,0.355896783,0.781383782,6.689220702,0.567620033,0.674728949,1.039940522,0.882559445,,1,,,,
ASO1-24_WT_20210611,D17,ASO10_10,KQ280_10,7.134689612,0.23374566,0.850424073,6.689220702,0.44546891,0.734345598,0.682410675,,,1,,,,
ASO1-24_WT_20210611,D18,ASO10_10,KQ280_10,7.216545232,0.315601279,0.803516036,6.689220702,0.527324529,0.693840265,0.925327139,,,1,,,,
ASO1-24_total_20210611,D19,ASO10_3,KQ280_3,6.040984112,-0.091726662,1.065644816,6.701936805,-0.660952693,1.581126387,1.068017367,0.879678095,,1,,,,
ASO1-24_total_20210611,D20,ASO10_3,KQ280_3,6.00483097,-0.127879804,1.0926867,6.701936805,-0.697105835,1.621249169,1.169027477,,,1,,,,
ASO1-24_total_20210611,D21,ASO10_3,KQ280_3,6.305152837,0.172442063,0.887339402,6.701936805,-0.396783969,1.316569762,0.401989442,,,1,,,,
ASO1-24_total_20210611,D22,ASO10_3,KQ280_3,7.061993781,0.929283007,0.525119251,6.701936805,0.360056976,0.779133809,0.951019024,0.879678095,,1,,,,
ASO1-24_total_20210611,D23,ASO10_3,KQ280_3,7.007489472,0.874778698,0.545337512,6.701936805,0.305552667,0.809132195,0.875497335,,,1,,,,
ASO1-24_total_20210611,D24,ASO10_3,KQ280_3,6.963560495,0.830849722,0.56219802,6.701936805,0.26162369,0.834148593,0.812517927,,,1,,,,
ASO1-24_MT_20210611,D19,ASO10_3,KQ280_3,6.838938606,0.275342086,0.826254377,6.923016948,-0.084078342,1.060010343,0.955853312,0.839618858,,1,,,,
