,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
0,Rd2.3_P1+2_MT_20210723,G1,Naive_P2.3-1,Naive_P2.3-1,6.7549297930133,0.4015148639111068,0.7570629317772611,0.03918189722921593,1.7533914173748422
1,Rd2.3_P1+2_MT_20210723,G2,Naive_P2.3-1,Naive_P2.3-1,6.647777942742703,0.2943630136405097,0.8154322869166715,0.03918189722921593,1.3488339636834392
2,Rd2.3_P1+2_MT_20210723,G3,Naive_P2.3-1,Naive_P2.3-1,6.619576010803801,0.2661610817016075,0.8315292501840602,0.03918189722921593,1.2372660620668268
3,Rd2.3_P1+2_MT_20210723,G4,Naive_P2.3-1,Naive_P2.3-1,6.258780054567602,-0.0946348745345915,1.0677951301835753,0.06680021267653981,0.4002905389692836
4,Rd2.3_P1+2_MT_20210723,G5,Naive_P2.3-1,Naive_P2.3-1,6.321989301223599,-0.031425627878594,1.0220215578659833,0.06680021267653981,0.08303433802384678
5,Rd2.3_P1+2_MT_20210723,G6,Naive_P2.3-1,Naive_P2.3-1,6.448511276372702,0.095096347270509,0.9362097226036339,0.06680021267653981,0.511726688329903
6,Rd2.3_P1+2_MT_20210723,H1,Naive_P2.3-1,Naive_P2.3-1,6.2528481509079015,-0.1005667781942918,1.0721946029362734,0.06244388518908748,0.43078324340580293
7,Rd2.3_P1+2_MT_20210723,H2,Naive_P2.3-1,Naive_P2.3-1,6.234580031144798,-0.1188348979573952,1.0858575836530204,0.06244388518908748,0.5254812347644537
8,Rd2.3_P1+2_MT_20210723,H3,Naive_P2.3-1,Naive_P2.3-1,6.106662852770903,-0.2467520763312904,1.1865328773176758,0.06244388518908748,1.2232607520698877
9,Rd2.3_P1+2_MT_20210723,H4,Naive_P2.3-1,Naive_P2.3-1,6.1597955657721,-0.1936193633300931,1.1436292014303713,0.07850032059880323,0.9258957763987776
10,Rd2.3_P1+2_MT_20210723,H5,Naive_P2.3-1,Naive_P2.3-1,6.1199192794795,-0.2334956496226929,1.1756801735355695,0.07850032059880323,1.148040763819726
11,Rd2.3_P1+2_MT_20210723,H6,Naive_P2.3-1,Naive_P2.3-1,6.315608890427399,-0.0378060386747947,1.0265515230101505,0.07850032059880323,0.11443148400324006
12,Rd2.3_P1+2_MT_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,9.201556700636996,2.8481417715348023,0.13887494337345072,0.010494974721122164,1.326195350710679
13,Rd2.3_P1+2_MT_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,9.4169879296972,3.0635730005950066,0.11961141632460069,0.010494974721122164,0.532525312589297
14,Rd2.3_P1+2_MT_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,9.388181632450003,3.0347667033478096,0.12202370082213965,0.010494974721122164,0.6319130272204894
15,Rd2.3_P1+2_MT_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,9.8329795994621,3.479564670359906,0.08964925035835372,0.012020578328256263,0.7019357154626767
16,Rd2.3_P1+2_MT_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,10.124150369109099,3.7707354400069057,0.07326482672949806,0.012020578328256263,1.3769847910101907
17,Rd2.3_P1+2_MT_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,9.723854093304201,3.370439164202008,0.0966933736281868,0.012020578328256263,0.41171318404759627
18,Rd2.3_P1+2_MT_20210723,G10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,7.893720856311202,1.5403059272090085,0.34381254046734,0.0244516584619786,1.1526243366589641
19,Rd2.3_P1+2_MT_20210723,G11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,8.0951173092969,1.741702380194706,0.2990166282664545,0.0244516584619786,0.2255297302687069
20,Rd2.3_P1+2_MT_20210723,G12,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,7.916595743970301,1.563180814868108,0.3384041544671577,0.0244516584619786,1.040692572270283
21,Rd2.3_P1+2_MT_20210723,H10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,8.224844188551199,1.8714292594490052,0.2733025338426356,0.02618313991677328,0.3066482537764763
22,Rd2.3_P1+2_MT_20210723,H11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,8.5291569347953,2.175742005693106,0.22132801725864035,0.02618313991677328,1.3823110012762458
23,Rd2.3_P1+2_MT_20210723,H12,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,8.3370486235386,1.9836336944364064,0.25285221216748494,0.02618313991677328,0.7298873841452325
