Test plate #,Avg_plate,Min_plate,Max_plate,Experiment Name,Avg_naive
1,0.807439211,0.003028056,1.973998338,ASO1-24_total_20210611,0.764275952
1,0.807439211,0.003028056,1.973998338,ASO1-24_MT_20210611,0.788024647
1,0.807439211,0.003028056,1.973998338,ASO1-24_WT_20210611,0.790544705
2,0.813772079,0.003489504,2.429174999,ASO1-24_total_20210611,0.817113069
2,0.813772079,0.003489504,2.429174999,ASO1-24_MT_20210611,0.767864927
2,0.813772079,0.003489504,2.429174999,ASO1-24_WT_20210611,0.829999946
3,0.773516244,0.000752976,2.003207918,ASO25-48_MT_20210614,0.772045088
3,0.773516244,0.000752976,2.003207918,ASO25-48_total_20210614,0.757185247
3,0.773516244,0.000752976,2.003207918,ASO25-48_WT_20210614,0.802592952
4,0.812225496,0.006240335,1.945995489,ASO25-48_MT_20210614,0.904822273
4,0.812225496,0.006240335,1.945995489,ASO25-48_total_20210614,0.854470477
4,0.812225496,0.006240335,1.945995489,ASO25-48_WT_20210614,0.913454145
5,0.762427608,0.002363295,2.032839228,ASO49-72_MT_20210615,0.835489287
5,0.762427608,0.002363295,2.032839228,ASO49-72_WT_20210615,0.756283614
5,0.762427608,0.002363295,2.032839228,ASO49-72_total_20210615,0.824741264
6,0.760864619,0.001799259,2.232428438,ASO49-72_MT_20210615,0.792382942
6,0.760864619,0.001799259,2.232428438,ASO49-72_WT_20210615,0.733997859
6,0.760864619,0.001799259,2.232428438,ASO49-72_total_20210615,0.790300585
7,0.754546166,0.004115686,1.992157816,ASO73-96_MT_20210615,0.747287941
7,0.754546166,0.004115686,1.992157816,ASO73-96_total_20210615,0.86690643
7,0.754546166,0.004115686,1.992157816,ASO73-96_WT_20210615,0.820809774
8,0.75578212,0.000886424,2.258816384,ASO73-96_MT_20210615,0.707321978
8,0.75578212,0.000886424,2.258816384,ASO73-96_total_20210615,0.728075489
8,0.75578212,0.000886424,2.258816384,ASO73-96_WT_20210615,0.695639333
9,0.771721718,0.001296345,2.64644366,ASO97-120_MT_20210615,0.810431487
9,0.771721718,0.001296345,2.64644366,ASO97-120_total_20210615,0.75661049
9,0.771721718,0.001296345,2.64644366,ASO97-120_WT_20210615,0.803396597
10,0.779675973,0.00673922,2.270778551,ASO97-120_MT_20210615,0.813979077
10,0.779675973,0.00673922,2.270778551,ASO97-120_WT_20210615,0.882826479
10,0.779675973,0.00673922,2.270778551,ASO97-120_total_20210615,0.811435909
11,0.793403341,0.001349984,2.014779507,ASO121-144_total_20210615,0.819200403
11,0.793403341,0.001349984,2.014779507,ASO121-144_MT_20210615,0.821318181
11,0.793403341,0.001349984,2.014779507,ASO121-144_WT_20210615,0.836631779
12,0.786289621,0.001064686,2.089416601,ASO121-144_MT_20210615,0.802350891
12,0.786289621,0.001064686,2.089416601,ASO121-144_total_20210615,0.826310239
12,0.786289621,0.001064686,2.089416601,ASO121-144_WT_20210615,0.8117016
13,0.809090777,0.010688328,2.419852376,ASO145-168_total_20210616,0.719303738
13,0.809090777,0.010688328,2.419852376,ASO145-168_MT_20210616,0.721205339
13,0.809090777,0.010688328,2.419852376,ASO145-168_WT_20210616,0.731716065
14,0.796371669,0.005188742,2.455271999,ASO145-168_MT_20210616,0.730096188
14,0.796371669,0.005188742,2.455271999,ASO145-168_total_20210616,0.753967446
14,0.796371669,0.005188742,2.455271999,ASO145-168_WT_20210616,0.738624192
