,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
0,Experiment_40_WT,Ionis 1375651_10uM,Ionis 1375651_10uM,8.832,6.5805,2.2515,0.210005643,0.04636490042562715,0.7071067811865475
1,Experiment_40_WT,Ionis 1375651_10uM,Ionis 1375651_10uM,9.571,6.7795,2.7915,0.144435772,0.04636490042562715,-0.7071067811865475
2,Experiment_37_MT,Ionis 1375651_10uM,Ionis 1375651_10uM,9.487,6.9915,2.4955,0.177328951,,
3,Experiment_39,Ionis 1375651_10uM,Ionis 1375651_10uM,7.546,5.6815,1.8645,0.274618362,0.030725587107993266,0.7071067811865481
4,Experiment_40_MT,Ionis 1375651_10uM,Ionis 1375651_10uM,9.682,7.537,2.145,0.226094844,0.06692797433025147,-0.7071067811865478
5,Experiment_39,Ionis 1375651_10uM,Ionis 1375651_10uM,7.915,5.802,2.113,0.23116582,0.030725587107993266,-0.7071067811865472
6,Experiment_40_MT,Ionis 1375651_10uM,Ionis 1375651_10uM,8.443,6.8025,1.6405,0.320745293,0.06692797433025147,0.7071067811865474
7,Experiment_37_WT,Ionis 1375651_10uM,Ionis 1375651_10uM,10.092,7.0355,3.0565,0.120199267,,
8,Experiment_39,Ionis 1375651_1uM,Ionis 1375651_1uM,6.636,5.6815,0.9545,0.516020398,0.06858725908216853,-0.7071067811865476
9,Experiment_39,Ionis 1375651_1uM,Ionis 1375651_1uM,6.508,5.802,0.706,0.61301743,0.06858725908216853,0.7071067811865476
10,Experiment_39,Ionis 1375651_3uM,Ionis 1375651_3uM,6.728,5.6815,1.0465,0.484141275,0.15062924629469857,0.7071067811865476
11,Experiment_39,Ionis 1375651_3uM,Ionis 1375651_3uM,7.685,5.802,1.883,0.271119352,0.15062924629469857,-0.7071067811865476
12,Experiment_40_WT,Ionis 676630_10uM,Ionis 676630_10uM,7.513,6.5805,0.9325,0.523949619,0.30336195777962505,-0.7071067811865472
13,Experiment_37_MT,Ionis 676630_10uM,Ionis 676630_10uM,7.383,6.9915,0.3915,0.762336575,,
14,Experiment_37_WT,Ionis 676630_10uM,Ionis 676630_10uM,7.112,7.0355,0.0765,0.948355583,,
15,Experiment_40_MT,Ionis 676630_10uM,Ionis 676630_10uM,6.847,6.8025,0.0445,0.969625805,0.05668649568420032,0.7071067811865475
16,Experiment_40_WT,Ionis 676630_10uM,Ionis 676630_10uM,6.849,6.7795,0.0695,0.952968214,0.30336195777962505,0.7071067811865477
17,Experiment_40_MT,Ionis 676630_10uM,Ionis 676630_10uM,7.706,7.537,0.169,0.889458994,0.05668649568420032,-0.7071067811865475
18,Experiment_39,Ionis 676630_10uM,Ionis 676630_10uM,5.902,5.6815,0.2205,0.858267932,,
19,Experiment_39,Ionis 676630_3uM,Ionis 676630_3uM,5.618,5.6815,-0.0635,1.044997869,,
20,Experiment_40_MT,KQ105_10uM,KQ105_10uM,7.474,6.8025,0.6715,0.627853555,0.07116747051351491,-0.7071067811865464
21,Experiment_40_WT,KQ105_10uM,KQ105_10uM,7.016,6.5805,0.4355,0.739437441,0.07301619553607275,0.7071067811865476
22,Experiment_40_WT,KQ105_10uM,KQ105_10uM,7.432,6.7795,0.6525,0.636176947,0.07301619553607275,-0.7071067811865476
23,Experiment_40_MT,KQ105_10uM,KQ105_10uM,7.994,7.537,0.457,0.728499557,0.07116747051351491,0.7071067811865479
24,Experiment_40_MT,KQ106_10uM,KQ106_10uM,7.859,7.537,0.322,0.799960128,0.2900854629845294,0.7071067811865478
25,Experiment_40_MT,KQ106_10uM,KQ106_10uM,8.162,6.8025,1.3595,0.389717332,0.2900854629845294,-0.7071067811865475
26,Experiment_40_WT,KQ106_10uM,KQ106_10uM,7.874,6.7795,1.0945,0.468298395,0.18955425483982047,-0.7071067811865478
27,Experiment_40_WT,KQ106_10uM,KQ106_10uM,7.022,6.5805,0.4415,0.736368593,0.18955425483982047,0.7071067811865475
28,Experiment_40_MT,KQ258_10uM,KQ258_10uM,8.234,6.8025,1.4315,0.370745221,0.03145903290967221,-0.7071067811865489
29,Experiment_40_WT,KQ258_10uM,KQ258_10uM,7.651,6.5805,1.0705,0.476153948,0.0286960209403604,-0.7071067811865476
30,Experiment_40_MT,KQ258_10uM,KQ258_10uM,8.805,7.537,1.268,0.415235012,0.03145903290967221,0.7071067811865471
31,Experiment_40_WT,KQ258_10uM,KQ258_10uM,7.732,6.7795,0.9525,0.51673625,0.0286960209403604,0.7071067811865476
32,Experiment_40_MT,KQ280_10uM,KQ280_10uM,8.284,6.8025,1.4815,0.358116277,0.021487106197036487,-0.7071067811865495
