,Experiment Name,SampleName,Avg Exp_1,Avg Exp_2
0,Experiment_37_WT,KQ880_10uM,0.858267932,0.799128825
1,Experiment_37_WT,KQ881_10uM,0.554592496,0.565853307
2,Experiment_37_WT,KQ882_10uM,0.720714612,0.746130558
3,Experiment_37_WT,KQ884_10uM,0.666880422,0.63971446
4,Experiment_37_WT,KQ885_10uM,0.706861759,0.709807636
5,Experiment_37_WT,KQ886_10uM,0.8019032,0.857673232
6,Experiment_37_WT,KQ887_10uM,0.804129633,0.823876502
7,Experiment_37_WT,KQ888_10uM,0.956939751,1.200387333
8,Experiment_37_WT,KQ889_10uM,0.412795744,1.06326411
9,Experiment_37_WT,KQ890_10uM,0.763394131,0.711778371
10,Experiment_37_WT,KQ891_10uM,0.95627668,0.903439564
11,Experiment_37_WT,KQ893_10uM,0.557289934,0.606466558
12,Experiment_37_WT,KQ894_10uM,0.622652875,0.543932675
13,Experiment_37_WT,KQ895_10uM,0.524676471,0.570975204
14,Experiment_37_WT,KQ896_10uM,0.701006633,0.367419474
15,Experiment_37_WT,KQ897_10uM,0.558837214,0.620068712
16,Experiment_37_WT,KQ898_10uM,0.576542953,0.442730294
17,Experiment_37_WT,KQ899_10uM,0.676189725,0.765513646
18,Experiment_37_WT,KQ900_10uM,0.677597285,1.053726166
19,Experiment_40_WT,KQ958_10uM,0.633536656,0.775124522
20,Experiment_40_WT,KQ106_10uM,0.468298395,0.736368593
21,Experiment_40_WT,KQ830_10uM,0.981799271,0.991373087
22,Experiment_40_WT,KQ373_10uM,0.331136971,0.28155721
23,Experiment_40_WT,KQ500_10uM,0.529792748,0.58743454
24,Experiment_40_WT,KQ479_10uM,0.675252977,0.789220316
25,Experiment_40_WT,KQ105_10uM,0.636176947,0.739437441
26,Experiment_40_WT,KQ920_10uM,0.875087995,0.831910367
27,Experiment_40_WT,KQ332_10uM,0.347359149,0.581358502
28,Experiment_40_WT,KQ501_10uM,0.702952933,0.692794797
29,Experiment_40_WT,KQ480_10uM,0.652251382,0.739437441
30,Experiment_40_WT,KQJM071_10uM,0.804687206,0.892237692
31,Experiment_40_WT,KQ921_10uM,0.880564141,0.834220112
32,Experiment_40_WT,KQ258_10uM,0.51673625,0.476153948
33,Experiment_40_WT,KQ955_10uM,0.347359149,0.383287804
34,Experiment_40_WT,KQ995_10uM,0.631344786,0.644610682
35,Experiment_40_WT,KQ928_10uM,0.818752891,0.751841262
36,Experiment_40_WT,KQ371_10uM,0.5163782,0.495343079
37,Experiment_40_WT,KQ957_10uM,0.385686352,0.444883655
38,Experiment_40_WT,KQ288_10uM,0.645952506,0.601860066
39,Experiment_40_WT,KQ980_10uM,0.800792296,0.738925079
40,Experiment_40_WT,KQ280_10uM,0.693275172,0.742004582
41,Experiment_40_WT,KQ956_10uM,0.351720176,0.414516088
42,Experiment_40_WT,KQ426_10uM,0.857673232,0.533108097
43,Experiment_40_WT,KQJM069_10uM,0.879953992,0.862442393
44,Experiment_40_WT,KQ372_10uM,0.71276579,0.645952506
45,Experiment_39_WT,KQ840_10uM,0.529425651,0.494142826
46,Experiment_39_WT,KQ886_10uM,0.603949572,0.509445598
47,Experiment_39_WT,KQ836_10uM,0.568211525,0.757858283
48,Experiment_39_WT,KQ882_10uM,0.608572058,0.652025368
49,Experiment_39_WT,KQ332-5PD_10uM,0.200059355,0.286776756
50,Experiment_39_WT,KQ843_10uM,0.513878786,0.443498153
