Experiment Name,SampleName,ASO Microsynth ID,Avg Exp
Experiment_40_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.210005643
Experiment_40_WT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.144435772
Experiment_37_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.177328951
Experiment_39_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.274618362
Experiment_40_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.226094844
Experiment_39_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.23116582
Experiment_40_MT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.320745293
Experiment_37_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.120199267
Experiment_39_1,Ionis 1375651_1uM,Ionis 1375651_1uM,0.516020398
Experiment_39_2,Ionis 1375651_1uM,Ionis 1375651_1uM,0.61301743
Experiment_39_1,Ionis 1375651_3uM,Ionis 1375651_3uM,0.484141275
Experiment_39_2,Ionis 1375651_3uM,Ionis 1375651_3uM,0.271119352
Experiment_40_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.523949619
Experiment_37_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.762336575
Experiment_37_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.948355583
Experiment_40_MT_1,Ionis 676630_10uM,Ionis 676630_10uM,0.969625805
Experiment_40_WT_1,Ionis 676630_10uM,Ionis 676630_10uM,0.952968214
Experiment_40_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.889458994
Experiment_39_1,Ionis 676630_10uM,Ionis 676630_10uM,0.858267932
Experiment_39_1,Ionis 676630_3uM,Ionis 676630_3uM,1.044997869
Experiment_40_MT_1,Naive_1,Naive_1,0.988628225
Experiment_37_WT_2,Naive_1,Naive_1,1.031325687
Experiment_40_MT_2,Naive_1,Naive_1,0.683020128
Experiment_37_WT_1,Naive_1,Naive_1,0.985207831
Experiment_37_MT_2,Naive_1,Naive_1,1.124668637
Experiment_40_WT_1,Naive_1,Naive_1,0.972992102
Experiment_40_WT_2,Naive_1,Naive_1,0.823305632
Experiment_39_1,Naive_1,Naive_1,0.904065998
Experiment_39_2,Naive_1,Naive_1,0.911933166
Experiment_37_MT_1,Naive_1,Naive_1,1.087865351
Experiment_40_WT_2,Naive_2,Naive_2,1.214615765
Experiment_39_1,Naive_2,Naive_2,0.987943197
Experiment_37_WT_1,Naive_2,Naive_2,1.015014263
Experiment_37_WT_2,Naive_2,Naive_2,0.969625805
Experiment_40_WT_1,Naive_2,Naive_2,1.027757571
Experiment_37_MT_1,Naive_2,Naive_2,0.91923141
Experiment_40_MT_2,Naive_2,Naive_2,1.464085696
Experiment_37_MT_2,Naive_2,Naive_2,0.889150784
Experiment_40_MT_1,Naive_2,Naive_2,1.01150258
Experiment_39_1,Naive_3,Naive_3,0.950988632
Experiment_39_2,Naive_3,Naive_3,1.096571589
Experiment_39_1,Naive_4,Naive_4,1.177314693
