Experiment Name,SampleName,ASO Microsynth ID,Avg Exp
Experiment_40_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.210005643
Experiment_40_WT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.144435772
Experiment_37_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.177328951
Experiment_39_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.274618362
Experiment_40_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.226094844
Experiment_39_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.23116582
Experiment_40_MT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,0.320745293
Experiment_37_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,0.120199267
Experiment_40_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.523949619
Experiment_37_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.762336575
Experiment_37_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.948355583
Experiment_40_MT_1,Ionis 676630_10uM,Ionis 676630_10uM,0.969625805
Experiment_40_WT_1,Ionis 676630_10uM,Ionis 676630_10uM,0.952968214
Experiment_40_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,0.889458994
Experiment_39_1,Ionis 676630_10uM,Ionis 676630_10uM,0.858267932
