SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,1.0,
ASO11_10,KQ371_L20_5-10-5_10uM_P1.2-1,1.0,
ASO12_10,KQ279_L20_5-10-5_10uM_P1.2-1,1.0,
ASO13_10,KQ974_L20_5-10-5_10uM_P1.2-1,1.0,
ASO142_10,KQ943_L20_5-10-5_10uM_P1.2-6,6.0,
ASO155_10,KQ463_L20_5-10-5_10uM_P1.2-6,6.0,
ASO165_10,KQ366_L20_5-10-5_10uM_P1.2-6,6.0,
ASO166_10,KQ278_L20_5-10-5_10uM_P1.2-6,6.0,
ASO171_10,KQ360_L20_5-10-5_10uM_P1.2-6,6.0,
ASO188_10,KQ480_L20_5-10-5_10uM_P1.2-7,7.0,
ASO189_10,KQ479_L20_5-10-5_10uM_P1.2-7,7.0,
ASO217_10,KQ999_L20_5-10-5_10uM_P1.2-9,9.0,
ASO231_10,KQ513_L20_5-10-5_10uM_P1.2-8,8.0,
ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,8.0,
ASO234_10,KQ235_L20_5-10-5_10uM_P1.2-8,8.0,
ASO23_10,KQ391_L20_5-10-5_10uM_P1.2-2,2.0,
ASO245_10,KQ505_L20_5-10-5_10uM_P1.2-9,9.0,
ASO246_10,KQ300_L20_5-10-5_10uM_P1.2-9,9.0,
ASO24_10,KQ283_L20_5-10-5_10uM_P1.2-2,2.0,
ASO254_10,KQ106_L20_5-10-5_10uM_P1.2-4,4.0,
ASO258_10,KQJM111_L17_4-10-3_10uM_P1.2-3,3.0,
ASO259_10,KQJM112_L18_4-10-4_10uM_P1.2-3,3.0,
ASO263_10,KQJM116_L18_4-10-4_10uM_P1.2-3,3.0,
ASO274_10,KQJM017_L19_6-08-5_10uM_P1.2-5,5.0,
ASO277_10,KQJM020_L22_7-08-7_10uM_P1.2-5,5.0,
ASO278_10,KQJM021_L17_4-10-3_10uM_P1.2-5,5.0,
ASO281_10,KQJM024_L19_5-10-4_10uM_P1.2-5,5.0,
ASO33_10,KQ907_L20_5-10-5_10uM_P1.2-1,1.0,
ASO38_10,KQ332_L20_5-10-5_10uM_P1.2-2,2.0,
ASO53_10,KQ913_L20_5-10-5_10uM_P1.2-2,2.0,
ASO60_10,KQ921_L20_5-10-5_10uM_P1.2-2,2.0,
ASO61_10,KQ920_L20_5-10-5_10uM_P1.2-2,2.0,
ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,3.0,
ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,3.0,
ASO67_10,KQ927_L20_5-10-5_10uM_P1.2-3,3.0,
ASO72_10,KQJM064_L19_6-08-5_10uM_P1.2-7,7.0,
ASO75_10,KQ407_L20_5-10-5_10uM_P1.2-4,4.0,
ASO76_10,KQ406_L20_5-10-5_10uM_P1.2-4,4.0,
ASO95_10,KQJM069_L19_5-10-4_10uM_P1.2-2,2.0,
ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,1.0,
