SampleName,ASO Microsynth ID,Test plate #,Avg Exp
KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,1.0,1.1652638809908171
KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,5.0,0.39500589999697094
KQ2063_10_P2.3-1,KQ2063_L21_7-08-6_10uM_P2.3-1,1.0,1.158454009661856
KQ2065_10_P9,KQ2065_L20_6-08-6_10uM_P2.3-9,9.0,0.639273941966421
KQ272_10_P2.3-6,KQ272_L20_5-10-5_10uM_P2.3-6,6.0,0.5341777200387131
KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,3.0,0.7998588955845619
KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,3.0,0.648529555994615
KQ372_10_P9,KQ372_L20_5-10-5_10uM_P2.3-9,9.0,0.8760527907760974
KQ426_10_P2.3-3,KQ426_L20_5-10-5_10uM_P2.3-3,3.0,0.6631469297356548
KQ455_10_P2.3-4,KQ455_L20_5-10-5_10uM_P2.3-4,4.0,1.284474531580943
KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.0,0.7988443481853742
KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,3.0,1.127458352269494
KQ927_10_P2.3-2,KQ927_L20_5-10-5_10uM_P2.3-2,2.0,0.6495077343402018
KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,4.0,0.5949699023270852
KQ957_10_P9,KQ957_L20_5-10-5_10uM_P2.3-9,9.0,0.5978962102067554
KQ972_10_P2.3-1,KQ972_L20_5-10-5_10uM_P2.3-1,1.0,1.2203710816673674
KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,5.0,0.8170517143023339
KQ997_10_P2.3-6,KQ997_L20_5-10-5_10uM_P2.3-6,6.0,0.7055502440220178
KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,4.0,1.5764534208224006
KQJM069_10_P2.3-3,KQJM069_L19_5-10-4_10uM_P2.3-3,3.0,1.1098643879188972
KQJM071_10_P2.3-2,KQJM071_L17_5-08-4_10uM_P2.3-2,2.0,1.1838047067386894
KQJM077_10_P2.3-4,KQJM077_L17_5-08-4_10uM_P2.3-4,4.0,1.1919364936820938
KQJM105_10_P2.3-3,KQJM105_L19_6-08-5_10uM_P2.3-3,3.0,1.1277846951381036
KQJM106_10_P2.3-3,KQJM106_L17_5-08-4_10uM_P2.3-3,3.0,1.2727712829640365
KQJM148_10_P2.3-7,KQJM148_L17_5-08-4_10uM_P2.3-7,7.0,1.3410290848023545
KQJM151_10_P2.3-7,KQJM151_L18_5-08-5_10uM_P2.3-7,7.0,1.0202847407013176
