SampleName,ASO Microsynth ID,Test plate #,Avg Exp
KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,1.0,0.5684522399865318
KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,5.0,0.257460703130263
KQ2063_10_P2.3-1,KQ2063_L21_7-08-6_10uM_P2.3-1,1.0,0.5651301713339992
KQ2065_10_P9,KQ2065_L20_6-08-6_10uM_P2.3-9,9.0,0.4324081306349323
KQ272_10_P2.3-6,KQ272_L20_5-10-5_10uM_P2.3-6,6.0,0.3579726631225167
KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,3.0,0.43364577637099444
KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,3.0,0.3516021442798208
KQ372_10_P9,KQ372_L20_5-10-5_10uM_P2.3-9,9.0,0.5925665435208325
KQ426_10_P2.3-3,KQ426_L20_5-10-5_10uM_P2.3-3,3.0,0.3595269950496625
KQ455_10_P2.3-4,KQ455_L20_5-10-5_10uM_P2.3-4,4.0,0.667049562686068
KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.0,0.4881888143934099
KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,3.0,0.6112547540507764
KQ927_10_P2.3-2,KQ927_L20_5-10-5_10uM_P2.3-2,2.0,0.31344828664443425
KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,4.0,0.3089780321842413
KQ957_10_P9,KQ957_L20_5-10-5_10uM_P2.3-9,9.0,0.4044200235508029
KQ972_10_P2.3-1,KQ972_L20_5-10-5_10uM_P2.3-1,1.0,0.5953352595111189
KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,5.0,0.5325457388349865
KQ997_10_P2.3-6,KQ997_L20_5-10-5_10uM_P2.3-6,6.0,0.4728158632318081
KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,4.0,0.8186791867801791
KQJM069_10_P2.3-3,KQJM069_L19_5-10-4_10uM_P2.3-3,3.0,0.6017161362115858
KQJM071_10_P2.3-2,KQJM071_L17_5-08-4_10uM_P2.3-2,2.0,0.5712965949909738
KQJM077_10_P2.3-4,KQJM077_L17_5-08-4_10uM_P2.3-4,4.0,0.618992979083527
KQJM105_10_P2.3-3,KQJM105_L19_6-08-5_10uM_P2.3-3,3.0,0.6114316817656552
KQJM106_10_P2.3-3,KQJM106_L17_5-08-4_10uM_P2.3-3,3.0,0.6900365729386274
KQJM148_10_P2.3-7,KQJM148_L17_5-08-4_10uM_P2.3-7,7.0,0.8195281101554738
KQJM151_10_P2.3-7,KQJM151_L18_5-08-5_10uM_P2.3-7,7.0,0.6235152054816568
