SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,4.0,0.12650797063596506,0.3089780321842413,010030
KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,5.0,0.22083646628803286,0.257460703130263,020020
KQ272_10_P2.3-6,KQ272_L20_5-10-5_10uM_P2.3-6,6.0,0.26325861112333493,0.3579726631225167,020030
KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,3.0,0.2823401948535352,0.3516021442798208,020030
KQ927_10_P2.3-2,KQ927_L20_5-10-5_10uM_P2.3-2,2.0,0.24039087171616688,0.31344828664443425,020030
KQ2065_10_P9,KQ2065_L20_6-08-6_10uM_P2.3-9,9.0,0.22224314292161484,0.4324081306349323,020040
KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,3.0,0.2624539254146857,0.43364577637099444,020040
KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.0,0.2572596558994449,0.4881888143934099,020040
KQ957_10_P9,KQ957_L20_5-10-5_10uM_P2.3-9,9.0,0.26974562943707997,0.4044200235508029,020040
KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,1.0,0.26478376669913284,0.5684522399865318,020050
KQ2063_10_P2.3-1,KQ2063_L21_7-08-6_10uM_P2.3-1,1.0,0.2804285322495013,0.5651301713339992,020050
KQ372_10_P9,KQ372_L20_5-10-5_10uM_P2.3-9,9.0,0.2556460652820886,0.5925665435208325,020050
KQ426_10_P2.3-3,KQ426_L20_5-10-5_10uM_P2.3-3,3.0,0.36482824269046227,0.3595269950496625,030030
KQ997_10_P2.3-6,KQ997_L20_5-10-5_10uM_P2.3-6,6.0,0.30471919302636225,0.4728158632318081,030040
KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,3.0,0.35243459332928845,0.6112547540507764,030060
KQJM071_10_P2.3-2,KQJM071_L17_5-08-4_10uM_P2.3-2,2.0,0.40601152314059497,0.5712965949909738,040050
KQ972_10_P2.3-1,KQ972_L20_5-10-5_10uM_P2.3-1,1.0,0.5300857521770556,0.5953352595111189,050050
KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,5.0,0.5641549680590517,0.5325457388349865,050050
KQ455_10_P2.3-4,KQ455_L20_5-10-5_10uM_P2.3-4,4.0,0.5617362816087234,0.667049562686068,050060
KQJM069_10_P2.3-3,KQJM069_L19_5-10-4_10uM_P2.3-3,3.0,0.5999570753090976,0.6017161362115858,050060
KQJM077_10_P2.3-4,KQJM077_L17_5-08-4_10uM_P2.3-4,4.0,0.5068957772932067,0.618992979083527,050060
KQJM105_10_P2.3-3,KQJM105_L19_6-08-5_10uM_P2.3-3,3.0,0.5470878056419888,0.6114316817656552,050060
KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,4.0,0.5872014222659145,0.8186791867801791,050080
KQJM106_10_P2.3-3,KQJM106_L17_5-08-4_10uM_P2.3-3,3.0,0.6685365200449596,0.6900365729386274,060060
KQJM151_10_P2.3-7,KQJM151_L18_5-08-5_10uM_P2.3-7,7.0,0.6216956839613861,0.6235152054816568,060060
KQJM148_10_P2.3-7,KQJM148_L17_5-08-4_10uM_P2.3-7,7.0,0.8406412893979988,0.8195281101554738,080080
