Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P9_MT+WT_20210726,G7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,32.7431017431967,24.0948785650025
Rd2.3_P9_MT+WT_20210726,G8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.3057014098954,24.1738328494868
Rd2.3_P9_MT+WT_20210726,G9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.1189447753235,24.2033326205331
Rd2.3_P9_MT+WT_20210726,H7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.035488608507,26.372437288314
Rd2.3_P9_MT+WT_20210726,H8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.685757406894,26.4990857163284
Rd2.3_P9_MT+WT_20210726,H9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.4809245113069,26.4899916521448
Rd2.3_P9_MT+WT_20210726,G10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.1882695244337,23.1454894026247
Rd2.3_P9_MT+WT_20210726,G11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.1120633281578,23.2238694448185
Rd2.3_P9_MT+WT_20210726,G12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.2788099523648,23.2398470501513
Rd2.3_P9_MT+WT_20210726,H10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.3057394952325,25.4152063154548
Rd2.3_P9_MT+WT_20210726,H11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.2488529340777,25.401326245504
Rd2.3_P9_MT+WT_20210726,H12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.0788359371256,25.4438572622474
Rd2.3_P9_MT+WT_20210726,G13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,30.9282128747612,23.5707224485152
Rd2.3_P9_MT+WT_20210726,G14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,30.9096967425688,23.6343569678808
Rd2.3_P9_MT+WT_20210726,G15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,30.788937619486,23.6504551865073
Rd2.3_P9_MT+WT_20210726,H13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.1295092521932,26.5664686793832
Rd2.3_P9_MT+WT_20210726,H14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.2097589403196,26.6331178865775
Rd2.3_P9_MT+WT_20210726,H15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.3125873162336,26.660990759952
Rd2.3_P9_MT+WT_20210726,G16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.7314202331907,22.7132585067852
Rd2.3_P9_MT+WT_20210726,G17,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.6438245839956,22.8154642976014
Rd2.3_P9_MT+WT_20210726,G18,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.8311880390951,22.8561848513509
Rd2.3_P9_MT+WT_20210726,H16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.2735371460571,25.3149275228313
Rd2.3_P9_MT+WT_20210726,H17,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.1726056238726,25.3851034950455
Rd2.3_P9_MT+WT_20210726,H18,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.1207280615794,25.4352918977935
Rd2.3_P9_MT+WT_20210726,D1,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,33.2747807766212,24.4358008483845
Rd2.3_P9_MT+WT_20210726,D2,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,33.087932326604,24.5438112930776
Rd2.3_P9_MT+WT_20210726,D3,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.9466515305763,24.5368118462427
Rd2.3_P9_MT+WT_20210726,D13,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,33.00817739558,23.9739579288169
Rd2.3_P9_MT+WT_20210726,D14,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,33.3335816377485,24.105968902361
Rd2.3_P9_MT+WT_20210726,D15,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,33.0966963569295,24.0878226165854
Rd2.3_P9_MT+WT_20210726,D7,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.786174616941,23.5971663573015
Rd2.3_P9_MT+WT_20210726,D8,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.7609640769675,23.6495969686806
Rd2.3_P9_MT+WT_20210726,D9,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.9515160825054,23.68913884097
Rd2.3_P9_MT+WT_20210726,D19,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,32.3486060947187,23.5534574540164
Rd2.3_P9_MT+WT_20210726,D20,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,32.3417642031594,23.6343595410172
Rd2.3_P9_MT+WT_20210726,D21,KQ2004_3_P9,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,32.334823155843,23.6558515009211
Rd2.3_P9_MT+WT_20210726,F1,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.5566839812765,23.6829976045782
Rd2.3_P9_MT+WT_20210726,F2,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.5305583548931,23.7578447392194
Rd2.3_P9_MT+WT_20210726,F3,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.4785153293373,23.793045572132
Rd2.3_P9_MT+WT_20210726,F13,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.7591377388609,23.8910265639419
Rd2.3_P9_MT+WT_20210726,F14,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.9539574964992,23.7968750163266
Rd2.3_P9_MT+WT_20210726,F15,KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.9498947723238,23.8458739129
