Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,dCt Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.3_P1+2_Total_20210730,O1,Naïve_P2.1-2,Naïve_P2.1-2,,29.42924098,23.01029754,6.418943438,6.505084691,6.388884872,0.194239749,0.030058566,0.11619982,0.922614698
Rd2.1.3_P1+2_Total_20210730,O2,Naïve_P2.1-2,Naïve_P2.1-2,,29.6556631,23.0635222,6.5921409,,,,0.203256028,,
Rd2.1.3_P1+2_Total_20210730,O3,Naïve_P2.1-2,Naïve_P2.1-2,,29.669493,23.16532327,6.504169736,,,,0.115284864,,
Rd2.1.3_P1+2_Total_20210730,O4,Naïve_P2.1-2,Naïve_P2.1-2,,28.99016537,22.79081218,6.199353185,6.164645619,,,-0.189531686,-0.224239253,1.168161104
Rd2.1.3_P1+2_Total_20210730,O5,Naïve_P2.1-2,Naïve_P2.1-2,,28.98558242,22.84708457,6.138497846,,,,-0.250387025,,
Rd2.1.3_P1+2_Total_20210730,O6,Naïve_P2.1-2,Naïve_P2.1-2,,29.02860287,22.87251705,6.156085824,,,,-0.232799048,,
Rd2.1.3_P1+2_Total_20210730,P1,Naïve_P2.1-2,Naïve_P2.1-2,,28.92674829,23.15015531,5.776592975,5.773413107,,,-0.612291897,-0.615471765,1.532058902
Rd2.1.3_P1+2_Total_20210730,P2,Naïve_P2.1-2,Naïve_P2.1-2,,28.90567564,23.05296811,5.852707528,,,,-0.536177344,,
Rd2.1.3_P1+2_Total_20210730,P3,Naïve_P2.1-2,Naïve_P2.1-2,,29.01248741,23.32154859,5.690938819,,,,-0.697946053,,
Rd2.1.3_P1+2_Total_20210730,P4,Naïve_P2.1-2,Naïve_P2.1-2,,29.62166121,23.10450059,6.517160614,6.496924305,,,0.128275743,0.108039434,0.927848115
Rd2.1.3_P1+2_Total_20210730,P5,Naïve_P2.1-2,Naïve_P2.1-2,,29.6536517,23.20000958,6.45364212,,,,0.064757248,,
Rd2.1.3_P1+2_Total_20210730,P6,Naïve_P2.1-2,Naïve_P2.1-2,,29.75917479,23.23920461,6.519970181,,,,0.13108531,,
Rd2.1.3_P1+2_Total_20210730,M10,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,29.66502939,22.90869605,6.756333338,,,,0.367448466,0.351613405,0.783707167
Rd2.1.3_P1+2_Total_20210730,M11,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,29.73329302,22.97528623,6.758006785,,,,0.369121913,,
Rd2.1.3_P1+2_Total_20210730,M12,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,29.75083988,23.04368518,6.707154706,,,,0.318269834,,
Rd2.1.3_P1+2_Total_20210730,M22,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.1727052,23.28655308,7.886152121,,,,1.497267249,1.498737177,0.353862999
Rd2.1.3_P1+2_Total_20210730,M23,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.26545233,23.35091026,7.914542068,,,,1.525657196,,
Rd2.1.3_P1+2_Total_20210730,M24,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,31.26842941,23.40625746,7.862171956,,,,1.473287085,,
Rd2.1.3_P1+2_Total_20210730,O7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,32.97447931,23.67307124,9.301408075,,,,2.912523203,3.170738331,0.111048489
Rd2.1.3_P1+2_Total_20210730,O8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,33.82175147,23.72823402,10.09351745,,,,3.704632574,,
Rd2.1.3_P1+2_Total_20210730,O9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,33.05920812,23.77526404,9.283944087,,,,2.895059216,,
