Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P9_Total_20210726,G7,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.7341901919932,24.1504728657002
Rd2.3_P9_Total_20210726,G8,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.7870421517159,24.1810205511464
Rd2.3_P9_Total_20210726,G9,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.6757384641176,24.2613701355638
Rd2.3_P9_Total_20210726,H7,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,36.2721827689351,26.5217040785308
Rd2.3_P9_Total_20210726,H8,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,35.3050006353183,26.506239766686
Rd2.3_P9_Total_20210726,H9,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,36.7089039833076,26.559222551028
Rd2.3_P9_Total_20210726,G10,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.6208783199883,23.2042811271651
Rd2.3_P9_Total_20210726,G11,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.7273077610513,23.2714339153956
Rd2.3_P9_Total_20210726,G12,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.8094506141878,23.3362789414282
Rd2.3_P9_Total_20210726,H10,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.6554760708517,25.4337448992241
Rd2.3_P9_Total_20210726,H11,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.881198569176,25.5458715430012
Rd2.3_P9_Total_20210726,H12,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.757012115446,25.6116828801916
Rd2.3_P9_Total_20210726,G13,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.5906988865101,23.6203470580603
Rd2.3_P9_Total_20210726,G14,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.5549560458618,23.691191347365
Rd2.3_P9_Total_20210726,G15,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.0727771711024,23.7196330934277
Rd2.3_P9_Total_20210726,H13,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,33.12379846317,26.6229569993711
Rd2.3_P9_Total_20210726,H14,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,33.1035810000594,26.5953850092146
Rd2.3_P9_Total_20210726,H15,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,33.0053931129285,26.6574598770743
Rd2.3_P9_Total_20210726,G16,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,28.9255039069892,22.8597784499909
Rd2.3_P9_Total_20210726,G17,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,28.9871526751926,22.8722963674014
Rd2.3_P9_Total_20210726,G18,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,28.9849373486031,22.9168552872265
Rd2.3_P9_Total_20210726,H16,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,31.481849775988,25.3654242134608
Rd2.3_P9_Total_20210726,H17,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,32.213265106525,25.3865521091643
Rd2.3_P9_Total_20210726,H18,Ionis676630_3_P9_Total,Ionis676630_3uM_P2.3-9,,32.0628485292215,25.4184873949027
Rd2.3_P9_Total_20210726,D1,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.3250309122226,24.4349852188532
Rd2.3_P9_Total_20210726,D2,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.497983002942,24.5368247423794
Rd2.3_P9_Total_20210726,D3,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.1751669113998,24.5620711443824
Rd2.3_P9_Total_20210726,D13,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.4995257493626,24.0675048554108
Rd2.3_P9_Total_20210726,D14,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.5822914113907,24.1257083960137
Rd2.3_P9_Total_20210726,D15,KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.9444848703318,24.1540536602671
Rd2.3_P9_Total_20210726,D7,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.1580971843927,23.6325758959716
Rd2.3_P9_Total_20210726,D8,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.0407551709972,23.6736124816674
Rd2.3_P9_Total_20210726,D9,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.0019392886525,23.7455562406245
Rd2.3_P9_Total_20210726,D19,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.3989566921459,23.5802575837391
Rd2.3_P9_Total_20210726,D20,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.8199181542881,23.6261635480768
Rd2.3_P9_Total_20210726,D21,KQ2004_3_P9_Total,KQ2004_L21_6-10-5_3uM_P2.3-9,rs13040636,31.7945709524862,23.6956339979276
Rd2.3_P9_Total_20210726,F1,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,31.4239652359261,23.7683073247586
Rd2.3_P9_Total_20210726,F2,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,31.5597906484065,23.7872707705517
Rd2.3_P9_Total_20210726,F3,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,31.477562430986,23.8196820898398
Rd2.3_P9_Total_20210726,F13,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.29856911443,23.8122134811518
Rd2.3_P9_Total_20210726,F14,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.2801623941095,23.8762457863686
Rd2.3_P9_Total_20210726,F15,KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,rs13040636,32.381862793954,23.8754372680138
Rd2.3_P9_Total_20210726,F7,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,30.4037735466196,23.3365697239202
Rd2.3_P9_Total_20210726,F8,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,30.738201787691,23.3372305065627
Rd2.3_P9_Total_20210726,F9,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,30.7199160042283,23.3365667844122
Rd2.3_P9_Total_20210726,F19,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,31.7770053242749,23.7036303334302
Rd2.3_P9_Total_20210726,F20,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,32.1723837256427,23.8065996456275
Rd2.3_P9_Total_20210726,F21,KQ2048_3_P9_Total,KQ2048_L21_7-08-6_3uM_P2.3-9,rs13040636,32.1148116319928,23.791338333124
Rd2.3_P9_Total_20210726,E1,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.2663025622957,23.9054527006699
Rd2.3_P9_Total_20210726,E2,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.5135517412799,23.948389511075
Rd2.3_P9_Total_20210726,E3,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.6141440716899,23.9604490161604
Rd2.3_P9_Total_20210726,E13,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.2791072834315,23.6600074550198
Rd2.3_P9_Total_20210726,E14,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.3905386293481,23.7108877466999
Rd2.3_P9_Total_20210726,E15,KQ2065_10_P9_Total,KQ2065_L20_6-08-6_10uM_P2.3-9,rs13040636,31.5917414646881,23.7441445536341
Rd2.3_P9_Total_20210726,E7,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,29.770278274737,22.9694538223804
Rd2.3_P9_Total_20210726,E8,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,29.7061463306262,23.00472522416
Rd2.3_P9_Total_20210726,E9,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,29.8229068784144,22.9888628333208
Rd2.3_P9_Total_20210726,E19,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,31.0624182952365,23.5879496178159
Rd2.3_P9_Total_20210726,E20,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,31.0797234916981,23.6792216974815
Rd2.3_P9_Total_20210726,E21,KQ2065_3_P9_Total,KQ2065_L20_6-08-6_3uM_P2.3-9,rs13040636,31.1799416969163,23.7492379921765
Rd2.3_P9_Total_20210726,A4,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,31.9493381595158,24.0930248003097
Rd2.3_P9_Total_20210726,A5,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,31.9017197216911,24.1254774703262
Rd2.3_P9_Total_20210726,A6,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,32.1945001791708,24.1497074277336
Rd2.3_P9_Total_20210726,A16,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,31.6471415473092,24.561374402967
Rd2.3_P9_Total_20210726,A17,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,31.9398088564881,24.578058766358
Rd2.3_P9_Total_20210726,A18,KQ2086_10_P9_Total,KQ2086_L19_6-08-5_10uM_P2.3-9,rs13040636,32.5322114795428,24.7030300863093
Rd2.3_P9_Total_20210726,A10,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,30.255004944045,23.4423389025877
Rd2.3_P9_Total_20210726,A11,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,30.4352561709997,23.5469418605473
Rd2.3_P9_Total_20210726,A12,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,30.6558024412601,23.5848669037484
Rd2.3_P9_Total_20210726,A22,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,31.6468461376474,23.7941602561689
Rd2.3_P9_Total_20210726,A23,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,31.2466444573413,24.1106779791617
Rd2.3_P9_Total_20210726,A24,KQ2086_3_P9_Total,KQ2086_L19_6-08-5_3uM_P2.3-9,rs13040636,31.2727169398905,24.1087598113191
Rd2.3_P9_Total_20210726,A1,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,32.4783554921874,25.0105833693405
Rd2.3_P9_Total_20210726,A2,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,32.1930684771884,25.0302147910282
Rd2.3_P9_Total_20210726,A3,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,32.2908198650674,25.0402340835823
Rd2.3_P9_Total_20210726,A13,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,31.9692691609965,24.6702303981676
Rd2.3_P9_Total_20210726,A14,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,32.1024855912423,24.6933923650264
Rd2.3_P9_Total_20210726,A15,KQ372_10_P9_Total,KQ372_L20_5-10-5_10uM_P2.3-9,rs8113956,32.2201247393866,24.7143746491989
Rd2.3_P9_Total_20210726,A7,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,30.3505911397326,23.3676894444157
Rd2.3_P9_Total_20210726,A8,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,30.4703763838659,23.4890711318783
Rd2.3_P9_Total_20210726,A9,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,30.6845652322895,23.4344129829395
Rd2.3_P9_Total_20210726,A19,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,30.7951785178649,24.0198155383342
Rd2.3_P9_Total_20210726,A20,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,31.1222465557819,24.1759033799441
Rd2.3_P9_Total_20210726,A21,KQ372_3_P9_Total,KQ372_L20_5-10-5_3uM_P2.3-9,rs8113956,30.9211261090592,24.2362198956982
Rd2.3_P9_Total_20210726,C1,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636, ,32.4726961175092
Rd2.3_P9_Total_20210726,C2,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636, ,32.6627369405444
Rd2.3_P9_Total_20210726,C3,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636, ,32.6890914239963
Rd2.3_P9_Total_20210726,C13,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636,31.1785431005255,23.9899657216092
Rd2.3_P9_Total_20210726,C14,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636,31.238327620477,24.0463569592784
Rd2.3_P9_Total_20210726,C15,KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,rs13040636,31.2664833150896,24.0966314431013
Rd2.3_P9_Total_20210726,C7,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,29.8722817170617,23.1588276465612
Rd2.3_P9_Total_20210726,C8,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,29.974854488016,23.1421745775472
Rd2.3_P9_Total_20210726,C9,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,29.8576436188264,23.2644210195103
Rd2.3_P9_Total_20210726,C19,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,30.2930498269527,23.2989764711338
Rd2.3_P9_Total_20210726,C20,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,30.522474481031,23.348914689358
Rd2.3_P9_Total_20210726,C21,KQ501_3_P9_Total,KQ501_L20_5-10-5_3uM_P2.3-9,rs13040636,30.6745100683487,23.4350766868397
Rd2.3_P9_Total_20210726,B1,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.5097263832212,24.6096385925532
Rd2.3_P9_Total_20210726,B2,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.1828324799829,24.6902224964133
Rd2.3_P9_Total_20210726,B3,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.4076181735552,24.6927160004085
Rd2.3_P9_Total_20210726,B13,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.5890255736087,24.8122780601418
Rd2.3_P9_Total_20210726,B14,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.7501740041092,24.8014472930177
Rd2.3_P9_Total_20210726,B15,KQ957_10_P9_Total,KQ957_L20_5-10-5_10uM_P2.3-9,rs3787130,32.8810360308437,24.8923266647613
Rd2.3_P9_Total_20210726,B7,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,30.16355380394,23.1685337032714
Rd2.3_P9_Total_20210726,B8,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,30.3101075434019,23.1669299654016
Rd2.3_P9_Total_20210726,B9,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,30.3735056947948,23.1866097066015
Rd2.3_P9_Total_20210726,B19,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,32.9968241753063,24.5899612586212
Rd2.3_P9_Total_20210726,B20,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,32.5650625549403,24.6700133728229
Rd2.3_P9_Total_20210726,B21,KQ957_3_P9_Total,KQ957_L20_5-10-5_3uM_P2.3-9,rs3787130,32.7160777419978,24.7385275467458
Rd2.3_P9_Total_20210726,G1,Naïve_P9_Total,Naïve_P2.3-9,,29.1671710300502,23.7483325239139
Rd2.3_P9_Total_20210726,G2,Naïve_P9_Total,Naïve_P2.3-9,,29.2960946417299,23.7704540800819
Rd2.3_P9_Total_20210726,G3,Naïve_P9_Total,Naïve_P2.3-9,,29.2651377095078,23.8380199606791
Rd2.3_P9_Total_20210726,G4,Naïve_P9_Total,Naïve_P2.3-9,,28.9137719176975,23.0114772515453
Rd2.3_P9_Total_20210726,G5,Naïve_P9_Total,Naïve_P2.3-9,,28.9469668430065,23.0551888880042
Rd2.3_P9_Total_20210726,G6,Naïve_P9_Total,Naïve_P2.3-9,,29.0836332676624,23.1209748298821
Rd2.3_P9_Total_20210726,H1,Naïve_P9_Total,Naïve_P2.3-9,,30.1243887283496,24.1157332299024
Rd2.3_P9_Total_20210726,H2,Naïve_P9_Total,Naïve_P2.3-9,,29.9904238960724,24.1409523997412
Rd2.3_P9_Total_20210726,H3,Naïve_P9_Total,Naïve_P2.3-9,,30.0626635902935,24.1774685917191
Rd2.3_P9_Total_20210726,H4,Naïve_P9_Total,Naïve_P2.3-9,,30.3723231334085,24.6196186640573
Rd2.3_P9_Total_20210726,H5,Naïve_P9_Total,Naïve_P2.3-9,,30.4169284896035,24.588695873519
Rd2.3_P9_Total_20210726,H6,Naïve_P9_Total,Naïve_P2.3-9,,30.6831192093807,24.667133561958
