Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P7+8_WT_20210726,G1,Naïve_P2.3-7,Naïve_P2.3-7,,29.9846535055019,23.1778349147389,6.806818590763001,6.713943877420468,6.7132153876134,0.14799602596716674,0.09360320314960102,0.0007284898070680038,0.999495176810291
Rd2.3_P7+8_WT_20210726,G2,Naïve_P2.3-7,Naïve_P2.3-7,,29.9259978374344,23.225965883051,6.700031954383402,,,,-0.013183433229998265,,
Rd2.3_P7+8_WT_20210726,G3,Naïve_P2.3-7,Naïve_P2.3-7,,29.8996038368617,23.2646227497467,6.634981087115001,,,,-0.07823430049839875,,
Rd2.3_P7+8_WT_20210726,G4,Naïve_P2.3-7,Naïve_P2.3-7,,29.7927207679541,23.0496313809155,6.7430893870386015,6.7714222646485664,,,0.029873999425201525,0.05820687703516617,0.9604571281435583
Rd2.3_P7+8_WT_20210726,G5,Naïve_P2.3-7,Naïve_P2.3-7,,29.9301297314463,23.0896671906596,6.8404625407866995,,,,0.1272471531732995,,
Rd2.3_P7+8_WT_20210726,G6,Naïve_P2.3-7,Naïve_P2.3-7,,29.8686035590043,23.1378886928839,6.7307148661203975,,,,0.017499478506997512,,
Rd2.3_P7+8_WT_20210726,H1,Naïve_P2.3-7,Naïve_P2.3-7,,30.1510265931106,23.5629548898814,6.5880717032292,6.509702866374234,,,-0.12514368438419954,-0.2035125212391664,1.1514984915670454
Rd2.3_P7+8_WT_20210726,H2,Naïve_P2.3-7,Naïve_P2.3-7,,30.1867783895883,23.6483804618288,6.538397927759501,,,,-0.17481745985389896,,
Rd2.3_P7+8_WT_20210726,H3,Naïve_P2.3-7,Naïve_P2.3-7,,30.0679157436349,23.6652767755009,6.402638968133999,,,,-0.31057641947940073,,
Rd2.3_P7+8_WT_20210726,H4,Naïve_P2.3-7,Naïve_P2.3-7,,30.223665752582,23.2943657742035,6.929299978378502,6.857792542010333,,,0.2160845907651021,0.14457715439693342,0.9046444847940388
Rd2.3_P7+8_WT_20210726,H5,Naïve_P2.3-7,Naïve_P2.3-7,,30.1477108917391,23.3331287662564,6.814582125482698,,,,0.10136673786929773,,
Rd2.3_P7+8_WT_20210726,H6,Naïve_P2.3-7,Naïve_P2.3-7,,30.2302863362423,23.4007908140725,6.8294955221698,,,,0.1162801345564004,,
Rd2.3_P7+8_WT_20210726,G7,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,33.7073727789729,24.6362263981614,9.071146380811502,,,,2.357930993198102,2.378820434987969,0.19226653287011145
Rd2.3_P7+8_WT_20210726,G8,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,33.8488797266969,24.6921388144003,9.156740912296602,,,,2.443525524683202,,
Rd2.3_P7+8_WT_20210726,G9,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,33.8324867542573,24.7842665795613,9.048220174696002,,,,2.3350047870826023,,
Rd2.3_P7+8_WT_20210726,H7,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,36.9979052912179,26.6852325085624,10.312672782655497,,,,3.599457395042097,2.5078840050867988,0.1758132850810022
Rd2.3_P7+8_WT_20210726,H8,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,35.7303277808384,26.7227735756341,9.0075542052043,,,,2.2943388175909005,,
Rd2.3_P7+8_WT_20210726,H9,Ionis1375651_10_P2.3-7,Ionis1375651_10uM_P2.3-7,,35.1116071033781,26.7685359131373,8.3430711902408,,,,1.6298558026273993,,
Rd2.3_P7+8_WT_20210726,G10,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,31.1190140843327,23.0440784923577,8.074935591975002,,,,1.3617202043616023,1.381257647281801,0.3838840044238258
Rd2.3_P7+8_WT_20210726,G11,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,31.1177500566914,23.1126769339811,8.0050731227103,,,,1.2918577350969,,
Rd2.3_P7+8_WT_20210726,G12,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,31.3569255797357,23.1535151897354,8.2034103900003,,,,1.4901950023869004,,
Rd2.3_P7+8_WT_20210726,H10,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,33.176778150952,24.9568135996077,8.219964551344304,,,,1.5067491637309045,1.3113365757006024,0.4029473985630407
Rd2.3_P7+8_WT_20210726,H11,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,32.8091491353809,24.925631244362,7.883517891018901,,,,1.1703025034055008,,
Rd2.3_P7+8_WT_20210726,H12,Ionis1375651_3_P2.3-7,Ionis1375651_3uM_P2.3-7,,32.9465079522933,24.9763345047145,7.9701734475788015,,,,1.2569580599654016,,
Rd2.3_P7+8_WT_20210726,G13,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,31.1647308330594,23.8605191523496,7.304211680709802,,,,0.5909962930964019,0.662710076272267,0.6316905625866414
Rd2.3_P7+8_WT_20210726,G14,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,31.1207051938147,23.8810055935891,7.239699600225599,,,,0.5264842126121989,,
Rd2.3_P7+8_WT_20210726,G15,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,31.5045822465209,23.9207171357993,7.5838651107216,,,,0.8706497231082002,,
Rd2.3_P7+8_WT_20210726,H13,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,34.7265420629396,26.9988639711421,7.7276780917975,,,,1.0144627041841003,0.7582402977902344,0.59121701778789
Rd2.3_P7+8_WT_20210726,H14,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,34.1028212313562,27.0666738489448,7.036147382411404,,,,0.3229319947980036,,
Rd2.3_P7+8_WT_20210726,H15,Ionis676630_10_P2.3-7,Ionis676630_10uM_P2.3-7,,34.7693808595064,27.1188392775044,7.650541582001999,,,,0.9373261943885991,,
Rd2.3_P7+8_WT_20210726,G16,Ionis676630_3_P2.3-7,Ionis676630_3uM_P2.3-7,,29.5845315141873,22.6276635106097,6.9568680035776005,,,,0.24365261596420051,0.1875088536377,0.8781206912540668
Rd2.3_P7+8_WT_20210726,G17,Ionis676630_3_P2.3-7,Ionis676630_3uM_P2.3-7,,29.6116773707094,22.7270022796609,6.8846750910485,,,,0.17145970343509997,,
