Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,dCt Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.3_P1+2_MT_20210730,G1,Naïve_P2.1-1,Naïve_P2.1-1,,30.35698687,23.06693909,7.290047778,7.254560067,7.245802485,0.042759696,0.044245294,0.008757583,0.993948093
Rd2.1.3_P1+2_MT_20210730,G2,Naïve_P2.1-1,Naïve_P2.1-1,,30.29994419,23.11429313,7.185651061,,,,-0.060151424,,
Rd2.1.3_P1+2_MT_20210730,G3,Naïve_P2.1-1,Naïve_P2.1-1,,30.45675358,23.16877222,7.287981364,,,,0.042178879,,
Rd2.1.3_P1+2_MT_20210730,G4,Naïve_P2.1-1,Naïve_P2.1-1,,30.38086373,23.07331691,7.307546826,7.226552453,,,0.061744342,-0.019250032,1.013432522
Rd2.1.3_P1+2_MT_20210730,G5,Naïve_P2.1-1,Naïve_P2.1-1,,30.30917223,23.07264146,7.236530776,,,,-0.009271709,,
Rd2.1.3_P1+2_MT_20210730,G6,Naïve_P2.1-1,Naïve_P2.1-1,,30.26811348,23.13253373,7.135579756,,,,-0.110222728,,
Rd2.1.3_P1+2_MT_20210730,H1,Naïve_P2.1-1,Naïve_P2.1-1,,30.30660569,23.09594391,7.210661781,7.201134432,,,-0.035140703,-0.044668053,1.031445829
Rd2.1.3_P1+2_MT_20210730,H2,Naïve_P2.1-1,Naïve_P2.1-1,,30.35362941,23.14573552,7.207893885,,,,-0.037908599,,
Rd2.1.3_P1+2_MT_20210730,H3,Naïve_P2.1-1,Naïve_P2.1-1,,30.36451658,23.17966896,7.184847628,,,,-0.060954856,,
Rd2.1.3_P1+2_MT_20210730,H4,Naïve_P2.1-1,Naïve_P2.1-1,,30.47255942,23.10834241,7.364217006,7.300962986,,,0.118414522,0.055160502,0.962487359
Rd2.1.3_P1+2_MT_20210730,H5,Naïve_P2.1-1,Naïve_P2.1-1,,30.34959419,23.15925487,7.190339322,,,,-0.055463163,,
Rd2.1.3_P1+2_MT_20210730,H6,Naïve_P2.1-1,Naïve_P2.1-1,,30.53170927,23.18337664,7.348332631,,,,0.102530146,,
Rd2.1.3_P1+2_MT_20210730,E10,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.77062302,23.41349485,7.357128168,,,,0.111325683,0.142491978,0.905952944
Rd2.1.3_P1+2_MT_20210730,E11,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.91901684,23.498601,7.420415842,,,,0.174613358,,
Rd2.1.3_P1+2_MT_20210730,E12,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.89791115,23.51057177,7.387339377,,,,0.141536893,,
Rd2.1.3_P1+2_MT_20210730,E22,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.14317742,23.71189004,7.431287383,,,,0.185484898,0.269679201,0.829503974
Rd2.1.3_P1+2_MT_20210730,E23,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.27461784,23.71659161,7.558026229,,,,0.312223745,,
Rd2.1.3_P1+2_MT_20210730,E24,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,31.3312247,23.77409325,7.557131446,,,,0.311328961,,
Rd2.1.3_P1+2_MT_20210730,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.56146808,23.98291478,9.578553303,,,,2.332750818,2.408570318,0.188342395
Rd2.1.3_P1+2_MT_20210730,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.78860759,24.01685115,9.771756436,,,,2.525953952,,
Rd2.1.3_P1+2_MT_20210730,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.67974299,24.06693432,9.612808669,,,,2.367006184,,
Rd2.1.3_P1+2_MT_20210730,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,34.32049511,24.1861214,10.1343737,,,,2.88857122,2.766648112,0.146945378
Rd2.1.3_P1+2_MT_20210730,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,33.90415988,24.24389392,9.660265958,,,,2.414463474,,
Rd2.1.3_P1+2_MT_20210730,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,34.54338391,24.30067178,10.24271213,,,,2.996909643,,
Rd2.1.3_P1+2_MT_20210730,G10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.57531097,23.01006284,8.565248135,,,,1.31944565,1.308115974,0.403847923
Rd2.1.3_P1+2_MT_20210730,G11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.75487715,23.05435107,8.700526079,,,,1.454723595,,
Rd2.1.3_P1+2_MT_20210730,G12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.50398649,23.10800533,8.395981163,,,,1.150178678,,
Rd2.1.3_P1+2_MT_20210730,H10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,32.8627285,23.96018731,8.902541187,,,,1.656738702,1.657417982,0.317005993
Rd2.1.3_P1+2_MT_20210730,H11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,33.01500366,23.97454544,9.040458219,,,,1.794655735,,
Rd2.1.3_P1+2_MT_20210730,H12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,32.77189649,24.0052345,8.766661994,,,,1.520859509,,
Rd2.1.3_P1+2_MT_20210730,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.1650426,22.78378339,7.381259219,,,,0.135456734,0.259667868,0.835280192
Rd2.1.3_P1+2_MT_20210730,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.36542907,22.88481527,7.480613803,,,,0.234811318,,
Rd2.1.3_P1+2_MT_20210730,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.54314039,22.88860235,7.654538037,,,,0.408735553,,
Rd2.1.3_P1+2_MT_20210730,H13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.56557612,23.57984909,7.985727029,,,,0.739924544,0.663669264,0.631270718
Rd2.1.3_P1+2_MT_20210730,H14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.47778532,23.66491895,7.812866367,,,,0.567063883,,
Rd2.1.3_P1+2_MT_20210730,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.61379009,23.68396824,7.929821849,,,,0.684019364,,
Rd2.1.3_P1+2_MT_20210730,G16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.56242986,22.95433775,7.608092107,,,,0.362289622,0.264141682,0.832693991
Rd2.1.3_P1+2_MT_20210730,G17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.38071035,22.99420457,7.386505783,,,,0.140703298,,
Rd2.1.3_P1+2_MT_20210730,G18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.56875969,23.03352508,7.535234611,,,,0.289432126,,
Rd2.1.3_P1+2_MT_20210730,H16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.51756107,22.91233517,7.605225896,,,,0.359423411,0.259456731,0.835402444
Rd2.1.3_P1+2_MT_20210730,H17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.36214196,22.94247413,7.419667832,,,,0.173865348,,
Rd2.1.3_P1+2_MT_20210730,H18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.47306266,22.98217874,7.490883919,,,,0.245081435,,
Rd2.1.3_P1+2_MT_20210730,F10,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.63017928,23.11752043,7.512658846,,,,0.266856362,0.359133683,0.779632597
Rd2.1.3_P1+2_MT_20210730,F11,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.78011576,23.19133184,7.588783918,,,,0.342981434,,
Rd2.1.3_P1+2_MT_20210730,F12,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.90922596,23.19586022,7.713365737,,,,0.467563252,,
Rd2.1.3_P1+2_MT_20210730,F22,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,31.08098182,23.7905665,7.290415317,,,,0.044612833,0.143086837,0.905579474
Rd2.1.3_P1+2_MT_20210730,F23,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,31.24292747,23.83643873,7.406488741,,,,0.160686257,,
Rd2.1.3_P1+2_MT_20210730,F24,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,31.3405709,23.87080699,7.469763905,,,,0.22396142,,
Rd2.1.3_P1+2_MT_20210730,D4,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,32.01482155,23.2136006,8.801220955,,,,1.55541847,1.705035744,0.306713645
Rd2.1.3_P1+2_MT_20210730,D5,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,32.09360098,23.25941858,8.834182394,,,,1.58837991,,
Rd2.1.3_P1+2_MT_20210730,D6,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,32.51525867,23.29814733,9.217111337,,,,1.971308853,,
Rd2.1.3_P1+2_MT_20210730,D16,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,32.01471476,23.93786873,8.076846031,,,,0.831043546,0.888099418,0.540325465
