Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P9_WT_20210726,O1,Naïve_P9,Naïve_P2.3-9,,30.1831421,23.70701606,6.47612604,6.549968133,6.628135593,0.181012461,-0.152009553,-0.07816746,1.055676247
Rd2.3_P9_WT_20210726,O2,Naïve_P9,Naïve_P2.3-9,,30.57937943,23.74765296,6.831726473,,,,0.203590881,,
Rd2.3_P9_WT_20210726,O3,Naïve_P9,Naïve_P2.3-9,,30.11084046,23.76878858,6.342051886,,,,-0.286083706,,
Rd2.3_P9_WT_20210726,O4,Naïve_P9,Naïve_P2.3-9,,29.84101096,22.92990072,6.911110235,6.891432256,,,0.282974643,0.263296663,0.833181861
Rd2.3_P9_WT_20210726,O5,Naïve_P9,Naïve_P2.3-9,,29.78939665,22.9426788,6.846717845,,,,0.218582253,,
Rd2.3_P9_WT_20210726,O6,Naïve_P9,Naïve_P2.3-9,,29.90476725,22.98829856,6.916468688,,,,0.288333095,,
Rd2.3_P9_WT_20210726,P1,Naïve_P9,Naïve_P2.3-9,,30.55462859,23.99239143,6.562237161,6.589072565,,,-0.065898432,-0.039063028,1.027446325
Rd2.3_P9_WT_20210726,P2,Naïve_P9,Naïve_P2.3-9,,30.64949131,24.01339745,6.636093859,,,,0.007958266,,
Rd2.3_P9_WT_20210726,P3,Naïve_P9,Naïve_P2.3-9,,30.62411039,24.05522372,6.568886675,,,,-0.059248918,,
Rd2.3_P9_WT_20210726,P4,Naïve_P9,Naïve_P2.3-9,,30.90628327,24.51572058,6.390562697,6.482069417,,,-0.237572896,-0.146066176,1.106548109
Rd2.3_P9_WT_20210726,P5,Naïve_P9,Naïve_P2.3-9,,31.08348153,24.55339038,6.530091153,,,,-0.09804444,,
Rd2.3_P9_WT_20210726,P6,Naïve_P9,Naïve_P2.3-9,,31.10116078,24.57560638,6.5255544,,,,-0.102581193,,
Rd2.3_P9_WT_20210726,O7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.26819159,24.06609181,9.202099783,,,,2.57396419,2.451592956,0.182808752
Rd2.3_P9_WT_20210726,O8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.12486747,24.12953603,8.995331433,,,,2.36719584,,
Rd2.3_P9_WT_20210726,O9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.18574121,24.14398678,9.04175443,,,,2.413618838,,
Rd2.3_P9_WT_20210726,P7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,36.45628947,26.31644454,10.13984493,,,,3.511709341,3.366968494,0.096926267
Rd2.3_P9_WT_20210726,P8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,36.73585297,26.40018913,10.33566384,,,,3.707528246,,
Rd2.3_P9_WT_20210726,P9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.94108017,26.43127668,9.509803489,,,,2.881667897,,
Rd2.3_P9_WT_20210726,O10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.26041464,23.08482842,8.175586225,,,,1.547450632,1.631993868,0.322641994
Rd2.3_P9_WT_20210726,O11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.50440277,23.17491551,8.329487255,,,,1.701351662,,
Rd2.3_P9_WT_20210726,O12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.46350873,23.18819383,8.275314903,,,,1.64717931,,
Rd2.3_P9_WT_20210726,P10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.02927426,25.3525424,7.676731859,,,,1.048596266,1.054249804,0.481547559
Rd2.3_P9_WT_20210726,P11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.15991456,25.39529277,7.764621784,,,,1.136486192,,
Rd2.3_P9_WT_20210726,P12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,32.99104622,25.38524367,7.605802548,,,,0.977666955,,
Rd2.3_P9_WT_20210726,O13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,31.25786187,23.57397967,7.6838822,,,,1.055746607,0.862202729,0.550111997
Rd2.3_P9_WT_20210726,O14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,31.15692248,23.63271814,7.524204343,,,,0.89606875,,
Rd2.3_P9_WT_20210726,O15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,30.95180199,23.68887357,7.262928423,,,,0.63479283,,
Rd2.3_P9_WT_20210726,P13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.71769124,26.49959586,7.218095374,,,,0.589959781,0.265878544,0.831692113
Rd2.3_P9_WT_20210726,P14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.22329044,26.59007559,6.633214851,,,,0.005079258,,
Rd2.3_P9_WT_20210726,P15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.50792058,26.67718839,6.830732187,,,,0.202596594,,
Rd2.3_P9_WT_20210726,O16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,30.10605293,22.76140807,7.344644857,,,,0.716509265,0.480596875,0.716681056
Rd2.3_P9_WT_20210726,O17,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.74422835,22.79560778,6.948620562,,,,0.320484969,,
Rd2.3_P9_WT_20210726,O18,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.89586631,22.86293432,7.032931986,,,,0.404796393,,
Rd2.3_P9_WT_20210726,P16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.75670329,25.2919572,7.464746084,,,,0.836610491,0.658262233,0.633641076
