Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint,dCt,dct Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1_P1+2_WT_20210723,G1,Naïve_P2.1-1,Naïve_P2.1-1,,30.15595581,23.93578818,6.220167631,6.334722304,6.297545109,0.168601767,-0.077377478,0.037177194,0.974559926
Rd2.1_P1+2_WT_20210723,G2,Naïve_P2.1-1,Naïve_P2.1-1,,30.22991005,23.99757835,6.2323317,,,,-0.06521341,,
Rd2.1_P1+2_WT_20210723,G3,Naïve_P2.1-1,Naïve_P2.1-1,,30.55007053,23.99840295,6.551667581,,,,0.254122471,,
Rd2.1_P1+2_WT_20210723,G4,Naïve_P2.1-1,Naïve_P2.1-1,,29.87763771,23.69181661,6.185821103,6.065980485,,,-0.111724006,-0.231564624,1.174107596
Rd2.1_P1+2_WT_20210723,G5,Naïve_P2.1-1,Naïve_P2.1-1,,29.70882892,23.7466124,5.962216511,,,,-0.335328598,,
Rd2.1_P1+2_WT_20210723,G6,Naïve_P2.1-1,Naïve_P2.1-1,,29.81640881,23.76650497,6.049903841,,,,-0.247641268,,
Rd2.1_P1+2_WT_20210723,H1,Naïve_P2.1-1,Naïve_P2.1-1,,29.87776502,23.62404098,6.253724035,6.319299735,,,-0.043821074,0.021754625,0.985033964
Rd2.1_P1+2_WT_20210723,H2,Naïve_P2.1-1,Naïve_P2.1-1,,29.99198385,23.66858476,6.323399081,,,,0.025853972,,
Rd2.1_P1+2_WT_20210723,H3,Naïve_P2.1-1,Naïve_P2.1-1,,30.08462384,23.70384775,6.380776088,,,,0.083230978,,
Rd2.1_P1+2_WT_20210723,H4,Naïve_P2.1-1,Naïve_P2.1-1,,29.7485563,23.33436888,6.414187411,6.470177914,,,0.116642302,0.172632804,0.887222093
Rd2.1_P1+2_WT_20210723,H5,Naïve_P2.1-1,Naïve_P2.1-1,,29.91727571,23.35703665,6.560239064,,,,0.262693955,,
Rd2.1_P1+2_WT_20210723,H6,Naïve_P2.1-1,Naïve_P2.1-1,,29.81034023,23.37423296,6.436107266,,,,0.138562157,,
Rd2.1_P1+2_WT_20210723,E10,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.6190071,23.64681517,6.972191925,,,,0.674646816,0.71955231,0.607285863
Rd2.1_P1+2_WT_20210723,E11,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.69925755,23.71179059,6.987466953,,,,0.689921844,,
Rd2.1_P1+2_WT_20210723,E12,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.77253552,23.68090214,7.091633379,,,,0.79408827,,
Rd2.1_P1+2_WT_20210723,E22,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.86627481,23.64362771,7.222647102,,,,0.925101993,0.933752898,0.523494797
Rd2.1_P1+2_WT_20210723,E23,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.83632465,23.61754562,7.21877903,,,,0.92123392,,
Rd2.1_P1+2_WT_20210723,E24,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.94498862,23.69252073,7.252467889,,,,0.954922779,,
Rd2.1_P1+2_WT_20210723,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,36.49195788,27.07525472,9.416703163,,,,3.119158054,3.061789597,0.119759367
Rd2.1_P1+2_WT_20210723,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,36.5751168,27.10598767,9.469129138,,,,3.171584028,,
Rd2.1_P1+2_WT_20210723,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,36.28710432,27.0949325,9.192171818,,,,2.894626709,,
Rd2.1_P1+2_WT_20210723,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,34.99854155,25.30170954,9.696832009,,,,3.399286899,3.548377139,0.08547361
Rd2.1_P1+2_WT_20210723,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,35.03269705,25.30502915,9.727667905,,,,3.430122796,,
Rd2.1_P1+2_WT_20210723,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,35.50144654,25.38817971,10.11326683,,,,3.815721722,,
Rd2.1_P1+2_WT_20210723,G10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.09639867,23.37011932,7.726279347,,,,1.428734237,1.48157584,0.358097452
Rd2.1_P1+2_WT_20210723,G11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.33390741,23.43767767,7.896229736,,,,1.598684627,,
Rd2.1_P1+2_WT_20210723,G12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.22269834,23.50784458,7.714853765,,,,1.417308655,,
Rd2.1_P1+2_WT_20210723,H10,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,30.91543428,22.92931815,7.986116136,,,,1.688571027,1.699501461,0.307892481
Rd2.1_P1+2_WT_20210723,H11,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.0182002,22.99523332,8.02296688,,,,1.725421771,,
Rd2.1_P1+2_WT_20210723,H12,Ionis1375651_3_P2.1-1,Ionis1375651_3uM_P2.1-1,,31.02229505,23.04023836,7.982056695,,,,1.684511585,,
Rd2.1_P1+2_WT_20210723,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.74682172,23.8225196,6.924302126,,,,0.626757016,0.629898147,0.646222036
Rd2.1_P1+2_WT_20210723,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.76845516,23.85201042,6.916444749,,,,0.61889964,,
Rd2.1_P1+2_WT_20210723,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,30.85483202,23.91324912,6.941582894,,,,0.644037785,,
Rd2.1_P1+2_WT_20210723,H13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.78866765,24.0292141,7.759453553,,,,1.461908444,0.774186547,0.58471822
Rd2.1_P1+2_WT_20210723,H14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.33357343,24.98888639,6.344687043,,,,0.047141934,,
Rd2.1_P1+2_WT_20210723,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,31.14202503,24.03097066,7.111054372,,,,0.813509263,,
Rd2.1_P1+2_WT_20210723,G16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.90151605,23.07202756,6.829488491,,,,0.531943381,0.538515346,0.688479047
Rd2.1_P1+2_WT_20210723,G17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.89010277,23.10634508,6.78375769,,,,0.48621258,,
Rd2.1_P1+2_WT_20210723,G18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,30.06783858,23.17290339,6.894935186,,,,0.597390077,,
Rd2.1_P1+2_WT_20210723,H16,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.59492123,22.72179615,6.873125077,,,,0.575579968,0.548979691,0.683503348
Rd2.1_P1+2_WT_20210723,H17,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.55653178,22.72191501,6.834616769,,,,0.53707166,,
Rd2.1_P1+2_WT_20210723,H18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,,29.65631078,22.82447823,6.831832554,,,,0.534287445,,
Rd2.1_P1+2_WT_20210723,F10,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.65314641,23.64848311,7.004663303,,,,0.707118194,0.651111385,0.636789572
Rd2.1_P1+2_WT_20210723,F11,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.69912098,23.8064713,6.892649685,,,,0.595104576,,
Rd2.1_P1+2_WT_20210723,F12,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.89150333,40,-9.108496672,,,,,,
Rd2.1_P1+2_WT_20210723,F22,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,30.92265228,23.54364135,7.379010925,,,,1.081465816,1.098115818,0.467126172
Rd2.1_P1+2_WT_20210723,F23,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,31.00566412,23.56901576,7.436648359,,,,1.139103249,,
Rd2.1_P1+2_WT_20210723,F24,Ionis77_10_P2.1-1,Ionis77_10uM_P2.1-1,,31.00040978,23.62908628,7.371323498,,,,1.073778389,,
Rd2.1_P1+2_WT_20210723,E4,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.29722239,23.98152082,7.31570157,,,,1.018156461,1.153468333,0.4495432
Rd2.1_P1+2_WT_20210723,E5,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.49930913,24.00635802,7.492951112,,,,1.195406003,,
Rd2.1_P1+2_WT_20210723,E6,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.54862839,24.00424075,7.544387645,,,,1.246842536,,
Rd2.1_P1+2_WT_20210723,E16,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.01411225,23.64189913,7.372213121,,,,1.074668011,1.117220698,0.460981034
Rd2.1_P1+2_WT_20210723,E17,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.11169188,23.65808526,7.453606617,,,,1.156061508,,
Rd2.1_P1+2_WT_20210723,E18,KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.08582984,23.66735216,7.418477684,,,,1.120932575,,
Rd2.1_P1+2_WT_20210723,D4,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,30.93276716,23.08184999,7.850917175,,,,1.553372065,1.593051868,0.331469523
Rd2.1_P1+2_WT_20210723,D5,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,30.84420997,23.11855619,7.725653774,,,,1.428108665,,
Rd2.1_P1+2_WT_20210723,D6,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,31.06620403,22.97098405,8.095219983,,,,1.797674874,,
Rd2.1_P1+2_WT_20210723,D16,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,30.71361428,22.9991878,7.714426481,,,,1.416881371,1.485666339,0.35708357
Rd2.1_P1+2_WT_20210723,D17,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,30.90312277,23.01394205,7.889180722,,,,1.591635612,,
Rd2.1_P1+2_WT_20210723,D18,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,H228R_cDNA,30.81655301,23.07052586,7.746027142,,,,1.448482033,,
Rd2.1_P1+2_WT_20210723,C1,KQ280_10_P2.1-1,KQ280_L20_5-10-5_10uM_P2.1-1,rs8113956,30.65234973,23.35851282,7.293836916,,,,0.996291807,0.961311357,0.513589867
Rd2.1_P1+2_WT_20210723,C2,KQ280_10_P2.1-1,KQ280_L20_5-10-5_10uM_P2.1-1,rs8113956,30.68262559,23.3925138,7.290111785,,,,0.992566676,,
