Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P1+2_MT_20210723,G7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.3105620022713,25.1090053016343
Rd2.3_P1+2_MT_20210723,G8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.5433616665903,25.1263737368931
Rd2.3_P1+2_MT_20210723,G9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.5616798250047,25.1734981925547
Rd2.3_P1+2_MT_20210723,H7,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.694214555737,24.8612349562749
Rd2.3_P1+2_MT_20210723,H8,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.9877522190191,24.86360184991
Rd2.3_P1+2_MT_20210723,H9,Ionis1375651_10_P2.3-1,Ionis1375651_10uM_P2.3-1,,34.6437040066058,24.9198499133016
Rd2.3_P1+2_MT_20210723,O7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,33.6469127929969,25.6651610230803
Rd2.3_P1+2_MT_20210723,O8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,34.6881510781694,25.5794505660547
Rd2.3_P1+2_MT_20210723,O9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,34.2406589739528,25.6136132093877
Rd2.3_P1+2_MT_20210723,P7,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,36.8408818486342,26.6815069660326
Rd2.3_P1+2_MT_20210723,P8,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,35.4838846473579,26.7582315543155
Rd2.3_P1+2_MT_20210723,P9,Ionis1375651_10_P2.3-2,Ionis1375651_10uM_P2.3-2,,36.519322401817,26.7533154292285
Rd2.3_P1+2_MT_20210723,G10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.0874335674226,23.1937127111114
Rd2.3_P1+2_MT_20210723,G11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.37668875035,23.2815714410531
Rd2.3_P1+2_MT_20210723,G12,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.2065227005084,23.2899269565381
Rd2.3_P1+2_MT_20210723,H10,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.4697461049551,23.2449019164039
Rd2.3_P1+2_MT_20210723,H11,Ionis1375651_3_P2.3-1,Ionis1375651_3uM_P2.3-1,,31.6103314348871,23.0811745000918
