Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.3_P9_Total_20210726,G1,Naïve_P9_Total,Naïve_P2.3-9,,29.1671710300502,23.7483325239139,5.4188385061363,5.457198938871,5.789047716813249,0.22254424608697307,-0.3702092106769488,-0.33184877794224893,1.2586252385714993
Rd2.3_P9_Total_20210726,G2,Naïve_P9_Total,Naïve_P2.3-9,,29.2960946417299,23.7704540800819,5.525640561648,,,,-0.2634071551652486,,
Rd2.3_P9_Total_20210726,G3,Naïve_P9_Total,Naïve_P2.3-9,,29.2651377095078,23.8380199606791,5.4271177488286995,,,,-0.36192996798454935,,
Rd2.3_P9_Total_20210726,G4,Naïve_P9_Total,Naïve_P2.3-9,,28.9137719176975,23.0114772515453,5.902294666152198,5.918910352978266,,,0.11324694933894897,0.1298626361650168,0.9139184633299559
Rd2.3_P9_Total_20210726,G5,Naïve_P9_Total,Naïve_P2.3-9,,28.9469668430065,23.0551888880042,5.891777955002301,,,,0.1027302381890518,,
Rd2.3_P9_Total_20210726,G6,Naïve_P9_Total,Naïve_P2.3-9,,29.0836332676624,23.1209748298821,5.9626584377802985,,,,0.17361072096704966,,
Rd2.3_P9_Total_20210726,H1,Naïve_P9_Total,Naïve_P2.3-9,,30.1243887283496,24.1157332299024,6.008655498447201,5.914440664450933,,,0.21960778163395211,0.1253929476376848,0.9167543123228797
Rd2.3_P9_Total_20210726,H2,Naïve_P9_Total,Naïve_P2.3-9,,29.9904238960724,24.1409523997412,5.849471496331201,,,,0.060423779517952525,,
Rd2.3_P9_Total_20210726,H3,Naïve_P9_Total,Naïve_P2.3-9,,30.0626635902935,24.1774685917191,5.8851949985743985,,,,0.09614728176114973,,
Rd2.3_P9_Total_20210726,H4,Naïve_P9_Total,Naïve_P2.3-9,,30.3723231334085,24.6196186640573,5.752704469351201,5.865640910952799,,,-0.036343247462047756,0.07659319413955086,0.948294323990613
Rd2.3_P9_Total_20210726,H5,Naïve_P9_Total,Naïve_P2.3-9,,30.4169284896035,24.588695873519,5.828232616084499,,,,0.03918489927125002,,
Rd2.3_P9_Total_20210726,H6,Naïve_P9_Total,Naïve_P2.3-9,,30.6831192093807,24.667133561958,6.015985647422699,,,,0.22693793060945033,,
Rd2.3_P9_Total_20210726,G7,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.7341901919932,24.1504728657002,8.583717326293002,,,,2.7946696094797527,2.745654701658852,0.1490992905787368
Rd2.3_P9_Total_20210726,G8,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.7870421517159,24.1810205511464,8.606021600569502,,,,2.816973883756253,,
Rd2.3_P9_Total_20210726,G9,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,32.6757384641176,24.2613701355638,8.414368328553799,,,,2.62532061174055,,
Rd2.3_P9_Total_20210726,H7,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,36.2721827689351,26.5217040785308,9.750478690404304,,,,3.961430973591055,3.485572062705053,0.08927672638085202
Rd2.3_P9_Total_20210726,H8,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,35.3050006353183,26.506239766686,8.7987608686323,,,,3.009713151819051,,
Rd2.3_P9_Total_20210726,H9,Ionis1375651_10_P9_Total,Ionis1375651_10uM_P2.3-9,,36.7089039833076,26.559222551028,10.1496814322796,,,,,,
Rd2.3_P9_Total_20210726,G10,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.6208783199883,23.2042811271651,7.4165971928232,,,,1.6275494760099516,1.6594998535995835,0.316548869073271
Rd2.3_P9_Total_20210726,G11,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.7273077610513,23.2714339153956,7.455873845655699,,,,1.66682612884245,,
Rd2.3_P9_Total_20210726,G12,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,30.8094506141878,23.3362789414282,7.473171672759598,,,,1.6841239559463492,,
Rd2.3_P9_Total_20210726,H10,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.6554760708517,25.4337448992241,7.221731171627599,,,,1.4326834548143506,1.4450814275390176,0.3672714284690499
Rd2.3_P9_Total_20210726,H11,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.881198569176,25.5458715430012,7.335327026174799,,,,1.54627930936155,,
Rd2.3_P9_Total_20210726,H12,Ionis1375651_3_P9_Total,Ionis1375651_3uM_P2.3-9,,32.757012115446,25.6116828801916,7.145329235254401,,,,1.3562815184411523,,
Rd2.3_P9_Total_20210726,G13,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.5906988865101,23.6203470580603,6.9703518284498,,,,1.1813041116365515,0.9400391513938514,0.5212187355622818
Rd2.3_P9_Total_20210726,G14,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.5549560458618,23.691191347365,6.8637646984968015,,,,1.0747169816835527,,
Rd2.3_P9_Total_20210726,G15,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,30.0727771711024,23.7196330934277,6.353144077674699,,,,0.5640963608614502,,
Rd2.3_P9_Total_20210726,H13,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,33.12379846317,26.6229569993711,6.500841463798896,,,,0.7117937469856468,0.663275846686051,0.6314428860145085
Rd2.3_P9_Total_20210726,H14,Ionis676630_10_P9_Total,Ionis676630_10uM_P2.3-9,,33.1035810000594,26.5953850092146,6.508195990844801,,,,0.7191482740315518,,
